# {"t_start": 1639391408.9954398, "env_id": "Office-v0"} 
r,l,t
0.0,5,0.001688
0.0,9,0.004132
0.0,89,0.027051
0.0,2,0.027577
0.0,4,0.028622
0.0,31,0.036743
0.0,39,0.046813
0.0,51,0.060186
0.0,32,0.06843
0.0,39,0.078634
0.0,25,0.085052
0.0,16,0.089133
0.0,18,0.093782
0.0,51,0.107086
0.0,74,0.126197
0.0,80,0.146671
0.0,12,0.149741
0.0,16,0.15395
0.0,28,0.161067
0.0,57,0.175839
0.0,106,0.202888
0.0,6,0.204493
0.0,182,0.251676
0.0,57,0.266275
0.0,107,0.294189
0.0,110,0.322846
0.0,97,0.347706
0.0,98,0.372888
0.0,66,0.389848
1.0,154,0.429278
0.0,85,0.451225
0.0,133,0.485898
1.0,52,0.49969
0.0,104,0.527171
0.0,147,0.565953
1.0,462,0.684454
0.0,31,0.692556
0.0,173,0.737684
0.0,40,0.747956
0.0,312,0.828891
1.0,66,0.846107
0.0,31,0.854475
0.0,44,0.865749
0.0,1000,1.12509
1.0,24,1.131331
0.0,287,1.205389
0.0,136,1.240733
0.0,35,1.249707
1.0,31,1.258077
1.0,205,1.311085
1.0,213,1.366536
0.0,22,1.372301
1.0,70,1.390857
0.0,16,1.39504
0.0,26,1.401696
0.0,48,1.414253
0.0,22,1.419878
0.0,65,1.43671
1.0,294,1.512733
0.0,102,1.539465
1.0,27,1.546397
0.0,30,1.554476
1.0,194,1.604707
0.0,179,1.650988
1.0,43,1.662182
0.0,26,1.668861
0.0,22,1.674785
0.0,71,1.693367
1.0,13,1.697258
0.0,184,1.74609
0.0,166,1.789326
0.0,106,1.817119
1.0,13,1.820479
0.0,100,1.846303
0.0,81,1.867388
0.0,115,1.897747
1.0,11,1.900584
1.0,62,1.91676
0.0,30,1.924522
0.0,15,1.92838
1.0,11,1.931266
0.0,69,1.949806
0.0,17,1.954446
0.0,11,1.957327
1.0,12,1.960426
1.0,146,1.998481
0.0,148,2.037157
0.0,55,2.051293
1.0,11,2.05444
1.0,105,2.081571
0.0,16,2.085691
0.0,180,2.132415
0.0,2,2.132951
1.0,174,2.17819
0.0,69,2.19599
0.0,214,2.251725
1.0,11,2.254891
0.0,95,2.279455
0.0,15,2.283751
0.0,10,2.286325
1.0,13,2.289696
0.0,37,2.299514
0.0,176,2.345346
0.0,93,2.369659
0.0,10,2.372247
0.0,56,2.386714
1.0,283,2.460649
0.0,414,2.568575
1.0,14,2.572174
1.0,35,2.58147
1.0,118,2.612468
0.0,52,2.626331
1.0,12,2.6295
1.0,177,2.676054
1.0,361,2.770097
0.0,17,2.774634
1.0,12,2.77788
1.0,33,2.786377
0.0,52,2.799958
0.0,117,2.83059
0.0,13,2.834217
0.0,32,2.842457
1.0,231,2.902968
0.0,458,3.0217
1.0,14,3.025332
0.0,25,3.031781
1.0,136,3.067084
0.0,113,3.09632
1.0,13,3.099763
1.0,97,3.124887
0.0,41,3.136421
0.0,236,3.198365
1.0,14,3.202034
1.0,68,3.219777
0.0,8,3.221933
0.0,137,3.25781
1.0,15,3.261735
1.0,67,3.279249
0.0,53,3.293195
0.0,379,3.392592
1.0,11,3.395465
0.0,23,3.40172
1.0,71,3.420407
0.0,139,3.456647
1.0,11,3.459623
0.0,54,3.473612
1.0,50,3.486956
0.0,1000,3.748553
1.0,11,3.751462
1.0,57,3.766387
0.0,87,3.789154
0.0,242,3.852418
1.0,11,3.855592
1.0,106,3.883158
1.0,29,3.890743
0.0,41,3.902071
1.0,13,3.90545
1.0,52,3.919112
1.0,45,3.930802
0.0,90,3.954212
1.0,11,3.957309
1.0,47,3.969523
0.0,17,3.973922
0.0,789,4.180418
1.0,11,4.183394
0.0,38,4.193161
0.0,8,4.195249
1.0,70,4.2136
1.0,11,4.216683
1.0,42,4.227563
0.0,21,4.232979
1.0,35,4.242335
1.0,12,4.245437
0.0,41,4.256276
0.0,98,4.281852
0.0,350,4.372936
1.0,11,4.375802
1.0,32,4.384454
0.0,20,4.389618
0.0,32,4.398059
0.0,4,4.399108
1.0,29,4.40658
0.0,34,4.415714
0.0,69,4.43368
1.0,11,4.436674
1.0,24,4.442863
1.0,42,4.453773
0.0,220,4.511393
1.0,11,4.514256
0.0,8,4.516554
0.0,26,4.523348
0.0,172,4.568324
1.0,15,4.572219
0.0,23,4.578444
1.0,29,4.586046
0.0,143,4.623562
1.0,12,4.62674
1.0,26,4.633478
0.0,6,4.635048
0.0,59,4.650428
1.0,12,4.653543
1.0,26,4.66051
1.0,25,4.6672
0.0,987,4.92624
1.0,11,4.9291
1.0,26,4.935792
1.0,23,4.941992
0.0,370,5.038664
1.0,13,5.04206
1.0,27,5.049114
1.0,24,5.055385
1.0,53,5.069189
1.0,12,5.072307
1.0,29,5.080014
1.0,24,5.086288
1.0,44,5.09783
1.0,11,5.100686
0.0,18,5.105332
1.0,25,5.111918
0.0,156,5.152652
1.0,13,5.156374
1.0,25,5.162878
1.0,29,5.170357
0.0,171,5.215331
0.0,9,5.217931
1.0,24,5.224489
1.0,29,5.232795
0.0,38,5.242973
1.0,12,5.246086
1.0,25,5.252646
1.0,24,5.259251
1.0,68,5.277499
1.0,16,5.281854
1.0,27,5.288924
1.0,26,5.296231
0.0,793,5.504105
1.0,11,5.507055
1.0,25,5.513654
1.0,28,5.521018
1.0,34,5.529761
1.0,15,5.533795
1.0,23,5.540038
1.0,24,5.546218
0.0,31,5.554546
0.0,2,5.555096
1.0,27,5.562324
1.0,27,5.569613
1.0,40,5.580159
1.0,16,5.584279
0.0,21,5.589793
1.0,28,5.597191
1.0,31,5.605175
0.0,9,5.607499
1.0,27,5.614685
1.0,23,5.620854
1.0,29,5.628436
0.0,2,5.628986
1.0,34,5.637889
1.0,30,5.645656
1.0,27,5.6526
0.0,9,5.654963
0.0,21,5.660615
1.0,23,5.666545
1.0,27,5.673588
1.0,13,5.677228
1.0,25,5.683813
1.0,29,5.691257
1.0,25,5.697981
1.0,11,5.700824
1.0,27,5.707822
1.0,31,5.716248
0.0,129,5.749863
1.0,13,5.753271
0.0,16,5.757857
1.0,27,5.764802
1.0,27,5.771951
1.0,13,5.775344
1.0,25,5.782054
0.0,19,5.786987
1.0,25,5.793469
1.0,11,5.796399
1.0,27,5.803519
1.0,27,5.810513
1.0,30,5.818615
1.0,14,5.822325
1.0,28,5.829603
1.0,23,5.835607
1.0,25,5.842527
1.0,15,5.846396
1.0,25,5.85283
1.0,23,5.859012
1.0,28,5.866255
1.0,15,5.870204
1.0,24,5.876609
1.0,24,5.882804
1.0,28,5.890023
1.0,11,5.892916
1.0,25,5.900005
1.0,27,5.906958
1.0,27,5.914116
1.0,12,5.917439
0.0,12,5.920545
1.0,24,5.926767
0.0,19,5.931673
1.0,11,5.934522
1.0,27,5.941694
0.0,6,5.943257
1.0,27,5.950281
1.0,12,5.953381
1.0,23,5.959541
1.0,26,5.966299
0.0,281,6.039757
1.0,11,6.042623
1.0,32,6.050851
1.0,25,6.057524
1.0,31,6.065543
1.0,12,6.06871
1.0,23,6.074735
1.0,27,6.0819
1.0,25,6.08836
1.0,11,6.091221
0.0,18,6.096018
1.0,23,6.101977
0.0,15,6.105922
1.0,11,6.108785
1.0,25,6.115427
1.0,23,6.121587
1.0,25,6.128069
1.0,11,6.130926
1.0,27,6.13824
1.0,25,6.144694
1.0,33,6.153281
0.0,6,6.15485
1.0,28,6.162291
1.0,27,6.16925
1.0,33,6.178091
1.0,11,6.180941
1.0,25,6.187382
1.0,23,6.193388
1.0,26,6.200286
1.0,13,6.20364
1.0,25,6.21014
1.0,26,6.217169
1.0,27,6.224147
1.0,11,6.22701
1.0,27,6.23409
