# {"t_start": 1639748472.8472633, "env_id": "Office-v0"} 
r,l,t
0.0,45,0.012486
0.0,54,0.027076
0.0,7,0.028929
0.0,28,0.036325
0.0,17,0.04089
0.0,26,0.048187
0.0,14,0.051943
0.0,24,0.058305
0.0,14,0.062185
0.0,70,0.081064
0.0,29,0.089582
0.0,39,0.099874
0.0,89,0.123817
0.0,47,0.136398
0.0,71,0.15565
0.0,9,0.158092
0.0,17,0.162683
0.0,127,0.196407
0.0,18,0.201137
0.0,57,0.216207
0.0,17,0.220906
0.0,92,0.245362
0.0,4,0.246478
0.0,91,0.270976
0.0,69,0.289718
0.0,79,0.310481
0.0,114,0.340481
0.0,78,0.362108
1.0,135,0.397985
0.0,202,0.453513
0.0,39,0.463981
0.0,115,0.494262
1.0,66,0.511744
0.0,212,0.5681
0.0,49,0.581099
0.0,30,0.589302
1.0,696,0.775186
0.0,102,0.8027
0.0,332,0.892001
0.0,506,1.028146
1.0,21,1.033734
0.0,278,1.108981
0.0,7,1.110886
0.0,152,1.15191
1.0,17,1.156438
0.0,288,1.234111
1.0,270,1.308167
0.0,32,1.316672
1.0,20,1.322017
1.0,490,1.454477
0.0,204,1.50955
0.0,66,1.527443
1.0,26,1.534323
0.0,21,1.539893
0.0,114,1.570647
0.0,30,1.578603
1.0,51,1.592515
0.0,35,1.601834
0.0,122,1.634546
0.0,58,1.650187
1.0,41,1.661184
1.0,171,1.707453
0.0,179,1.755501
0.0,79,1.776679
1.0,19,1.781742
0.0,172,1.828282
0.0,173,1.875239
0.0,316,1.960335
1.0,16,1.964812
1.0,161,2.007994
1.0,105,2.036017
0.0,184,2.086105
0.0,9,2.088528
1.0,137,2.125212
1.0,331,2.214195
0.0,74,2.234414
1.0,11,2.237357
0.0,32,2.246372
1.0,67,2.264422
0.0,57,2.279569
1.0,11,2.28251
1.0,83,2.305013
0.0,154,2.346434
0.0,164,2.390421
1.0,11,2.393372
0.0,119,2.425607
1.0,118,2.457377
0.0,284,2.534859
1.0,11,2.537811
1.0,51,2.551771
1.0,134,2.58797
0.0,172,2.634294
1.0,14,2.638178
0.0,5,2.639526
1.0,138,2.676804
0.0,9,2.679327
1.0,14,2.683058
0.0,9,2.685833
0.0,177,2.734643
0.0,174,2.781133
1.0,11,2.784218
1.0,66,2.802124
0.0,195,2.854784
0.0,58,2.870449
1.0,11,2.87339
1.0,50,2.886956
1.0,124,2.920068
0.0,9,2.922487
1.0,12,2.92605
1.0,179,2.974139
1.0,58,2.989724
0.0,9,2.992136
1.0,12,2.995392
1.0,83,3.017659
0.0,12,3.020847
0.0,88,3.044778
1.0,13,3.048366
0.0,2,3.048919
0.0,46,3.061112
0.0,187,3.111534
1.0,11,3.114484
0.0,11,3.117466
0.0,60,3.1336
0.0,20,3.138973
0.0,6,3.140587
1.0,117,3.172653
1.0,51,3.186615
0.0,99,3.213431
1.0,13,3.216895
0.0,17,3.221416
0.0,73,3.241081
0.0,28,3.24898
1.0,11,3.251922
1.0,70,3.27094
1.0,35,3.280379
0.0,125,3.314207
1.0,11,3.317148
1.0,67,3.335201
0.0,46,3.347791
0.0,108,3.376632
1.0,11,3.37958
1.0,31,3.388137
1.0,49,3.401136
1.0,87,3.424783
1.0,11,3.42771
1.0,41,3.438705
1.0,42,3.450203
0.0,117,3.481685
1.0,11,3.484797
1.0,26,3.491801
1.0,41,3.502621
0.0,10,3.505427
1.0,11,3.508358
1.0,96,3.534171
1.0,65,3.551661
0.0,177,3.599406
1.0,13,3.60295
1.0,32,3.61163
1.0,37,3.621389
0.0,93,3.646636
1.0,13,3.650111
1.0,30,3.658051
0.0,26,3.66529
0.0,41,3.676172
0.0,9,3.678584
0.0,28,3.686218
0.0,102,3.713665
0.0,413,3.824805
1.0,11,3.827784
1.0,30,3.83572
0.0,20,3.841081
0.0,484,3.97194
1.0,15,3.975933
1.0,29,3.983819
1.0,56,3.998672
0.0,306,4.080798
1.0,16,4.085364
1.0,27,4.092508
1.0,26,4.099396
0.0,562,4.250158
1.0,11,4.253092
0.0,12,4.256284
0.0,19,4.26141
0.0,22,4.267288
1.0,13,4.270764
0.0,8,4.272897
0.0,10,4.275558
0.0,6,4.277166
0.0,6,4.278775
1.0,24,4.2852
0.0,50,4.298624
0.0,287,4.374496
1.0,13,4.377966
0.0,9,4.380361
1.0,38,4.390459
0.0,82,4.412379
1.0,11,4.415319
1.0,25,4.421952
1.0,29,4.429768
0.0,161,4.474496
0.0,4,4.475588
0.0,6,4.477199
0.0,4,4.478283
0.0,1000,4.745839
1.0,13,4.749668
1.0,25,4.75636
1.0,32,4.764887
0.0,38,4.775228
1.0,13,4.778681
1.0,23,4.784775
1.0,47,4.797824
0.0,221,4.857082
1.0,12,4.860305
1.0,25,4.867166
1.0,25,4.873904
0.0,33,4.882729
1.0,14,4.886467
1.0,26,4.893749
1.0,30,4.901635
0.0,274,4.975534
1.0,11,4.97847
1.0,29,4.98629
1.0,23,4.992645
0.0,225,5.053364
1.0,15,5.05735
0.0,4,5.05843
1.0,23,5.064581
0.0,1000,5.334681
1.0,13,5.338158
1.0,27,5.345428
1.0,25,5.35239
1.0,49,5.365513
1.0,11,5.368702
1.0,37,5.378622
1.0,27,5.385979
0.0,38,5.396543
1.0,13,5.400003
1.0,28,5.407988
1.0,23,5.414233
0.0,28,5.42182
1.0,11,5.42491
1.0,25,5.431793
1.0,25,5.438407
0.0,142,5.476339
1.0,11,5.479415
1.0,23,5.485548
1.0,26,5.492749
0.0,382,5.595564
1.0,13,5.599105
0.0,6,5.600794
1.0,25,5.607668
0.0,23,5.613875
1.0,11,5.616812
1.0,24,5.62318
1.0,25,5.629985
0.0,64,5.647343
0.0,8,5.649587
1.0,33,5.658424
1.0,27,5.665725
0.0,450,5.787342
1.0,11,5.790617
0.0,24,5.796974
1.0,24,5.803345
0.0,76,5.823706
0.0,8,5.825843
1.0,26,5.832933
1.0,23,5.83904
1.0,32,5.847822
1.0,12,5.851146
1.0,28,5.858696
1.0,23,5.864923
1.0,50,5.878604
1.0,13,5.88207
1.0,26,5.889181
0.0,14,5.893019
1.0,36,5.902699
0.0,2,5.903253
1.0,25,5.910091
1.0,26,5.917071
1.0,26,5.924169
1.0,16,5.928617
1.0,29,5.936476
0.0,16,5.940725
1.0,31,5.949286
1.0,11,5.952265
0.0,4,5.953346
1.0,24,5.959702
0.0,4,5.960787
1.0,18,5.965613
1.0,23,5.971992
1.0,26,5.978974
1.0,29,5.986944
1.0,11,5.989923
1.0,25,5.996558
1.0,23,6.002663
0.0,27,6.00998
1.0,11,6.01292
0.0,15,6.017005
1.0,28,6.024406
1.0,29,6.032312
0.0,6,6.033934
1.0,23,6.040191
1.0,27,6.047796
1.0,28,6.055493
1.0,11,6.058433
1.0,26,6.065366
1.0,24,6.071962
1.0,27,6.079279
1.0,13,6.082737
1.0,23,6.089039
0.0,19,6.094191
1.0,27,6.10137
1.0,11,6.104316
0.0,16,6.108757
1.0,24,6.115175
1.0,28,6.12277
1.0,12,6.126054
1.0,24,6.132878
1.0,25,6.139642
0.0,48,6.152736
1.0,11,6.155677
1.0,24,6.16211
1.0,29,6.170015
1.0,38,6.180261
1.0,12,6.183454
1.0,26,6.19053
1.0,24,6.197029
0.0,21,6.202612
1.0,11,6.205613
1.0,29,6.21373
0.0,14,6.217517
1.0,27,6.224675
0.0,6,6.226294
1.0,23,6.232797
1.0,23,6.238904
1.0,27,6.246183
1.0,11,6.249395
1.0,23,6.255596
1.0,23,6.26173
1.0,28,6.269437
1.0,16,6.27369
0.0,21,6.279269
1.0,25,6.285913
1.0,37,6.296021
1.0,11,6.299023
1.0,25,6.305657
1.0,27,6.313182
1.0,25,6.320069
1.0,11,6.323007
1.0,27,6.330317
1.0,30,6.338529
1.0,43,6.350378
1.0,13,6.353861
0.0,4,6.354944
1.0,29,6.362813
1.0,31,6.371619
1.0,13,6.375237
1.0,28,6.382974
0.0,25,6.389882
1.0,31,6.398145
1.0,14,6.401863
1.0,31,6.410499
1.0,23,6.416683
1.0,25,6.423348
1.0,11,6.426291
1.0,23,6.432618
1.0,25,6.439495
1.0,25,6.446373
1.0,11,6.449316
0.0,6,6.451042
1.0,25,6.457754
1.0,28,6.465265
1.0,11,6.468429
1.0,25,6.47515
1.0,27,6.482502
1.0,25,6.48938
1.0,12,6.492584
1.0,27,6.499906
1.0,25,6.506643
1.0,27,6.51402
1.0,13,6.517484
1.0,23,6.523756
1.0,23,6.530145
0.0,315,6.615072
0.0,9,6.617569
1.0,25,6.62421
1.0,29,6.632227
1.0,27,6.639408
1.0,11,6.642358
0.0,17,6.647275
1.0,25,6.654127
1.0,25,6.660897
1.0,11,6.663839
1.0,29,6.671857
1.0,27,6.679039
1.0,27,6.6867
1.0,13,6.690233
1.0,23,6.696338
0.0,17,6.700923
0.0,6,6.702537
1.0,13,6.705987
0.0,18,6.710924
1.0,28,6.718332
1.0,25,6.725021
1.0,11,6.728166
0.0,8,6.730307
0.0,10,6.73298
1.0,25,6.739696
1.0,13,6.743162
1.0,28,6.750831
1.0,27,6.758032
1.0,31,6.766472
1.0,11,6.769419
1.0,28,6.776818
1.0,23,6.78298
1.0,29,6.791215
1.0,12,6.794454
0.0,16,6.798701
1.0,24,6.805058
1.0,29,6.812989
1.0,11,6.815922
0.0,12,6.819154
0.0,8,6.821299
1.0,33,6.830355
0.0,4,6.831434
1.0,27,6.838584
1.0,26,6.845467
1.0,29,6.85347
0.0,4,6.854558
1.0,31,6.86298
1.0,25,6.869866
1.0,28,6.877304
1.0,11,6.880321
1.0,27,6.887773
0.0,4,6.888853
1.0,25,6.895564
0.0,4,6.896654
1.0,25,6.903354
0.0,22,6.909613
1.0,29,6.917611
1.0,13,6.921074
1.0,29,6.928953
1.0,33,6.937841
1.0,31,6.9463
1.0,15,6.950469
1.0,27,6.957628
1.0,25,6.964267
0.0,6,6.966033
1.0,11,6.969114
1.0,25,6.975807
1.0,25,6.982554
1.0,31,6.991032
1.0,13,6.99449
0.0,20,6.999887
1.0,23,7.006123
1.0,29,7.014032
1.0,11,7.016972
1.0,25,7.023777
1.0,23,7.030174
1.0,27,7.037471
1.0,11,7.040453
1.0,25,7.047352
1.0,25,7.054157
1.0,30,7.06228
1.0,15,7.066407
1.0,33,7.075368
1.0,24,7.081754
1.0,26,7.089044
0.0,7,7.091044
0.0,19,7.09611
1.0,23,7.10231
1.0,30,7.110781
1.0,11,7.113737
1.0,25,7.120389
0.0,4,7.121472
1.0,27,7.128883
1.0,12,7.132299
1.0,27,7.139634
0.0,8,7.141893
1.0,29,7.149816
1.0,11,7.152827
1.0,27,7.160044
0.0,14,7.163778
1.0,27,7.171186
1.0,13,7.174659
0.0,16,7.178948
1.0,27,7.186218
1.0,25,7.193089
1.0,15,7.197242
1.0,27,7.204401
0.0,19,7.209681
1.0,29,7.217458
1.0,11,7.220503
1.0,24,7.227081
1.0,23,7.233286
1.0,33,7.242258
1.0,17,7.247156
1.0,25,7.253904
1.0,27,7.26116
1.0,26,7.268344
1.0,11,7.271282
1.0,23,7.27755
1.0,26,7.284489
1.0,27,7.29193
1.0,11,7.294868
0.0,6,7.296483
1.0,26,7.303476
1.0,29,7.311375
1.0,11,7.314326
1.0,23,7.320525
0.0,13,7.324024
1.0,29,7.331931
0.0,11,7.33487
0.0,18,7.339643
1.0,25,7.34641
1.0,31,7.354964
1.0,15,7.358966
0.0,18,7.364045
0.0,8,7.366252
1.0,28,7.373956
1.0,13,7.377426
1.0,25,7.384239
1.0,25,7.391094
1.0,27,7.398292
1.0,11,7.401225
1.0,29,7.409194
0.0,4,7.41028
1.0,28,7.417706
1.0,15,7.421827
1.0,23,7.42826
0.0,6,7.429875
1.0,25,7.436524
1.0,11,7.439471
1.0,23,7.445731
1.0,25,7.452688
0.0,23,7.458933
1.0,11,7.462018
1.0,23,7.468397
1.0,29,7.476074
1.0,25,7.48288
1.0,11,7.485875
1.0,29,7.493799
1.0,23,7.499915
1.0,33,7.508896
1.0,13,7.512361
1.0,27,7.520057
1.0,28,7.527711
1.0,29,7.535805
1.0,11,7.538748
1.0,31,7.547281
1.0,23,7.553488
1.0,25,7.560179
1.0,13,7.563681
1.0,25,7.570593
1.0,25,7.577203
1.0,29,7.585003
1.0,11,7.588264
1.0,23,7.594369
1.0,27,7.601607
1.0,25,7.608469
1.0,11,7.611394
1.0,23,7.617492
1.0,23,7.623652
1.0,25,7.630531
1.0,13,7.634104
1.0,24,7.640445
1.0,27,7.647819
0.0,18,7.652729
0.0,4,7.653821
1.0,28,7.661249
1.0,25,7.668363
1.0,25,7.675187
0.0,4,7.676336
1.0,29,7.684298
1.0,27,7.691632
1.0,27,7.699071
1.0,11,7.702011
0.0,6,7.703721
1.0,30,7.712032
0.0,13,7.715529
1.0,11,7.718468
1.0,29,7.726154
1.0,23,7.732493
1.0,30,7.7405
1.0,14,7.744323
1.0,23,7.750639
1.0,23,7.756797
1.0,28,7.764362
1.0,11,7.767577
1.0,26,7.774539
1.0,25,7.781305
1.0,27,7.789135
1.0,11,7.792113
1.0,23,7.798223
1.0,23,7.804461
1.0,29,7.812481
0.0,9,7.814935
1.0,26,7.821833
0.0,14,7.825802
0.0,10,7.828604
1.0,17,7.833132
0.0,6,7.834774
1.0,26,7.841647
0.0,12,7.844923
1.0,11,7.848092
1.0,24,7.854544
0.0,21,7.860088
0.0,6,7.8617
1.0,12,7.864944
1.0,25,7.871899
1.0,23,7.878066
1.0,27,7.885353
0.0,2,7.885911
0.0,4,7.887208
0.0,19,7.892238
1.0,31,7.900756
1.0,13,7.90428
1.0,25,7.911182
1.0,31,7.919445
1.0,25,7.926078
1.0,13,7.92975
1.0,25,7.93638
0.0,21,7.94201
1.0,28,7.949824
0.0,2,7.950378
1.0,32,7.958879
1.0,24,7.965227
1.0,27,7.972675
1.0,11,7.975605
1.0,28,7.983048
1.0,28,7.990769
1.0,25,7.997391
1.0,11,8.000409
1.0,27,8.00782
1.0,25,8.014451
0.0,16,8.018688
1.0,11,8.021723
1.0,25,8.028763
1.0,24,8.035174
1.0,27,8.042362
1.0,11,8.045306
1.0,25,8.052367
1.0,30,8.060342
1.0,28,8.068216
