episodes,steps,total reward
71,10000,0.0
135,20000,0.0
192,30000,6.0
265,40000,12.0
424,50000,105.0
657,60000,137.0
885,70000,137.0
1107,80000,148.0
1331,90000,147.0
1576,100000,136.0
1807,110000,140.0
2026,120000,151.0
2255,130000,135.0
2483,140000,144.0
2715,150000,144.0
2940,160000,152.0
3170,170000,144.0
3400,180000,140.0
3638,190000,138.0
3874,200000,141.0
4121,210000,129.0
4360,220000,136.0
4583,230000,139.0
4819,240000,136.0
5049,250000,132.0
5282,260000,137.0
5520,270000,140.0
5752,280000,137.0
5971,290000,149.0
6203,300000,139.0
6431,310000,142.0
6664,320000,143.0
6893,330000,145.0
7130,340000,138.0
7365,350000,134.0
7592,360000,143.0
7814,370000,146.0
8048,380000,138.0
8289,390000,137.0
8527,400000,137.0
8753,410000,138.0
8975,420000,143.0
9198,430000,146.0
9425,440000,145.0
9655,450000,146.0
9874,460000,147.0
10095,470000,149.0
10319,480000,145.0
10553,490000,139.0
10786,500000,141.0
11019,510000,143.0
11256,520000,146.0
11490,530000,145.0
11726,540000,145.0
11960,550000,134.0
12195,560000,138.0
12425,570000,148.0
12654,580000,141.0
12876,590000,143.0
13110,600000,141.0
13337,610000,139.0
13550,620000,146.0
13776,630000,146.0
14016,640000,135.0
14238,650000,148.0
14474,660000,139.0
14711,670000,147.0
14946,680000,140.0
15174,690000,140.0
15404,700000,140.0
15641,710000,139.0
15875,720000,141.0
16106,730000,145.0
16325,740000,143.0
16556,750000,134.0
16788,760000,141.0
17015,770000,145.0
17250,780000,140.0
17487,790000,135.0
17716,800000,139.0
17946,810000,144.0
18168,820000,142.0
18395,830000,140.0
18624,840000,140.0
18864,850000,134.0
19105,860000,132.0
19322,870000,149.0
19549,880000,145.0
19779,890000,146.0
20012,900000,144.0
20242,910000,141.0
20473,920000,142.0
20697,930000,140.0
20921,940000,151.0
21153,950000,142.0
21390,960000,147.0
21627,970000,139.0
21859,980000,139.0
22085,990000,142.0
22323,1000000,136.0
