# {"t_start": 1639979717.7083387, "env_id": "Office-single-v0"} 
r,l,t
1.0,13,0.001298
1.0,20,0.002645
0.0,26,0.004375
1.0,39,0.006893
0.0,7,0.007366
0.0,25,0.00907
0.0,9,0.009666
1.0,10,0.010326
0.0,7,0.010832
0.0,9,0.011445
1.0,15,0.012465
0.0,35,0.014763
0.0,57,0.018568
1.0,4,0.018852
0.0,38,0.021353
0.0,49,0.024536
0.0,27,0.026292
0.0,152,0.036054
1.0,6,0.036471
1.0,14,0.03738
1.0,6,0.037782
1.0,12,0.038554
0.0,84,0.043807
1.0,11,0.044526
0.0,88,0.050158
0.0,52,0.05346
1.0,26,0.055137
0.0,2,0.055306
1.0,4,0.055586
1.0,4,0.055864
1.0,9,0.056453
0.0,8,0.05698
1.0,6,0.057397
1.0,4,0.057678
1.0,4,0.05796
1.0,4,0.058244
1.0,4,0.058528
1.0,4,0.058809
1.0,4,0.059088
1.0,6,0.059497
1.0,11,0.060207
1.0,4,0.060505
1.0,4,0.060791
1.0,4,0.061074
1.0,4,0.061353
1.0,4,0.061634
1.0,4,0.061918
1.0,4,0.0622
1.0,6,0.062612
1.0,6,0.063012
1.0,4,0.063291
1.0,4,0.063566
1.0,4,0.063844
1.0,4,0.06412
1.0,4,0.064396
1.0,4,0.06468
1.0,4,0.064955
1.0,4,0.065227
1.0,4,0.065504
1.0,6,0.065902
1.0,4,0.066257
1.0,4,0.066539
1.0,4,0.066821
1.0,4,0.067103
1.0,6,0.06752
1.0,4,0.067799
1.0,4,0.06811
1.0,4,0.068388
1.0,4,0.068671
1.0,4,0.068948
0.0,19,0.070193
1.0,4,0.070478
1.0,4,0.070762
1.0,4,0.071046
1.0,4,0.07133
1.0,4,0.071614
1.0,4,0.071897
1.0,4,0.072179
1.0,4,0.072473
1.0,4,0.072751
1.0,4,0.073029
1.0,6,0.073447
1.0,4,0.073729
1.0,4,0.074011
1.0,4,0.074306
1.0,6,0.074705
1.0,4,0.07498
1.0,4,0.075257
1.0,4,0.075534
1.0,4,0.075811
1.0,4,0.076089
1.0,4,0.076365
1.0,6,0.076764
1.0,4,0.077044
1.0,4,0.077332
1.0,4,0.077616
1.0,6,0.078024
1.0,10,0.078681
1.0,4,0.078965
1.0,4,0.079258
1.0,4,0.079534
1.0,4,0.07981
1.0,6,0.080208
1.0,4,0.080508
1.0,6,0.080919
1.0,4,0.081204
1.0,6,0.081614
1.0,4,0.081899
1.0,4,0.082183
1.0,4,0.082466
1.0,4,0.082748
1.0,7,0.083221
1.0,12,0.084005
1.0,4,0.084289
1.0,4,0.084579
1.0,4,0.084863
1.0,4,0.085146
1.0,7,0.085618
1.0,4,0.0859
1.0,9,0.086501
1.0,4,0.086786
0.0,88,0.092427
1.0,4,0.092722
1.0,4,0.09301
1.0,7,0.09348
1.0,4,0.093765
1.0,4,0.09405
1.0,6,0.094459
1.0,10,0.09513
1.0,4,0.095417
1.0,4,0.095701
1.0,4,0.095982
1.0,4,0.096268
1.0,7,0.096744
1.0,4,0.097028
1.0,6,0.097448
1.0,4,0.097726
1.0,4,0.098006
1.0,6,0.098424
1.0,4,0.098703
1.0,4,0.098988
1.0,6,0.099398
1.0,4,0.099682
1.0,4,0.099965
1.0,6,0.100376
1.0,4,0.100708
1.0,4,0.100996
1.0,4,0.101293
1.0,4,0.101574
1.0,4,0.10186
1.0,4,0.10214
1.0,4,0.102437
1.0,6,0.102847
1.0,6,0.103331
1.0,6,0.103743
1.0,4,0.104031
1.0,4,0.104313
1.0,4,0.1046
1.0,6,0.105015
1.0,4,0.105301
1.0,4,0.105584
1.0,6,0.105996
1.0,4,0.106281
1.0,4,0.106567
1.0,6,0.106979
1.0,6,0.107392
1.0,4,0.107678
1.0,4,0.107964
1.0,6,0.108374
0.0,20,0.109685
1.0,4,0.109975
1.0,4,0.110263
1.0,4,0.110548
1.0,4,0.110831
1.0,4,0.111118
1.0,8,0.111656
1.0,4,0.111941
1.0,6,0.112343
1.0,4,0.112633
1.0,6,0.113047
1.0,4,0.113332
1.0,4,0.113617
1.0,4,0.113903
0.0,35,0.116164
1.0,4,0.116456
1.0,4,0.116745
1.0,7,0.117223
1.0,4,0.11751
1.0,4,0.117794
1.0,4,0.118079
1.0,4,0.118362
1.0,4,0.118646
1.0,4,0.118931
1.0,4,0.119214
1.0,4,0.119498
1.0,4,0.119783
0.0,59,0.123597
1.0,4,0.123891
1.0,4,0.124178
1.0,4,0.124466
1.0,4,0.124753
1.0,6,0.125162
1.0,6,0.125573
1.0,4,0.125858
1.0,4,0.126143
1.0,8,0.12667
1.0,4,0.126955
1.0,6,0.127367
1.0,4,0.127649
1.0,6,0.128057
1.0,9,0.128652
1.0,4,0.128936
1.0,6,0.129347
1.0,4,0.129629
1.0,4,0.129914
1.0,7,0.130391
1.0,4,0.130674
1.0,4,0.130959
1.0,6,0.131365
1.0,4,0.131646
1.0,4,0.131932
1.0,4,0.132216
1.0,4,0.132638
1.0,4,0.132925
0.0,81,0.138131
1.0,4,0.138496
1.0,4,0.138784
1.0,4,0.139071
1.0,6,0.13948
1.0,4,0.139765
1.0,4,0.14005
1.0,6,0.140465
1.0,4,0.140752
1.0,4,0.141035
1.0,4,0.14132
1.0,4,0.141603
1.0,4,0.141885
1.0,4,0.142169
1.0,4,0.142453
1.0,6,0.142857
1.0,4,0.143141
1.0,4,0.14342
1.0,6,0.143831
1.0,4,0.144116
1.0,4,0.144399
1.0,4,0.144691
1.0,8,0.145228
1.0,6,0.145634
1.0,4,0.145919
1.0,4,0.1462
1.0,4,0.146484
1.0,4,0.14677
1.0,4,0.14706
1.0,4,0.147341
1.0,6,0.147749
1.0,4,0.148032
1.0,4,0.148316
1.0,4,0.148604
1.0,4,0.148888
1.0,4,0.14917
1.0,4,0.149454
1.0,6,0.149865
1.0,4,0.150154
1.0,4,0.150436
1.0,4,0.150719
1.0,4,0.151003
1.0,6,0.151411
1.0,4,0.151693
1.0,4,0.151975
1.0,6,0.152385
1.0,4,0.152675
1.0,6,0.153087
1.0,6,0.153494
1.0,4,0.15378
1.0,6,0.15419
1.0,6,0.154602
1.0,4,0.154884
1.0,4,0.155167
1.0,6,0.155578
1.0,4,0.155858
1.0,6,0.156265
1.0,6,0.156681
1.0,6,0.157093
1.0,6,0.157504
1.0,6,0.157916
1.0,4,0.158199
1.0,4,0.158483
1.0,4,0.158768
1.0,4,0.159052
1.0,4,0.159337
1.0,6,0.159747
1.0,4,0.16003
1.0,6,0.160445
1.0,4,0.160732
