# {"t_start": 1641600695.3718622, "env_id": "Office-single-v0"} 
r,l,t
0.0,28,0.008197
0.0,81,0.028855
0.0,272,0.092828
0.0,10,0.095219
0.0,35,0.103589
0.0,33,0.111414
0.0,51,0.123504
0.0,43,0.133737
0.0,72,0.151102
0.0,52,0.163643
0.0,209,0.212935
0.0,264,0.276752
0.0,49,0.288459
0.0,139,0.321407
0.0,72,0.338349
0.0,326,0.415397
0.0,104,0.440134
0.0,64,0.455182
0.0,552,0.586205
0.0,390,0.677394
0.0,64,0.6925
0.0,299,0.763996
0.0,60,0.778225
0.0,622,0.924935
0.0,355,1.010808
0.0,208,1.060178
0.0,141,1.093524
0.0,196,1.139237
0.0,237,1.195139
0.0,612,1.339762
0.0,352,1.422813
0.0,378,1.513431
0.0,1000,1.751326
0.0,1000,1.992009
0.0,719,2.16387
0.0,40,2.173591
0.0,1000,2.412454
0.0,1000,2.650523
0.0,807,2.842513
0.0,1000,3.081972
0.0,190,3.127737
0.0,64,3.143305
0.0,1000,3.381002
0.0,18,3.385319
0.0,537,3.513303
0.0,179,3.555608
0.0,30,3.562727
0.0,18,3.567083
0.0,768,3.749889
0.0,43,3.760216
0.0,84,3.780097
0.0,176,3.82225
0.0,341,3.904553
0.0,749,4.084332
0.0,162,4.123418
0.0,499,4.24221
0.0,132,4.273762
0.0,471,4.387307
0.0,208,4.437694
0.0,316,4.51328
0.0,555,4.647628
0.0,662,4.807669
0.0,416,4.907806
0.0,32,4.91543
0.0,470,5.028094
0.0,47,5.039527
0.0,274,5.105763
0.0,247,5.165416
0.0,384,5.257402
0.0,1000,5.497458
0.0,368,5.586514
0.0,46,5.597558
0.0,1000,5.837715
0.0,1000,6.077816
0.0,150,6.113743
0.0,104,6.138713
0.0,417,6.238989
0.0,1000,6.480348
0.0,193,6.526948
0.0,539,6.655406
0.0,475,6.769924
0.0,962,7.00241
0.0,201,7.050163
0.0,107,7.075478
0.0,1000,7.314243
0.0,17,7.318364
0.0,124,7.347788
0.0,14,7.35114
0.0,589,7.493046
0.0,404,7.588849
0.0,125,7.618476
0.0,1000,7.857232
0.0,155,7.894282
0.0,55,7.908041
0.0,1000,8.14584
0.0,99,8.169787
0.0,68,8.185996
0.0,34,8.194075
0.0,341,8.274801
0.0,158,8.312199
0.0,26,8.318389
0.0,273,8.385214
0.0,60,8.400243
0.0,68,8.417008
0.0,659,8.573846
0.0,243,8.63232
0.0,185,8.676807
0.0,649,8.831174
0.0,634,8.98374
0.0,45,8.994493
0.0,42,9.004542
0.0,632,9.156418
0.0,415,9.255207
0.0,1000,9.494816
0.0,555,9.628358
0.0,734,9.8032
0.0,435,9.908439
0.0,534,10.035418
0.0,39,10.044799
0.0,190,10.091211
0.0,1000,10.331114
0.0,161,10.369709
0.0,278,10.436274
0.0,224,10.489816
0.0,74,10.507395
0.0,871,10.716449
0.0,130,10.747403
0.0,27,10.75384
0.0,1000,10.994171
0.0,637,11.147111
0.0,714,11.318973
0.0,1000,11.55859
0.0,79,11.577341
0.0,129,11.608088
0.0,318,11.683336
0.0,1000,11.924041
0.0,575,12.062781
0.0,798,12.253683
0.0,124,12.283193
0.0,428,12.384694
0.0,458,12.496001
0.0,295,12.566046
0.0,19,12.570595
0.0,1000,12.809609
0.0,1000,13.049476
0.0,1000,13.288053
0.0,271,13.352759
0.0,1000,13.593853
0.0,1000,13.833272
0.0,1000,14.073265
0.0,29,14.08033
0.0,877,14.289708
0.0,63,14.304727
0.0,896,14.519136
0.0,117,14.546963
0.0,968,14.77838
0.0,128,14.80886
0.0,1000,15.048587
0.0,1000,15.287804
0.0,170,15.32864
0.0,1000,15.568314
0.0,326,15.646979
0.0,150,15.682676
0.0,351,15.765921
0.0,498,15.886022
0.0,719,16.058017
0.0,980,16.292
0.0,338,16.373182
0.0,777,16.559664
0.0,659,16.716866
0.0,806,16.911587
0.0,96,16.934466
0.0,310,17.009064
0.0,1000,17.24837
0.0,157,17.28668
0.0,137,17.319341
0.0,342,17.401599
0.0,62,17.416917
0.0,91,17.43851
0.0,128,17.46907
0.0,362,17.556447
0.0,875,17.766152
0.0,116,17.7939
0.0,908,18.011442
0.0,33,18.019352
0.0,719,18.190342
0.0,611,18.337199
0.0,1000,18.576912
0.0,769,18.760907
0.0,577,18.898776
0.0,1000,19.137654
0.0,891,19.350285
0.0,930,19.57256
0.0,3,19.573317
0.0,167,19.613279
0.0,509,19.734971
0.0,38,19.74399
0.0,79,19.762972
0.0,213,19.813683
0.0,127,19.843752
0.0,97,19.866761
0.0,740,20.043736
0.0,842,20.245608
0.0,1000,20.485402
0.0,287,20.553535
0.0,303,20.626534
0.0,10,20.628933
0.0,138,20.662201
0.0,205,20.711123
0.0,154,20.748459
0.0,1000,20.987846
0.0,79,21.006796
0.0,625,21.156743
0.0,925,21.378026
0.0,75,21.396125
0.0,430,21.499059
0.0,50,21.510963
0.0,131,21.542248
0.0,111,21.569327
0.0,1000,21.808364
0.0,386,21.901508
0.0,6,21.90302
0.0,395,21.998575
0.0,1000,22.237888
0.0,1000,22.477097
0.0,774,22.66228
0.0,301,22.734008
0.0,330,22.813959
0.0,64,22.829405
0.0,1000,23.069552
0.0,715,23.24066
0.0,115,23.268238
0.0,1000,23.508825
0.0,123,23.538301
0.0,428,23.640074
0.0,647,23.795472
0.0,637,23.94804
