# {"t_start": 1641603044.5238123, "env_id": "Office-v0"} 
r,l,t
0.0,38,0.017052
0.0,35,0.032183
0.0,93,0.069781
0.0,109,0.113569
0.0,61,0.138443
0.0,104,0.180984
0.0,63,0.20667
0.0,37,0.22174
0.0,80,0.254294
0.0,80,0.286891
0.0,193,0.365944
0.0,88,0.402088
1.0,441,0.582578
0.0,81,0.615912
0.0,244,0.715764
0.0,391,0.877347
0.0,403,1.042087
0.0,20,1.050299
0.0,164,1.11759
0.0,245,1.217363
0.0,150,1.281987
0.0,345,1.425238
0.0,319,1.556939
0.0,359,1.705946
0.0,274,1.818769
0.0,290,1.938057
0.0,398,2.10237
0.0,145,2.16275
1.0,111,2.208861
1.0,484,2.409907
0.0,513,2.620767
0.0,743,2.928792
0.0,81,2.962052
0.0,173,3.032744
0.0,137,3.088712
0.0,275,3.20192
0.0,1000,3.614098
0.0,340,3.758318
0.0,1000,4.179409
0.0,1000,4.600992
0.0,1000,5.024542
0.0,15,5.030915
0.0,36,5.04626
0.0,356,5.196514
1.0,282,5.315044
0.0,110,5.361526
0.0,26,5.372648
0.0,1000,5.795916
0.0,36,5.811154
1.0,645,6.084283
0.0,566,6.32461
0.0,1000,6.747015
1.0,71,6.777003
1.0,724,7.082727
0.0,857,7.444689
0.0,146,7.505975
1.0,91,7.544985
0.0,66,7.573131
0.0,964,7.979796
0.0,811,8.322123
1.0,152,8.387359
0.0,568,8.626618
0.0,126,8.679775
0.0,248,8.784196
1.0,155,8.850377
0.0,341,8.994282
0.0,112,9.041308
0.0,47,9.061049
1.0,269,9.174423
0.0,571,9.415459
0.0,629,9.680912
0.0,142,9.740494
1.0,192,9.821029
0.0,50,9.842079
0.0,59,9.8672
0.0,466,10.06386
1.0,99,10.106083
0.0,54,10.128848
0.0,1000,10.55282
0.0,98,10.594281
1.0,78,10.62707
0.0,616,10.888374
0.0,177,10.965071
0.0,1000,11.392547
1.0,71,11.422863
0.0,292,11.547376
0.0,171,11.620087
0.0,1000,12.047478
0.0,91,12.086163
0.0,5,12.088284
0.0,368,12.245578
0.0,593,12.497274
1.0,62,12.523594
0.0,20,12.532088
0.0,657,12.812299
0.0,76,12.84448
1.0,27,12.856086
0.0,24,12.866328
0.0,76,12.898526
0.0,105,12.94299
1.0,18,12.950619
0.0,350,13.099641
1.0,314,13.232114
0.0,428,13.412733
0.0,41,13.430006
1.0,388,13.594263
0.0,463,13.788812
0.0,26,13.799774
1.0,22,13.809054
1.0,433,13.992773
1.0,591,14.242275
0.0,596,14.494185
1.0,51,14.515644
1.0,420,14.692884
0.0,107,14.738707
0.0,560,14.976148
1.0,53,14.99861
0.0,342,15.142994
0.0,246,15.248275
0.0,230,15.345349
1.0,18,15.353164
1.0,339,15.49802
0.0,211,15.587997
0.0,112,15.635957
1.0,23,15.645696
1.0,506,15.859974
0.0,111,15.90699
0.0,1000,16.331651
1.0,20,16.340183
1.0,171,16.412631
1.0,431,16.596059
0.0,975,17.009386
1.0,18,17.017047
0.0,28,17.028929
0.0,521,17.249744
0.0,944,17.653267
1.0,21,17.662269
1.0,206,17.750559
0.0,1000,18.176766
0.0,1000,18.602038
0.0,5,18.604213
1.0,149,18.667586
0.0,137,18.726141
0.0,1000,19.154218
1.0,18,19.161951
1.0,305,19.291129
0.0,360,19.444969
0.0,31,19.45821
1.0,20,19.466691
0.0,117,19.516231
1.0,956,19.923226
0.0,23,19.933125
1.0,18,19.940778
1.0,230,20.038149
0.0,73,20.069053
0.0,68,20.097846
1.0,18,20.10546
1.0,202,20.19109
0.0,387,20.356427
0.0,117,20.406182
1.0,18,20.413803
1.0,198,20.497494
1.0,392,20.663165
0.0,305,20.793699
1.0,18,20.80145
1.0,417,20.978438
1.0,131,21.034081
0.0,740,21.349066
1.0,20,21.357789
1.0,151,21.422472
0.0,350,21.572028
0.0,1000,21.996359
1.0,25,22.007007
1.0,329,22.145956
0.0,189,22.226041
0.0,1000,22.650323
1.0,18,22.658062
0.0,131,22.713554
0.0,75,22.745295
0.0,93,22.784584
1.0,24,22.794713
1.0,222,22.890185
1.0,979,23.305785
0.0,209,23.394888
1.0,22,23.404202
0.0,49,23.424943
1.0,217,23.516533
0.0,1000,23.940739
1.0,22,23.950026
1.0,108,23.995593
0.0,60,24.020889
0.0,327,24.159994
1.0,20,24.168617
1.0,347,24.314728
1.0,179,24.390504
0.0,141,24.449869
1.0,22,24.459134
0.0,19,24.467167
1.0,64,24.494093
0.0,246,24.599321
1.0,18,24.606948
0.0,51,24.628522
0.0,93,24.667839
0.0,1000,25.091567
1.0,20,25.100061
1.0,60,25.125723
1.0,513,25.342506
0.0,1000,25.767383
1.0,20,25.7761
1.0,85,25.813708
0.0,192,25.895462
0.0,310,26.026361
1.0,20,26.034815
1.0,125,26.087691
1.0,227,26.184047
0.0,445,26.374264
1.0,18,26.381913
1.0,69,26.411097
0.0,101,26.453633
0.0,251,26.559806
1.0,18,26.567433
1.0,196,26.651174
0.0,108,26.697341
0.0,504,26.911264
1.0,18,26.918941
1.0,88,26.956187
1.0,488,27.16411
0.0,876,27.536454
1.0,21,27.545394
0.0,72,27.575881
0.0,104,27.61997
0.0,938,28.019594
0.0,5,28.021756
1.0,110,28.068276
1.0,394,28.236017
0.0,804,28.579466
1.0,22,28.588874
1.0,189,28.66893
0.0,495,28.879934
0.0,238,28.980725
1.0,18,28.988367
1.0,87,29.025246
1.0,64,29.052314
0.0,195,29.134633
1.0,18,29.142266
1.0,136,29.200523
1.0,74,29.232426
0.0,1000,29.657572
1.0,27,29.668997
1.0,66,29.696862
1.0,190,29.777073
0.0,588,30.025354
1.0,22,30.035018
1.0,51,30.056959
0.0,142,30.116899
0.0,264,30.228594
1.0,20,30.237064
1.0,64,30.264127
0.0,27,30.275507
0.0,153,30.340052
0.0,5,30.342181
1.0,147,30.404645
1.0,64,30.431739
0.0,86,30.468833
1.0,22,30.478389
1.0,99,30.520662
1.0,74,30.551878
0.0,408,30.724809
1.0,20,30.733283
1.0,82,30.768073
