episodes,steps,total reward
11,1000,0.0
15,2000,0.0
20,3000,0.0
24,4000,0.0
27,5000,0.0
30,6000,0.0
31,7000,0.0
36,8000,0.0
37,9000,0.0
38,10000,0.0
39,11000,0.0
40,12000,0.0
42,13000,0.0
43,14000,0.0
44,15000,0.0
50,16000,0.0
52,17000,0.0
53,18000,0.0
56,19000,0.0
60,20000,0.0
63,21000,0.0
65,22000,0.0
66,23000,0.0
67,24000,0.0
69,25000,0.0
72,26000,0.0
73,27000,0.0
75,28000,0.0
77,29000,0.0
78,30000,0.0
80,31000,0.0
84,32000,0.0
89,33000,0.0
90,34000,0.0
95,35000,0.0
97,36000,0.0
99,37000,0.0
104,38000,0.0
106,39000,0.0
107,40000,0.0
110,41000,0.0
117,42000,0.0
118,43000,0.0
119,44000,0.0
121,45000,0.0
123,46000,0.0
124,47000,0.0
125,48000,0.0
126,49000,0.0
130,50000,0.0
133,51000,0.0
136,52000,0.0
137,53000,0.0
141,54000,0.0
145,55000,0.0
147,56000,0.0
148,57000,0.0
150,58000,0.0
151,59000,0.0
153,60000,0.0
154,61000,0.0
155,62000,0.0
157,63000,0.0
158,64000,0.0
161,65000,0.0
166,66000,0.0
168,67000,0.0
170,68000,0.0
171,69000,0.0
172,70000,0.0
175,71000,0.0
176,72000,0.0
177,73000,0.0
181,74000,0.0
182,75000,0.0
184,76000,0.0
185,77000,0.0
186,78000,0.0
188,79000,0.0
189,80000,0.0
193,81000,0.0
194,82000,0.0
195,83000,0.0
199,84000,0.0
200,85000,0.0
201,86000,0.0
203,87000,0.0
207,88000,0.0
208,89000,0.0
209,90000,0.0
212,91000,0.0
214,92000,0.0
218,93000,0.0
221,94000,0.0
222,95000,0.0
224,96000,0.0
227,97000,0.0
229,98000,0.0
233,99000,0.0
234,100000,0.0
