episodes,steps,total reward
43,10000,0.0
69,20000,0.0
86,30000,0.0
112,40000,0.0
131,50000,0.0
148,60000,0.0
175,70000,0.0
195,80000,0.0
216,90000,0.0
238,100000,0.0
261,110000,0.0
292,120000,0.0
312,130000,1.0
331,140000,0.0
358,150000,0.0
381,160000,0.0
411,170000,3.0
450,180000,17.0
563,190000,86.0
707,200000,111.0
846,210000,107.0
986,220000,105.0
1126,230000,106.0
1271,240000,107.0
1405,250000,105.0
1550,260000,107.0
1688,270000,113.0
1831,280000,108.0
1966,290000,115.0
2106,300000,114.0
2247,310000,107.0
2390,320000,104.0
2537,330000,104.0
2678,340000,110.0
2820,350000,104.0
2957,360000,108.0
3097,370000,107.0
3239,380000,106.0
3378,390000,109.0
3519,400000,104.0
3663,410000,108.0
3798,420000,116.0
3943,430000,108.0
4093,440000,103.0
4238,450000,109.0
4380,460000,104.0
4521,470000,111.0
4661,480000,108.0
4799,490000,107.0
4939,500000,111.0
5085,510000,104.0
5227,520000,108.0
5371,530000,105.0
5512,540000,110.0
5654,550000,103.0
5795,560000,106.0
5939,570000,108.0
6084,580000,104.0
6224,590000,110.0
6367,600000,105.0
6502,610000,115.0
6645,620000,111.0
6785,630000,107.0
6926,640000,109.0
7070,650000,107.0
7211,660000,107.0
7355,670000,108.0
7493,680000,117.0
7633,690000,108.0
7773,700000,102.0
7919,710000,104.0
8057,720000,109.0
8200,730000,109.0
8342,740000,110.0
8481,750000,116.0
8625,760000,108.0
8769,770000,109.0
8909,780000,109.0
9051,790000,107.0
9192,800000,107.0
9334,810000,107.0
9478,820000,111.0
9621,830000,111.0
9763,840000,112.0
9906,850000,114.0
10050,860000,109.0
10188,870000,110.0
10328,880000,109.0
10469,890000,107.0
10608,900000,107.0
10748,910000,114.0
10893,920000,102.0
11032,930000,111.0
11169,940000,109.0
11311,950000,114.0
11454,960000,108.0
11595,970000,105.0
11732,980000,104.0
11870,990000,102.0
12016,1000000,106.0
