# {"t_start": 1642011750.444862, "env_id": "Office-single-v0"} 
r,l,t
0.0,18,0.00487
0.0,107,0.031587
0.0,68,0.048194
0.0,115,0.075865
0.0,86,0.096583
0.0,32,0.104219
0.0,7,0.105901
0.0,98,0.129086
0.0,214,0.179751
0.0,88,0.201006
0.0,147,0.235835
0.0,210,0.286296
0.0,298,0.357129
0.0,266,0.420521
0.0,290,0.489999
0.0,39,0.49931
0.0,254,0.560117
0.0,376,0.650379
0.0,363,0.737185
0.0,15,0.74076
0.0,274,0.805724
0.0,282,0.872693
0.0,622,1.020858
0.0,217,1.072762
0.0,637,1.224571
0.0,296,1.294826
0.0,352,1.378588
0.0,495,1.49624
0.0,163,1.534851
0.0,173,1.575824
0.0,1000,1.813162
0.0,143,1.848783
0.0,238,1.907325
0.0,1000,2.148837
0.0,29,2.155849
0.0,135,2.189683
0.0,1000,2.531022
0.0,74,2.549178
0.0,656,2.706805
0.0,248,2.766376
0.0,518,2.890701
0.0,1000,3.13264
0.0,77,3.151116
0.0,786,3.339962
0.0,157,3.377603
0.0,7,3.379311
0.0,58,3.393286
0.0,1000,3.634229
0.0,183,3.678254
0.0,905,3.896589
0.0,841,4.10028
0.0,158,4.138384
0.0,425,4.24163
0.0,118,4.270516
0.0,166,4.311305
0.0,180,4.355129
0.0,366,4.444294
0.0,223,4.49912
0.0,209,4.550079
0.0,491,4.669512
0.0,402,4.766893
0.0,418,4.868172
0.0,519,4.996226
0.0,1000,5.23772
0.0,251,5.298183
0.0,1000,5.540783
0.0,43,5.551358
0.0,789,5.741668
0.0,500,5.862628
0.0,56,5.876126
0.0,1000,6.118864
0.0,141,6.152834
0.0,1000,6.394413
0.0,847,6.599016
0.0,81,6.618437
0.0,318,6.694992
0.0,773,6.88277
0.0,1000,7.125356
0.0,342,7.208158
0.0,686,7.375385
0.0,84,7.395802
0.0,127,7.426399
0.0,5,7.427619
0.0,57,7.441425
0.0,163,7.481262
0.0,14,7.484651
0.0,240,7.544054
0.0,893,7.761324
0.0,20,7.766212
0.0,247,7.825585
0.0,107,7.851391
0.0,168,7.891794
0.0,586,8.034334
0.0,544,8.165689
0.0,509,8.288401
0.0,67,8.304625
0.0,1000,8.54701
0.0,208,8.597252
0.0,646,8.752917
0.0,183,8.796963
0.0,321,8.87441
0.0,107,8.900007
0.0,610,9.04728
0.0,275,9.113638
0.0,146,9.149232
0.0,137,9.182344
0.0,1000,9.423295
0.0,1000,9.664381
0.0,127,9.694937
0.0,517,9.82143
0.0,838,10.024406
0.0,625,10.175013
0.0,1000,10.416225
0.0,1000,10.657682
0.0,511,10.780809
0.0,1000,11.023139
0.0,576,11.161928
0.0,772,11.347779
0.0,233,11.403745
0.0,73,11.421287
0.0,202,11.470008
0.0,63,11.485404
0.0,116,11.513406
0.0,1000,11.755284
0.0,87,11.776279
0.0,30,11.783622
0.0,97,11.806955
0.0,113,11.834099
0.0,25,11.84014
0.0,719,12.014231
0.0,148,12.049822
0.0,199,12.097744
0.0,101,12.122062
0.0,85,12.142909
0.0,346,12.227761
0.0,1000,12.469297
0.0,219,12.522174
0.0,677,12.684598
0.0,398,12.781142
0.0,431,12.884963
0.0,395,12.980783
0.0,1000,13.222427
0.0,393,13.316818
0.0,477,13.431663
0.0,870,13.641403
0.0,150,13.677423
0.0,553,13.810572
0.0,1000,14.052126
0.0,385,14.145083
0.0,449,14.253273
0.0,78,14.272349
0.0,632,14.424178
0.0,224,14.478531
0.0,236,14.535221
0.0,317,14.612344
0.0,1000,14.85368
0.0,1000,15.095049
0.0,171,15.136045
0.0,113,15.163212
0.0,810,15.358629
0.0,190,15.404463
0.0,436,15.510167
0.0,237,15.567363
0.0,43,15.577708
0.0,579,15.717393
0.0,115,15.744967
0.0,583,15.885972
0.0,73,15.903548
0.0,147,15.938772
0.0,31,15.94628
0.0,46,15.957488
0.0,194,16.004698
0.0,286,16.073862
0.0,66,16.089924
0.0,83,16.110095
0.0,127,16.140716
0.0,596,16.284621
0.0,74,16.302351
0.0,121,16.331421
0.0,1000,16.573242
0.0,722,16.74935
0.0,878,16.961737
0.0,805,17.159266
0.0,1000,17.400216
0.0,1000,17.641957
0.0,656,17.799155
0.0,624,17.949129
0.0,7,17.950852
0.0,361,18.038544
0.0,33,18.046495
0.0,1000,18.288664
0.0,111,18.315355
0.0,72,18.332693
0.0,34,18.340867
0.0,33,18.348828
0.0,763,18.533133
0.0,23,18.538696
0.0,1000,18.780047
0.0,742,18.959439
0.0,1000,19.201078
0.0,213,19.252278
0.0,125,19.28241
0.0,639,19.437293
0.0,45,19.449012
0.0,90,19.471997
0.0,1000,19.714001
0.0,47,19.72541
0.0,207,19.775183
0.0,95,19.798111
0.0,176,19.840554
0.0,109,19.866839
0.0,988,20.106172
0.0,5,20.107421
0.0,827,20.306124
0.0,26,20.312374
0.0,491,20.430064
0.0,947,20.659377
0.0,662,20.818799
0.0,5,20.820041
0.0,135,20.852531
0.0,924,21.07633
0.0,1000,21.318741
0.0,138,21.351984
0.0,204,21.401021
0.0,123,21.430795
0.0,1000,21.671466
0.0,120,21.700397
0.0,167,21.740516
0.0,1000,21.986771
0.0,512,22.110486
0.0,321,22.188073
0.0,119,22.21676
0.0,1000,22.458439
0.0,162,22.498087
0.0,1000,22.738299
0.0,1000,22.980592
0.0,156,23.01925
0.0,151,23.055745
0.0,49,23.067681
0.0,202,23.116261
0.0,31,23.123806
0.0,1000,23.364139
0.0,88,23.3853
0.0,97,23.408607
0.0,374,23.499224
0.0,374,23.589387
0.0,12,23.592296
0.0,202,23.641431
0.0,644,23.796105
0.0,775,23.98358
0.0,1000,24.22547
0.0,129,24.257016
0.0,184,24.303273
0.0,457,24.412952
