# {"t_start": 1641369984.3000398, "env_id": "Office-single-v0"} 
r,l,t
0.0,25,0.005018
0.0,20,0.0088
0.0,59,0.01883
0.0,23,0.022158
0.0,7,0.023171
0.0,24,0.026571
0.0,46,0.033223
0.0,29,0.037367
0.0,57,0.045455
0.0,58,0.054183
0.0,45,0.060484
0.0,22,0.063666
0.0,35,0.068549
0.0,72,0.078759
0.0,46,0.085283
0.0,35,0.090391
0.0,23,0.093723
0.0,112,0.109738
0.0,56,0.117788
0.0,7,0.11885
0.0,10,0.120297
0.0,103,0.134994
0.0,71,0.14514
0.0,47,0.152272
0.0,136,0.172119
0.0,77,0.183253
0.0,97,0.19743
0.0,24,0.200896
0.0,6,0.201779
0.0,178,0.227187
0.0,36,0.232307
0.0,81,0.243931
0.0,117,0.260747
0.0,200,0.289301
0.0,14,0.29133
0.0,120,0.308703
0.0,314,0.354286
0.0,555,0.433538
0.0,227,0.466727
0.0,57,0.474879
0.0,215,0.506311
0.0,67,0.515973
0.0,432,0.577716
0.0,110,0.594
0.0,290,0.63612
0.0,293,0.677963
0.0,7,0.679028
0.0,581,0.762743
0.0,78,0.774247
0.0,77,0.785192
0.0,22,0.788377
0.0,82,0.800026
0.0,257,0.836693
0.0,143,0.857139
0.0,90,0.870226
0.0,175,0.895672
0.0,10,0.897127
0.0,5,0.897908
0.0,18,0.900575
0.0,210,0.931077
0.0,92,0.944199
0.0,29,0.948364
0.0,249,0.984013
0.0,83,0.995796
0.0,20,0.998655
0.0,240,1.033384
0.0,8,1.034733
0.0,216,1.066149
0.0,400,1.124027
0.0,325,1.170822
0.0,428,1.232621
0.0,241,1.267154
1.0,324,1.31353
0.0,188,1.34111
0.0,146,1.361874
0.0,29,1.366056
0.0,934,1.50083
0.0,469,1.567655
0.0,187,1.594515
0.0,7,1.595542
0.0,35,1.600747
0.0,195,1.629134
0.0,9,1.630487
0.0,71,1.640601
0.0,181,1.666382
0.0,14,1.668399
0.0,74,1.678964
0.0,16,1.681249
0.0,134,1.700241
0.0,90,1.713088
0.0,192,1.74075
0.0,93,1.754039
0.0,31,1.758567
0.0,130,1.777692
0.0,20,1.780744
0.0,14,1.782774
0.0,15,1.784926
0.0,647,1.878416
0.0,137,1.898124
0.0,171,1.923225
0.0,89,1.936093
0.0,120,1.953332
0.0,27,1.957187
0.0,56,1.965158
0.0,305,2.00876
0.0,889,2.13723
0.0,91,2.150143
0.0,24,2.153545
0.0,27,2.157384
0.0,185,2.184258
0.0,176,2.209688
0.0,29,2.213883
0.0,24,2.217298
0.0,437,2.279783
0.0,83,2.29165
0.0,291,2.333666
0.0,9,2.335014
0.0,31,2.33949
0.0,33,2.344431
0.0,178,2.370096
0.0,138,2.390315
0.0,36,2.395478
0.0,22,2.398679
0.0,192,2.426102
0.0,268,2.464835
0.0,34,2.470049
0.0,113,2.486498
0.0,62,2.495638
0.0,15,2.497848
0.0,12,2.499614
0.0,93,2.512945
0.0,367,2.565606
0.0,12,2.567346
0.0,461,2.634546
0.0,117,2.651311
0.0,54,2.659006
0.0,210,2.689018
0.0,919,2.821313
0.0,200,2.849852
0.0,44,2.856158
0.0,240,2.890911
0.0,520,2.967158
0.0,133,2.986655
0.0,127,3.004798
0.0,9,3.006116
0.0,242,3.041504
0.0,9,3.042977
0.0,117,3.060038
0.0,470,3.127872
0.0,416,3.187298
0.0,54,3.195529
0.0,35,3.20057
0.0,323,3.247109
0.0,63,3.256102
0.0,455,3.32093
