# {"t_start": 1642032690.9231517, "env_id": "Office-v0"} 
r,l,t
0.0,31,0.010112
0.0,38,0.021948
0.0,198,0.080363
0.0,34,0.09068
0.0,120,0.126168
0.0,14,0.130433
0.0,27,0.138379
0.0,179,0.191538
0.0,64,0.21048
0.0,129,0.248551
0.0,78,0.271483
0.0,3,0.272381
0.0,80,0.295956
0.0,101,0.325567
0.0,72,0.346703
0.0,46,0.360737
0.0,328,0.45802
0.0,257,0.534623
0.0,61,0.552752
0.0,331,0.651824
1.0,351,0.755352
0.0,156,0.801779
0.0,249,0.876296
0.0,179,0.929747
0.0,309,1.022378
0.0,418,1.145908
0.0,340,1.247003
0.0,454,1.383442
0.0,255,1.459092
0.0,549,1.622594
0.0,556,1.786951
0.0,245,1.860915
0.0,114,1.895296
0.0,136,1.936037
0.0,301,2.026194
0.0,494,2.174206
0.0,605,2.355339
1.0,701,2.568274
0.0,131,2.607952
0.0,141,2.65043
0.0,159,2.698317
0.0,80,2.72243
0.0,536,2.884583
0.0,1000,3.187579
0.0,26,3.195662
0.0,54,3.211881
0.0,11,3.215286
0.0,1000,3.51638
0.0,69,3.537347
1.0,688,3.746609
0.0,237,3.818457
0.0,601,3.999588
1.0,336,4.101197
0.0,110,4.134189
0.0,65,4.153781
0.0,381,4.268815
1.0,251,4.344125
0.0,75,4.366936
0.0,555,4.53382
0.0,87,4.560181
1.0,72,4.581956
0.0,182,4.636811
0.0,937,4.920329
0.0,399,5.040548
0.0,115,5.075787
1.0,430,5.206051
0.0,100,5.236188
0.0,292,5.324191
1.0,76,5.347111
1.0,473,5.490731
0.0,80,5.514868
0.0,126,5.552843
1.0,102,5.583663
0.0,13,5.587605
0.0,39,5.599321
0.0,1000,5.901803
1.0,179,5.955799
0.0,204,6.018105
0.0,147,6.064053
0.0,1000,6.367786
1.0,43,6.381041
0.0,104,6.412597
0.0,121,6.449267
0.0,53,6.46532
1.0,52,6.481077
0.0,480,6.62731
0.0,33,6.637407
0.0,87,6.663798
1.0,122,6.700758
0.0,142,6.743814
0.0,433,6.875957
0.0,1000,7.178593
1.0,50,7.193736
1.0,606,7.377711
1.0,809,7.622347
0.0,1000,7.926365
1.0,116,7.961509
0.0,62,7.980308
0.0,1000,8.283933
0.0,1000,8.587989
1.0,64,8.607425
0.0,437,8.740477
0.0,143,8.783763
0.0,437,8.917208
1.0,55,8.933949
1.0,420,9.062537
0.0,30,9.072133
0.0,73,9.095087
1.0,33,9.105261
1.0,670,9.310255
0.0,25,9.317953
0.0,1000,9.625761
1.0,93,9.654303
0.0,509,9.809729
0.0,427,9.941715
0.0,126,9.980171
1.0,28,9.988725
0.0,285,10.075744
0.0,282,10.162601
0.0,107,10.195307
1.0,83,10.22097
0.0,36,10.231954
1.0,844,10.489617
0.0,599,10.672037
1.0,20,10.678157
0.0,126,10.716573
0.0,52,10.732673
0.0,71,10.754308
1.0,24,10.761631
1.0,103,10.793022
1.0,847,11.052026
0.0,48,11.066677
1.0,22,11.073407
0.0,151,11.119397
1.0,380,11.235157
0.0,61,11.253808
1.0,21,11.260186
1.0,214,11.325454
