episodes,steps,total reward
20,1000,0.0
29,2000,0.0
33,3000,0.0
37,4000,0.0
45,5000,0.0
51,6000,0.0
57,7000,0.0
64,8000,1.0
68,9000,0.0
71,10000,0.0
75,11000,0.0
85,12000,0.0
93,13000,0.0
102,14000,0.0
108,15000,0.0
117,16000,0.0
125,17000,0.0
131,18000,0.0
138,19000,0.0
142,20000,0.0
146,21000,0.0
151,22000,0.0
158,23000,0.0
163,24000,0.0
165,25000,0.0
171,26000,0.0
174,27000,0.0
186,28000,0.0
195,29000,0.0
200,30000,0.0
206,31000,0.0
210,32000,0.0
220,33000,6.0
243,34000,16.0
273,35000,19.0
299,36000,16.0
323,37000,18.0
353,38000,19.0
380,39000,20.0
410,40000,17.0
443,41000,14.0
469,42000,20.0
497,43000,20.0
525,44000,19.0
552,45000,18.0
581,46000,16.0
609,47000,19.0
636,48000,18.0
663,49000,20.0
691,50000,18.0
720,51000,18.0
747,52000,21.0
774,53000,19.0
805,54000,18.0
835,55000,20.0
863,56000,22.0
889,57000,19.0
917,58000,19.0
948,59000,17.0
976,60000,17.0
1011,61000,16.0
1038,62000,18.0
1064,63000,20.0
1093,64000,20.0
1120,65000,16.0
1147,66000,21.0
1176,67000,19.0
1196,68000,17.0
1224,69000,18.0
1251,70000,20.0
1278,71000,21.0
1309,72000,18.0
1338,73000,19.0
1369,74000,21.0
1399,75000,20.0
1427,76000,19.0
1455,77000,19.0
1483,78000,19.0
1512,79000,18.0
1538,80000,22.0
1566,81000,20.0
1593,82000,17.0
1621,83000,19.0
1649,84000,19.0
1678,85000,19.0
1704,86000,22.0
1730,87000,21.0
1758,88000,18.0
1788,89000,18.0
1815,90000,19.0
1841,91000,20.0
1869,92000,17.0
1899,93000,17.0
1929,94000,17.0
1958,95000,19.0
1991,96000,12.0
2018,97000,20.0
2051,98000,20.0
2077,99000,20.0
2104,100000,20.0
