episodes,steps,total reward
50,10000,2.0
78,20000,9.0
106,30000,8.0
141,40000,13.0
186,50000,19.0
235,60000,28.0
286,70000,27.0
343,80000,40.0
398,90000,35.0
463,100000,46.0
527,110000,42.0
589,120000,42.0
675,130000,60.0
739,140000,45.0
811,150000,53.0
887,160000,57.0
1071,170000,158.0
1300,180000,194.0
1541,190000,211.0
1767,200000,192.0
2010,210000,221.0
2261,220000,215.0
2507,230000,212.0
2749,240000,210.0
3001,250000,219.0
3252,260000,220.0
3503,270000,216.0
3750,280000,216.0
3993,290000,211.0
4238,300000,211.0
4482,310000,216.0
4729,320000,213.0
4982,330000,221.0
5230,340000,208.0
5475,350000,216.0
5722,360000,218.0
5972,370000,215.0
6224,380000,218.0
6475,390000,216.0
6719,400000,220.0
6968,410000,210.0
7217,420000,216.0
7455,430000,218.0
7703,440000,216.0
7946,450000,218.0
8187,460000,218.0
8435,470000,219.0
8678,480000,222.0
8925,490000,219.0
9169,500000,210.0
9418,510000,220.0
9667,520000,216.0
9919,530000,213.0
10166,540000,215.0
10410,550000,216.0
10661,560000,218.0
10907,570000,216.0
11155,580000,207.0
11397,590000,219.0
11645,600000,211.0
11885,610000,215.0
12126,620000,213.0
12369,630000,216.0
12617,640000,216.0
12858,650000,210.0
13113,660000,218.0
13351,670000,218.0
13593,680000,218.0
13832,690000,214.0
14075,700000,221.0
14317,710000,219.0
14563,720000,210.0
14809,730000,215.0
15061,740000,211.0
15303,750000,219.0
15545,760000,212.0
15799,770000,216.0
16047,780000,211.0
16292,790000,214.0
16535,800000,219.0
16786,810000,212.0
17033,820000,217.0
17282,830000,216.0
17523,840000,218.0
17769,850000,209.0
18018,860000,218.0
18267,870000,223.0
18519,880000,215.0
18764,890000,218.0
19006,900000,210.0
19258,910000,217.0
19516,920000,208.0
19759,930000,215.0
20007,940000,217.0
20251,950000,219.0
20495,960000,213.0
20738,970000,217.0
20982,980000,221.0
21220,990000,215.0
21472,1000000,213.0
