# {"t_start": 1641238281.7032852, "env_id": "Office-single-v0"} 
r,l,t
0.0,17,0.002794
0.0,16,0.004783
0.0,42,0.010129
0.0,51,0.016334
0.0,20,0.018775
0.0,12,0.020215
0.0,23,0.023258
0.0,36,0.027847
0.0,54,0.034213
0.0,39,0.039167
0.0,66,0.047401
0.0,23,0.050251
0.0,38,0.054784
0.0,53,0.061004
0.0,176,0.082294
0.0,106,0.094966
0.0,89,0.105297
0.0,91,0.115839
0.0,115,0.129619
0.0,120,0.144269
0.0,31,0.148329
0.0,41,0.153471
0.0,157,0.172276
0.0,93,0.183393
0.0,131,0.198908
0.0,42,0.203961
0.0,10,0.20516
0.0,128,0.220161
0.0,119,0.234256
0.0,4,0.23479
0.0,144,0.252076
0.0,65,0.259804
0.0,41,0.264675
0.0,85,0.275264
0.0,452,0.329451
0.0,57,0.336397
0.0,413,0.386029
0.0,209,0.411365
0.0,29,0.414868
0.0,122,0.429327
0.0,428,0.480754
0.0,614,0.55546
0.0,124,0.570012
0.0,42,0.574923
0.0,112,0.588136
0.0,39,0.59269
0.0,302,0.628984
0.0,11,0.630462
0.0,9,0.631586
0.0,13,0.633364
0.0,120,0.648327
0.0,211,0.673382
0.0,443,0.726125
0.0,71,0.734904
0.0,86,0.745122
0.0,116,0.759386
0.0,122,0.774338
0.0,94,0.785748
0.0,139,0.802068
0.0,536,0.866775
0.0,146,0.884456
0.0,451,0.937786
0.0,7,0.938634
0.0,67,0.946386
0.0,8,0.947376
0.0,302,0.983355
0.0,33,0.98771
0.0,19,0.990006
0.0,61,0.997618
1.0,479,1.055239
0.0,108,1.067845
0.0,186,1.089918
0.0,37,1.094455
0.0,768,1.187253
0.0,212,1.21223
0.0,90,1.222842
0.0,220,1.249443
0.0,717,1.33585
0.0,20,1.338229
0.0,11,1.339786
0.0,90,1.350816
0.0,14,1.35247
0.0,121,1.367208
0.0,60,1.374734
0.0,15,1.376503
0.0,252,1.406065
0.0,22,1.408652
0.0,134,1.424475
0.0,97,1.435889
0.0,52,1.441972
0.0,464,1.498362
0.0,136,1.514585
0.0,16,1.516445
0.0,380,1.561492
0.0,17,1.56372
0.0,14,1.565433
0.0,110,1.579206
0.0,67,1.587089
0.0,17,1.589148
0.0,603,1.662251
0.0,202,1.686262
0.0,123,1.700738
0.0,252,1.731904
0.0,391,1.778046
0.0,145,1.795063
0.0,1000,1.914999
0.0,103,1.92734
0.0,56,1.934354
0.0,146,1.952306
0.0,7,1.953218
0.0,177,1.974626
0.0,365,2.017383
0.0,66,2.025293
0.0,82,2.034854
0.0,297,2.070792
0.0,8,2.071826
0.0,45,2.077283
0.0,169,2.097918
0.0,45,2.103373
0.0,36,2.107665
0.0,238,2.136169
0.0,48,2.141883
0.0,69,2.150201
0.0,13,2.151797
0.0,100,2.163516
0.0,20,2.16623
0.0,2,2.166515
0.0,321,2.205537
0.0,601,2.277822
0.0,56,2.284597
0.0,6,2.285618
0.0,340,2.327672
0.0,73,2.336381
0.0,213,2.361637
0.0,119,2.375628
0.0,8,2.376613
1.0,848,2.478598
0.0,206,2.503002
0.0,40,2.507901
0.0,542,2.573533
0.0,90,2.584291
0.0,185,2.605903
0.0,478,2.663374
0.0,36,2.66819
0.0,24,2.671074
0.0,32,2.675162
1.0,167,2.695214
0.0,39,2.700099
0.0,82,2.709794
0.0,6,2.710525
0.0,111,2.723487
0.0,17,2.725618
0.0,236,2.753402
0.0,15,2.755252
0.0,219,2.781786
0.0,349,2.823931
0.0,249,2.854192
0.0,187,2.876453
0.0,72,2.885174
0.0,221,2.911937
0.0,457,2.967169
0.0,30,2.970681
0.0,4,2.971174
0.0,54,2.977512
0.0,329,3.0161
0.0,24,3.019377
0.0,67,3.027358
0.0,431,3.079203
0.0,740,3.168664
0.0,152,3.187236
0.0,423,3.237004
0.0,22,3.239591
0.0,37,3.243967
0.0,101,3.256001
0.0,211,3.281959
0.0,107,3.295023
0.0,195,3.318253
0.0,25,3.321326
0.0,344,3.361933
1.0,62,3.369458
0.0,38,3.37392
0.0,370,3.419237
0.0,511,3.480521
0.0,69,3.489153
1.0,157,3.508116
0.0,456,3.562895
0.0,45,3.568307
1.0,74,3.577113
0.0,71,3.585654
0.0,67,3.593751
0.0,73,3.602731
1.0,60,3.610161
1.0,51,3.61621
0.0,114,3.629775
0.0,417,3.682075
0.0,58,3.688913
0.0,68,3.697056
1.0,51,3.703066
0.0,8,3.704071
0.0,462,3.760109
1.0,67,3.768427
0.0,61,3.776209
0.0,110,3.789289
0.0,10,3.790492
0.0,381,3.83581
1.0,63,3.843416
1.0,45,3.848821
1.0,41,3.85393
1.0,316,3.892463
1.0,62,3.900174
1.0,42,3.905566
0.0,42,3.910768
1.0,48,3.91643
0.0,17,3.918465
0.0,5,3.919085
0.0,34,3.923199
0.0,22,3.925843
1.0,43,3.930972
1.0,40,3.935765
0.0,37,3.940199
1.0,40,3.945096
1.0,40,3.949855
1.0,45,3.955218
1.0,41,3.960078
1.0,41,3.964938
0.0,13,3.966492
0.0,22,3.969081
0.0,11,3.970425
1.0,41,3.975583
0.0,8,3.976551
0.0,35,3.980888
0.0,36,3.985316
0.0,19,3.98767
1.0,42,3.992614
1.0,42,3.997592
0.0,744,4.08781
0.0,24,4.090759
1.0,42,4.096188
1.0,42,4.101182
1.0,42,4.106327
1.0,46,4.111829
1.0,45,4.117167
0.0,9,4.118589
1.0,42,4.123791
1.0,40,4.128886
0.0,30,4.132691
1.0,38,4.13752
1.0,40,4.142761
0.0,19,4.144996
1.0,50,4.15164
1.0,38,4.156195
1.0,44,4.161384
0.0,9,4.16246
0.0,6,4.16328
1.0,38,4.167814
1.0,42,4.172963
0.0,13,4.174503
0.0,31,4.17814
1.0,41,4.18303
1.0,42,4.187983
0.0,23,4.19068
1.0,42,4.195659
0.0,36,4.19989
1.0,50,4.205778
1.0,48,4.211634
0.0,32,4.215398
0.0,34,4.219743
1.0,40,4.224451
0.0,40,4.229312
0.0,21,4.231782
1.0,38,4.236341
1.0,45,4.24164
1.0,39,4.246833
1.0,46,4.252458
1.0,44,4.25807
1.0,44,4.263499
1.0,47,4.269097
1.0,42,4.274109
0.0,34,4.278173
0.0,14,4.279871
1.0,38,4.284507
0.0,25,4.287492
1.0,40,4.292219
1.0,46,4.297716
0.0,6,4.298476
1.0,41,4.303267
1.0,38,4.307732
0.0,21,4.310403
0.0,15,4.312157
0.0,6,4.312873
0.0,6,4.313588
1.0,42,4.318621
1.0,45,4.323975
1.0,39,4.328642
1.0,39,4.333266
0.0,32,4.337156
0.0,119,4.351693
1.0,44,4.357046
0.0,27,4.360731
1.0,42,4.36605
1.0,42,4.370985
0.0,25,4.373953
0.0,8,4.374899
1.0,42,4.380402
1.0,41,4.385177
1.0,38,4.389985
0.0,40,4.394843
1.0,44,4.400156
1.0,40,4.404894
1.0,42,4.409906
0.0,38,4.414413
1.0,51,4.420476
1.0,38,4.424992
1.0,43,4.430073
0.0,32,4.433875
0.0,9,4.435068
0.0,6,4.435797
1.0,46,4.441275
0.0,6,4.441998
1.0,53,4.448203
0.0,4,4.448697
1.0,40,4.453443
0.0,27,4.456704
1.0,42,4.461933
1.0,40,4.466755
1.0,47,4.472596
0.0,6,4.473325
1.0,41,4.478164
1.0,44,4.483423
1.0,49,4.489854
1.0,46,4.495815
1.0,40,4.500695
1.0,48,4.506299
1.0,41,4.511209
1.0,49,4.516959
1.0,41,4.521887
1.0,43,4.52714
1.0,40,4.531878
1.0,42,4.537011
1.0,44,4.542329
1.0,41,4.547275
0.0,31,4.551135
1.0,49,4.557685
1.0,45,4.562953
0.0,21,4.565419
0.0,4,4.5659
1.0,44,4.571267
0.0,4,4.571833
1.0,43,4.576993
1.0,46,4.582941
0.0,6,4.583687
0.0,39,4.588471
1.0,39,4.593198
1.0,52,4.599879
1.0,45,4.605463
0.0,9,4.60664
1.0,42,4.611784
0.0,13,4.613366
1.0,49,4.619406
0.0,24,4.622616
0.0,29,4.626192
0.0,14,4.628153
0.0,19,4.630408
1.0,44,4.6362
1.0,43,4.641339
1.0,40,4.646087
1.0,44,4.651848
1.0,42,4.656832
0.0,276,4.689478
1.0,38,4.693985
1.0,38,4.698551
1.0,43,4.703978
1.0,45,4.709199
1.0,42,4.714205
0.0,19,4.716494
0.0,19,4.718783
1.0,40,4.72366
1.0,43,4.72913
0.0,9,4.730194
0.0,22,4.732983
