# {"t_start": 1640875691.0819738, "env_id": "Office-v0"} 
r,l,t
0.0,5,0.001722
0.0,34,0.010185
0.0,20,0.016182
0.0,8,0.018294
0.0,63,0.034814
0.0,54,0.0483
0.0,36,0.057351
0.0,36,0.066735
0.0,29,0.074011
0.0,30,0.081709
0.0,27,0.089318
0.0,30,0.096865
0.0,32,0.105026
0.0,53,0.118769
0.0,40,0.128826
0.0,105,0.154848
0.0,54,0.168248
0.0,70,0.187475
0.0,27,0.194922
0.0,43,0.207377
0.0,87,0.22894
0.0,34,0.237314
0.0,97,0.26139
0.0,131,0.294546
1.0,92,0.317343
0.0,182,0.371865
0.0,104,0.397706
0.0,13,0.401121
0.0,25,0.407291
0.0,156,0.44598
0.0,102,0.471344
0.0,109,0.498432
0.0,48,0.510363
0.0,30,0.517961
0.0,103,0.543435
0.0,86,0.565034
0.0,108,0.591726
0.0,52,0.604737
0.0,49,0.616951
0.0,17,0.621155
1.0,73,0.639232
0.0,207,0.690862
0.0,226,0.747498
0.0,23,0.753271
0.0,8,0.75528
0.0,147,0.792339
0.0,50,0.804844
0.0,641,0.967197
0.0,15,0.971006
1.0,171,1.014201
1.0,230,1.072793
0.0,95,1.097253
1.0,55,1.111111
0.0,26,1.117642
0.0,90,1.140542
0.0,1000,1.394255
0.0,45,1.40564
0.0,148,1.443327
0.0,102,1.469469
0.0,64,1.485909
1.0,17,1.490168
0.0,46,1.501928
0.0,42,1.512752
0.0,135,1.547173
1.0,11,1.549999
1.0,115,1.579493
0.0,94,1.603327
0.0,46,1.615259
1.0,54,1.629033
0.0,121,1.659725
0.0,122,1.690912
0.0,201,1.742505
1.0,11,1.745306
0.0,109,1.773428
0.0,23,1.779169
0.0,6,1.780873
1.0,11,1.783626
1.0,240,1.845037
0.0,92,1.868705
1.0,129,1.901611
0.0,4,1.902618
0.0,7,1.904446
0.0,31,1.912628
0.0,212,1.967156
1.0,11,1.969948
0.0,11,1.972691
1.0,240,2.033058
0.0,180,2.07963
1.0,13,2.08292
0.0,35,2.09223
1.0,297,2.168441
0.0,986,2.419613
0.0,2,2.420172
1.0,126,2.452841
1.0,207,2.506108
0.0,41,2.516674
1.0,11,2.51939
0.0,30,2.527044
0.0,27,2.534019
0.0,6,2.535592
1.0,11,2.538452
0.0,11,2.541291
1.0,227,2.601183
0.0,84,2.622414
1.0,13,2.625747
0.0,68,2.64304
1.0,384,2.7412
0.0,365,2.834519
1.0,13,2.837918
0.0,18,2.842576
0.0,77,2.862305
0.0,273,2.932288
1.0,13,2.93561
1.0,55,2.949636
1.0,128,2.982704
0.0,20,2.987907
1.0,11,2.990817
1.0,97,3.015863
0.0,63,3.032076
0.0,90,3.055254
1.0,12,3.05843
1.0,41,3.06898
1.0,139,3.104346
0.0,32,3.112841
1.0,11,3.115552
1.0,42,3.126328
1.0,95,3.150864
0.0,10,3.153518
1.0,12,3.156727
1.0,50,3.169562
0.0,35,3.178664
0.0,28,3.185907
1.0,11,3.188767
1.0,37,3.198407
0.0,77,3.218169
0.0,104,3.245081
1.0,11,3.247904
0.0,39,3.257633
1.0,53,3.271
0.0,493,3.396854
0.0,2,3.397372
0.0,25,3.40397
0.0,29,3.411565
0.0,83,3.433167
1.0,13,3.43642
1.0,38,3.446276
0.0,9,3.44873
0.0,127,3.481366
1.0,12,3.484622
1.0,68,3.50216
0.0,13,3.5056
0.0,33,3.513957
1.0,11,3.516959
1.0,27,3.523839
1.0,30,3.531445
0.0,535,3.668545
1.0,15,3.672425
1.0,27,3.679398
1.0,162,3.720439
0.0,13,3.723763
1.0,15,3.727767
1.0,23,3.733542
1.0,57,3.747674
0.0,532,3.885021
1.0,11,3.887924
1.0,31,3.895956
1.0,29,3.903394
0.0,47,3.915751
1.0,11,3.918614
0.0,4,3.919631
1.0,46,3.931366
0.0,130,3.964571
1.0,16,3.968696
1.0,25,3.975111
1.0,41,3.985576
0.0,94,4.009663
1.0,11,4.012479
1.0,26,4.019011
1.0,41,4.029489
0.0,18,4.03413
1.0,11,4.037033
1.0,45,4.048662
0.0,29,4.056142
0.0,9,4.058456
1.0,11,4.061405
1.0,25,4.067957
1.0,33,4.076376
0.0,57,4.091017
1.0,12,4.094082
0.0,4,4.095195
1.0,30,4.10305
0.0,48,4.115502
1.0,14,4.11905
0.0,18,4.123625
1.0,34,4.132163
