episodes,steps,total reward
11,1000,0.0
16,2000,0.0
20,3000,0.0
23,4000,0.0
27,5000,0.0
28,6000,0.0
30,7000,0.0
31,8000,0.0
33,9000,0.0
34,10000,0.0
37,11000,0.0
40,12000,0.0
42,13000,0.0
48,14000,0.0
50,15000,0.0
51,16000,0.0
57,17000,0.0
60,18000,0.0
62,19000,0.0
65,20000,0.0
66,21000,0.0
68,22000,0.0
71,23000,0.0
72,24000,0.0
74,25000,0.0
76,26000,0.0
77,27000,0.0
79,28000,0.0
82,29000,0.0
87,30000,0.0
89,31000,0.0
92,32000,0.0
94,33000,0.0
96,34000,0.0
98,35000,0.0
100,36000,0.0
103,37000,0.0
104,38000,0.0
105,39000,0.0
109,40000,0.0
110,41000,0.0
111,42000,0.0
113,43000,0.0
115,44000,0.0
116,45000,0.0
117,46000,0.0
118,47000,0.0
120,48000,0.0
124,49000,0.0
126,50000,0.0
128,51000,0.0
132,52000,0.0
134,53000,0.0
137,54000,0.0
139,55000,0.0
140,56000,0.0
142,57000,0.0
144,58000,0.0
145,59000,0.0
147,60000,0.0
148,61000,0.0
149,62000,0.0
151,63000,0.0
152,64000,0.0
153,65000,0.0
157,66000,0.0
160,67000,0.0
162,68000,0.0
165,69000,0.0
169,70000,0.0
171,71000,0.0
172,72000,0.0
175,73000,0.0
177,74000,0.0
180,75000,0.0
182,76000,0.0
183,77000,0.0
186,78000,0.0
190,79000,0.0
191,80000,0.0
196,81000,0.0
198,82000,0.0
201,83000,0.0
203,84000,0.0
204,85000,0.0
205,86000,0.0
206,87000,0.0
209,88000,0.0
210,89000,0.0
212,90000,0.0
216,91000,0.0
217,92000,0.0
220,93000,0.0
221,94000,0.0
224,95000,0.0
229,96000,0.0
230,97000,0.0
232,98000,0.0
235,99000,0.0
239,100000,0.0
