# {"t_start": 1641546882.2128077, "env_id": "Office-single-v0"} 
r,l,t
0.0,99,0.025663
0.0,35,0.034408
0.0,38,0.043955
0.0,62,0.059211
0.0,172,0.101698
0.0,86,0.123019
0.0,90,0.145103
0.0,38,0.154533
0.0,179,0.198513
0.0,36,0.207367
0.0,74,0.226089
0.0,194,0.274518
0.0,65,0.290961
0.0,38,0.300398
0.0,300,0.374101
0.0,185,0.419686
0.0,254,0.482109
0.0,66,0.498518
0.0,111,0.52618
0.0,165,0.567178
0.0,48,0.578907
0.0,291,0.650661
0.0,475,0.770992
0.0,256,0.83432
0.0,247,0.894548
0.0,10,0.89701
0.0,351,0.983349
0.0,276,1.052395
0.0,208,1.103649
0.0,406,1.203945
0.0,32,1.211916
0.0,76,1.230816
0.0,161,1.271499
0.0,56,1.285683
0.0,406,1.385661
0.0,281,1.454926
0.0,210,1.507097
0.0,658,1.669091
0.0,607,1.821137
0.0,439,1.930124
0.0,356,2.019628
0.0,152,2.057305
0.0,108,2.084072
0.0,371,2.176302
0.0,1000,2.426784
0.0,1000,2.675874
0.0,357,2.766814
0.0,41,2.777463
0.0,56,2.791366
0.0,16,2.795483
0.0,696,2.968266
0.0,340,3.053986
0.0,266,3.120065
0.0,183,3.166231
0.0,1000,3.416471
0.0,92,3.439383
0.0,41,3.449551
0.0,252,3.512862
0.0,81,3.533721
0.0,67,3.55039
0.0,805,3.753647
0.0,27,3.760472
0.0,543,3.897391
0.0,617,4.053543
0.0,85,4.074757
0.0,55,4.088613
0.0,249,4.150718
0.0,1000,4.40345
0.0,143,4.439204
0.0,265,4.506236
0.0,471,4.625194
0.0,227,4.682006
0.0,53,4.69536
0.0,1000,4.949325
0.0,216,5.003935
0.0,1000,5.257244
0.0,198,5.307722
0.0,1000,5.559215
0.0,1000,5.811362
0.0,760,6.001861
0.0,189,6.050827
0.0,1000,6.303803
0.0,213,6.357253
0.0,588,6.50438
0.0,387,6.602117
0.0,632,6.760391
0.0,418,6.865918
0.0,373,6.958648
0.0,162,6.998819
0.0,639,7.159175
0.0,429,7.266471
0.0,674,7.435963
0.0,193,7.484194
0.0,119,7.513719
0.0,302,7.590526
0.0,82,7.610948
0.0,294,7.68389
0.0,65,7.700032
0.0,160,7.740212
0.0,454,7.855323
0.0,3,7.856106
0.0,1000,8.106857
0.0,272,8.174645
0.0,43,8.185386
0.0,729,8.368465
0.0,369,8.46131
0.0,231,8.51908
0.0,280,8.589846
0.0,187,8.636355
0.0,1000,8.88639
0.0,107,8.913077
0.0,9,8.915332
0.0,1000,9.165712
0.0,413,9.268133
0.0,882,9.488992
0.0,1000,9.739585
0.0,342,9.826133
0.0,491,9.948667
0.0,345,10.034949
0.0,405,10.136711
0.0,296,10.21031
0.0,67,10.227304
0.0,346,10.3144
0.0,206,10.36576
0.0,39,10.375473
0.0,1000,10.626957
0.0,86,10.648312
0.0,197,10.697039
0.0,1000,10.94758
0.0,460,11.063611
0.0,306,11.139606
0.0,1000,11.389415
0.0,381,11.483814
0.0,143,11.519351
0.0,807,11.721521
0.0,42,11.732035
0.0,113,11.76009
0.0,652,11.923796
0.0,26,11.93029
0.0,309,12.007219
0.0,1000,12.258385
0.0,720,12.439046
0.0,56,12.45296
0.0,164,12.494178
0.0,168,12.536453
0.0,469,12.654216
0.0,332,12.737525
0.0,134,12.770766
0.0,100,12.796196
0.0,1000,13.047042
0.0,465,13.162879
0.0,522,13.293096
0.0,842,13.504094
0.0,194,13.552621
0.0,104,13.579174
0.0,627,13.735376
0.0,558,13.875362
0.0,54,13.888743
0.0,593,14.036291
0.0,519,14.165494
0.0,808,14.368042
0.0,540,14.502226
0.0,187,14.549566
0.0,214,14.603348
0.0,1000,14.855044
0.0,70,14.8725
0.0,459,14.987097
0.0,1000,15.237843
0.0,87,15.259903
0.0,1000,15.510012
0.0,168,15.552259
0.0,325,15.6336
0.0,162,15.673805
0.0,113,15.701859
0.0,1000,15.952151
0.0,5,15.953456
0.0,116,15.982887
0.0,11,15.985646
0.0,493,16.109444
0.0,690,16.281195
0.0,52,16.294636
0.0,506,16.421435
0.0,96,16.445506
0.0,388,16.542684
0.0,71,16.560915
0.0,54,16.574722
0.0,635,16.732804
0.0,225,16.789001
0.0,763,16.97965
0.0,42,16.990199
0.0,1000,17.240429
0.0,175,17.284067
0.0,633,17.442427
0.0,183,17.487707
0.0,191,17.535405
0.0,1000,17.786025
0.0,477,17.906882
0.0,28,17.913905
0.0,116,17.942807
0.0,198,17.992222
0.0,122,18.022503
0.0,407,18.12509
0.0,94,18.148483
0.0,403,18.249243
0.0,728,18.432602
0.0,319,18.512084
0.0,119,18.541857
0.0,1000,18.79126
0.0,1000,19.042496
0.0,354,19.131394
0.0,808,19.33338
0.0,208,19.38501
0.0,87,19.406586
0.0,10,19.409081
0.0,657,19.573283
0.0,989,19.82136
0.0,199,19.871012
0.0,349,19.958061
0.0,590,20.105274
0.0,665,20.270482
0.0,27,20.277218
0.0,938,20.513011
0.0,625,20.669889
0.0,648,20.832343
0.0,60,20.847298
0.0,27,20.854016
0.0,281,20.923898
0.0,461,21.039973
0.0,937,21.276017
0.0,1000,21.526367
0.0,392,21.624868
0.0,205,21.675765
0.0,106,21.702053
0.0,177,21.746182
0.0,555,21.885916
0.0,379,21.980566
0.0,382,22.076742
0.0,1000,22.327544
0.0,272,22.39544
0.0,259,22.459896
0.0,622,22.616438
0.0,81,22.636531
0.0,1000,22.887391
0.0,255,22.951123
0.0,71,22.968807
0.0,185,23.014821
0.0,1000,23.264726
0.0,970,23.507621
0.0,273,23.576272
0.0,102,23.602195
0.0,72,23.620297
0.0,150,23.657527
0.0,1000,23.907914
0.0,335,23.990932
0.0,1000,24.240602
0.0,157,24.27946
0.0,1000,24.531241
0.0,311,24.609999
0.0,1000,24.861102
0.0,599,25.011956
0.0,204,25.063103
