# {"t_start": 1641550639.690582, "env_id": "Office-v0"} 
r,l,t
0.0,13,0.004835
0.0,143,0.05237
0.0,23,0.059994
0.5,132,0.10261
0.0,112,0.138797
0.0,115,0.175638
0.0,50,0.191699
0.0,105,0.226421
0.0,47,0.242039
0.0,85,0.26939
0.0,119,0.307702
0.0,54,0.325107
0.0,81,0.351578
0.0,303,0.450708
0.0,33,0.461345
0.0,306,0.560294
0.0,174,0.616825
0.0,141,0.662964
0.0,351,0.777852
0.0,504,0.942358
0.0,281,1.035243
0.0,350,1.149621
0.0,244,1.229198
0.0,278,1.320542
0.0,132,1.364019
0.0,286,1.457977
0.0,276,1.54842
0.0,200,1.613781
0.0,1000,1.941202
0.0,57,1.960021
0.0,450,2.10974
0.0,113,2.147119
0.0,1000,2.476693
0.0,482,2.63669
0.0,581,2.830162
0.5,74,2.854751
0.0,666,3.076787
0.0,65,3.098354
0.0,365,3.219525
0.0,691,3.451518
0.0,182,3.512304
0.0,682,3.740943
0.0,110,3.777759
0.0,102,3.81195
0.0,446,3.961516
1.0,700,4.196291
0.0,346,4.312855
0.0,29,4.322641
1.0,53,4.340748
0.0,193,4.405365
1.0,664,4.627501
0.0,1000,4.963492
0.0,120,5.004617
0.0,1000,5.339893
0.0,72,5.364074
0.0,142,5.411373
1.0,159,5.464453
0.0,75,5.489497
1.0,967,5.814074
0.0,74,5.838856
0.0,269,5.929151
0.0,637,6.143594
0.0,423,6.285025
0.0,50,6.301765
1.0,224,6.377699
0.0,417,6.517934
0.0,163,6.572424
0.0,528,6.750492
1.0,121,6.791105
0.0,662,7.014228
0.0,1000,7.351524
0.5,11,7.355448
0.0,58,7.375082
1.0,510,7.54645
0.0,1000,7.883816
0.5,11,7.887579
1.0,40,7.900966
0.0,224,7.975933
0.0,955,8.296997
0.5,11,8.300715
1.0,45,8.315822
0.0,394,8.449551
0.0,491,8.615502
0.5,11,8.619297
1.0,150,8.669838
0.0,67,8.692693
0.0,1000,9.033479
0.5,11,9.037338
1.0,44,9.052685
0.0,61,9.073436
0.0,466,9.231656
0.5,7,9.23409
1.0,50,9.251159
0.0,96,9.283661
1.0,779,9.549726
0.5,11,9.553482
1.0,130,9.597768
1.0,570,9.791904
1.0,859,10.082306
0.5,9,10.085399
1.0,37,10.097937
1.0,297,10.198224
0.0,27,10.207371
0.5,15,10.212443
1.0,23,10.220193
0.0,179,10.280849
0.0,1000,10.619142
0.5,11,10.622892
1.0,37,10.635463
1.0,259,10.723007
0.0,623,10.934297
0.5,7,10.936662
1.0,25,10.94522
0.0,133,10.990408
0.0,1000,11.330491
0.5,7,11.332922
1.0,32,11.343683
0.0,157,11.397129
1.0,810,11.672039
0.5,9,11.675086
1.0,26,11.683847
0.0,493,11.850074
1.0,824,12.127879
0.5,9,12.130936
1.0,109,12.167473
0.0,92,12.198383
0.0,344,12.313766
0.5,11,12.317481
1.0,18,12.323503
0.0,166,12.379157
0.0,119,12.419832
0.5,11,12.423583
1.0,18,12.429674
0.0,113,12.468107
0.0,44,12.482829
0.5,7,12.485212
1.0,18,12.491392
0.0,201,12.559331
0.0,51,12.576454
0.5,7,12.578823
1.0,22,12.586254
0.0,113,12.624365
0.0,351,12.742932
0.5,7,12.745421
1.0,20,12.752464
1.0,154,12.804745
1.0,391,12.936319
0.5,7,12.938712
1.0,18,12.944784
1.0,304,13.047617
0.0,622,13.258598
0.5,7,13.260977
1.0,18,13.26703
0.0,191,13.331447
0.0,49,13.347966
0.5,7,13.3503
1.0,25,13.358745
1.0,288,13.457284
0.0,575,13.651414
0.5,7,13.653813
1.0,23,13.661595
0.0,136,13.707498
0.0,236,13.788328
0.5,7,13.790692
1.0,18,13.796782
1.0,198,13.863935
0.0,120,13.904502
0.5,9,13.907559
1.0,20,13.914323
1.0,166,13.970948
0.0,514,14.146519
0.5,9,14.149602
0.0,10,14.153012
0.0,69,14.176485
1.0,807,14.450435
0.5,7,14.452857
1.0,18,14.4591
0.0,14,14.464051
0.0,264,14.553719
0.5,11,14.55746
1.0,21,14.564541
1.0,73,14.589143
0.0,303,14.691515
0.5,7,14.6939
1.0,22,14.701297
1.0,289,14.799588
1.0,199,14.866853
0.5,7,14.869234
1.0,18,14.875409
1.0,124,14.917143
0.0,24,14.925303
0.5,7,14.927735
1.0,20,14.934732
1.0,425,15.078403
0.0,1000,15.41641
0.5,7,15.418822
0.0,7,15.421201
0.0,69,15.444518
0.0,213,15.517255
0.5,7,15.519632
1.0,25,15.528138
1.0,147,15.577851
1.0,442,15.726923
0.5,7,15.729639
1.0,18,15.735673
0.0,255,15.822877
1.0,579,16.018408
0.5,7,16.020795
1.0,18,16.026915
1.0,237,16.106601
0.0,245,16.190482
0.5,7,16.19287
1.0,18,16.19899
0.0,40,16.212587
0.0,467,16.370996
0.5,7,16.373408
1.0,24,16.381534
1.0,94,16.413334
1.0,481,16.577009
0.5,9,16.580088
1.0,18,16.586182
1.0,386,16.715944
1.0,659,16.940562
0.5,9,16.943619
1.0,18,16.949723
1.0,227,17.026556
1.0,666,17.252411
0.5,7,17.254845
1.0,18,17.260959
0.0,187,17.323978
0.0,207,17.394294
0.5,7,17.396677
1.0,21,17.403832
1.0,180,17.464736
0.0,72,17.489258
0.5,7,17.491637
1.0,20,17.498673
1.0,117,17.538744
1.0,789,17.805271
0.5,7,17.807677
1.0,19,17.814082
0.0,110,17.852008
0.0,203,17.920692
0.5,7,17.923067
1.0,20,17.929862
1.0,63,17.951518
1.0,98,17.984639
0.5,7,17.987008
1.0,18,17.993093
1.0,106,18.0288
1.0,187,18.092
0.5,9,18.095062
1.0,18,18.101155
1.0,264,18.191056
1.0,187,18.254747
0.5,7,18.257145
0.0,14,18.261931
0.0,259,18.349364
0.0,45,18.364596
0.5,9,18.367652
1.0,20,18.374413
1.0,213,18.446532
1.0,600,18.650719
0.5,7,18.653195
1.0,20,18.659951
1.0,81,18.687206
0.0,170,18.744609
0.5,7,18.74707
1.0,19,18.753436
1.0,52,18.771113
1.0,539,18.953922
0.5,9,18.957089
1.0,18,18.963191
1.0,83,18.992055
1.0,197,19.059059
0.5,7,19.061767
1.0,20,19.068482
1.0,91,19.099207
1.0,207,19.169354
0.5,13,19.173791
1.0,20,19.180564
1.0,110,19.218474
0.0,92,19.249646
0.5,7,19.252062
1.0,20,19.258903
1.0,129,19.302617
0.0,373,19.428475
0.5,7,19.430855
1.0,20,19.437649
1.0,61,19.45836
0.0,202,19.526532
0.5,7,19.528948
1.0,20,19.535992
1.0,119,19.576653
0.0,103,19.611304
0.5,11,19.615033
1.0,18,19.621092
1.0,69,19.644484
0.0,68,19.667405
0.5,9,19.670419
0.0,12,19.674621
1.0,267,19.765202
1.0,223,19.840261
0.5,9,19.843298
1.0,24,19.851391
1.0,57,19.871016
1.0,91,19.902322
0.5,9,19.905418
1.0,20,19.912227
1.0,120,19.953053
1.0,114,19.99173
0.5,9,19.994783
1.0,18,20.000867
1.0,69,20.024313
1.0,550,20.211175
0.5,7,20.213616
1.0,18,20.219864
1.0,234,20.299664
0.0,433,20.446965
0.5,7,20.449377
0.0,7,20.451726
1.0,130,20.495663
1.0,91,20.526565
0.5,9,20.529645
1.0,24,20.53771
1.0,124,20.580456
1.0,121,20.621493
0.5,7,20.623883
0.0,5,20.625593
0.0,43,20.640113
1.0,365,20.764356
0.5,7,20.766828
1.0,20,20.773734
1.0,101,20.807942
1.0,431,20.955436
0.5,7,20.958035
0.0,14,20.962831
1.0,60,20.983313
0.0,17,20.989043
0.5,7,20.991417
1.0,18,20.997629
1.0,44,21.012518
0.0,100,21.046471
0.5,7,21.048836
1.0,24,21.056944
1.0,154,21.108878
1.0,611,21.316555
0.5,7,21.318941
1.0,20,21.325687
1.0,95,21.3578
0.0,482,21.520931
0.5,9,21.52399
1.0,20,21.530823
1.0,67,21.553726
1.0,99,21.587928
0.5,7,21.590381
1.0,24,21.598494
1.0,69,21.622194
1.0,84,21.650609
0.5,7,21.653004
1.0,20,21.659775
1.0,50,21.676654
0.0,191,21.74147
0.5,7,21.743948
1.0,22,21.751487
1.0,105,21.786977
0.0,47,21.802844
0.5,7,21.805243
1.0,20,21.81199
1.0,57,21.831333
1.0,112,21.869158
0.5,7,21.871543
1.0,20,21.878309
1.0,48,21.894567
1.0,138,21.9422
0.5,7,21.944683
1.0,21,21.951777
0.0,181,22.013068
1.0,381,22.142106
0.5,7,22.14476
1.0,20,22.151633
1.0,50,22.168571
0.0,101,22.202647
0.5,9,22.205688
1.0,18,22.211945
1.0,47,22.227898
1.0,345,22.346011
0.5,9,22.349076
1.0,22,22.356514
1.0,121,22.39746
1.0,145,22.446364
0.5,7,22.448746
1.0,21,22.455862
1.0,39,22.468954
0.0,23,22.476742
0.5,7,22.479094
1.0,18,22.485143
1.0,69,22.508423
1.0,72,22.532766
0.5,9,22.535831
1.0,22,22.543254
1.0,49,22.559888
0.0,67,22.582554
0.5,7,22.584909
1.0,22,22.59287
1.0,44,22.607758
0.0,30,22.617904
0.5,7,22.620251
1.0,20,22.627146
1.0,89,22.657389
1.0,95,22.68948
0.5,9,22.6925
1.0,18,22.698612
1.0,43,22.713236
1.0,55,22.731888
0.5,7,22.734264
1.0,18,22.740411
1.0,42,22.75503
1.0,65,22.776989
0.5,9,22.780034
1.0,19,22.786422
1.0,59,22.806294
0.0,62,22.827269
0.5,7,22.829657
1.0,18,22.83573
1.0,68,22.858701
1.0,83,22.88662
0.5,7,22.889094
1.0,22,22.896539
1.0,38,22.909421
1.0,451,23.063065
0.5,7,23.065461
0.0,5,23.067153
1.0,69,23.090437
1.0,70,23.114027
0.5,7,23.116445
1.0,18,23.122477
0.0,31,23.132939
1.0,94,23.164653
0.5,7,23.167052
1.0,20,23.173861
1.0,38,23.186643
1.0,361,23.310006
0.5,13,23.314395
1.0,22,23.321822
1.0,40,23.335479
1.0,68,23.358473
0.5,11,23.3624
0.0,13,23.36685
1.0,41,23.380842
0.0,43,23.395307
0.5,7,23.397646
1.0,18,23.40376
1.0,39,23.416918
1.0,318,23.524294
0.5,9,23.527386
1.0,22,23.534845
1.0,38,23.547743
1.0,70,23.571348
0.5,7,23.57372
1.0,22,23.581132
1.0,70,23.604871
1.0,98,23.638883
0.5,7,23.641315
1.0,18,23.647472
1.0,50,23.664459
0.0,15,23.669548
0.5,9,23.672614
1.0,18,23.678635
1.0,37,23.691179
0.0,55,23.709822
0.5,7,23.712202
1.0,20,23.718968
1.0,42,23.733215
0.0,59,23.753308
0.5,11,23.756998
1.0,22,23.764515
1.0,46,23.779948
1.0,440,23.928403
0.5,7,23.930782
1.0,18,23.937137
1.0,36,23.949307
0.0,296,24.050254
0.5,7,24.052608
1.0,20,24.05943
1.0,41,24.073325
1.0,67,24.096001
0.5,7,24.09841
1.0,24,24.106577
1.0,40,24.120122
0.0,39,24.133347
0.5,7,24.135792
1.0,18,24.141865
1.0,42,24.15608
1.0,46,24.171639
0.5,7,24.174129
1.0,20,24.180865
1.0,39,24.19405
1.0,79,24.220874
0.5,7,24.223246
1.0,18,24.229348
1.0,42,24.243512
0.0,62,24.264601
0.5,7,24.267005
1.0,24,24.275136
0.0,32,24.286181
1.0,245,24.37034
0.5,7,24.372729
1.0,18,24.378843
1.0,41,24.392751
1.0,91,24.423459
0.5,7,24.425816
1.0,18,24.431948
1.0,46,24.447681
1.0,72,24.47194
0.5,9,24.475018
1.0,20,24.481781
1.0,38,24.494683
1.0,67,24.517318
0.5,7,24.519706
1.0,18,24.525805
1.0,39,24.53901
1.0,212,24.611058
0.5,7,24.613441
1.0,18,24.619774
1.0,42,24.634166
1.0,66,24.656986
0.5,7,24.65938
1.0,26,24.668256
1.0,38,24.68114
1.0,300,24.782924
0.5,9,24.78599
1.0,22,24.793436
0.0,11,24.797162
0.0,68,24.820226
0.5,9,24.823262
1.0,22,24.830707
0.0,30,24.840899
1.0,59,24.860957
0.5,7,24.863347
1.0,20,24.870135
1.0,38,24.883013
1.0,60,24.903395
0.5,7,24.905814
0.0,5,24.907494
1.0,38,24.920357
1.0,45,24.935676
0.5,7,24.938055
1.0,19,24.944476
1.0,39,24.957876
1.0,106,24.994426
0.5,7,24.996833
1.0,20,25.003669
1.0,44,25.018677
0.0,44,25.0336
0.5,7,25.036014
0.0,10,25.03942
1.0,38,25.052349
1.0,58,25.071898
0.5,7,25.074294
1.0,19,25.080714
1.0,46,25.096307
1.0,41,25.110185
0.5,9,25.113236
1.0,21,25.120503
1.0,42,25.134696
1.0,53,25.152937
0.5,11,25.15675
1.0,18,25.16282
1.0,38,25.175649
1.0,54,25.193923
0.5,7,25.196369
1.0,24,25.204466
1.0,36,25.216663
1.0,93,25.24924
0.5,7,25.251597
1.0,18,25.257807
1.0,44,25.272769
1.0,89,25.303194
0.5,11,25.306934
1.0,22,25.314676
0.0,7,25.317111
0.0,63,25.338567
0.5,9,25.341634
1.0,20,25.348684
1.0,41,25.362669
1.0,42,25.376972
0.5,9,25.380057
1.0,18,25.38621
1.0,42,25.400454
1.0,39,25.413743
0.5,7,25.416137
1.0,18,25.422279
1.0,38,25.435184
1.0,71,25.459166
0.5,7,25.461557
1.0,18,25.46768
1.0,38,25.480614
1.0,105,25.516086
0.5,7,25.518459
0.0,7,25.52088
1.0,41,25.534826
1.0,47,25.550809
0.5,7,25.55316
1.0,18,25.559263
0.0,32,25.570188
1.0,333,25.683805
0.5,9,25.686908
1.0,20,25.693699
1.0,45,25.709002
1.0,45,25.724313
0.5,7,25.726702
1.0,20,25.733655
1.0,38,25.746995
1.0,45,25.762642
0.5,9,25.765676
1.0,18,25.77182
1.0,38,25.784628
0.0,195,25.850695
0.5,7,25.853074
1.0,19,25.85952
1.0,48,25.875766
1.0,57,25.895024
0.5,7,25.897425
1.0,19,25.90383
1.0,40,25.917403
1.0,58,25.937054
0.5,9,25.940117
1.0,20,25.946918
1.0,40,25.960542
1.0,40,25.974172
0.5,7,25.976557
0.0,14,25.981587
1.0,44,25.996925
1.0,263,26.086443
