episodes,steps,total reward
10,1000,0.0
15,2000,0.5
21,3000,0.5
25,4000,0.0
29,5000,0.5
32,6000,0.0
38,7000,0.0
41,8000,0.0
48,9000,0.0
49,10000,0.0
50,11000,0.0
51,12000,0.0
55,13000,1.0
56,14000,0.0
58,15000,0.0
59,16000,0.0
64,17000,1.0
70,18000,2.5
77,19000,3.0
80,20000,1.5
82,21000,1.0
85,22000,2.5
93,23000,2.0
98,24000,2.5
101,25000,1.5
109,26000,5.0
110,27000,1.0
118,28000,2.0
121,29000,1.5
125,30000,3.5
129,31000,2.5
137,32000,4.0
145,33000,4.0
150,34000,1.5
153,35000,1.5
161,36000,5.0
166,37000,1.5
170,38000,2.5
178,39000,4.0
181,40000,1.5
185,41000,3.5
194,42000,5.0
198,43000,1.5
205,44000,5.0
210,45000,1.5
214,46000,2.5
218,47000,2.5
226,48000,5.0
237,49000,6.5
242,50000,4.5
258,51000,9.0
269,52000,7.5
277,53000,4.0
292,54000,7.0
302,55000,7.0
318,56000,10.0
330,57000,9.5
334,58000,2.5
345,59000,8.5
350,60000,3.5
365,61000,13.0
382,62000,11.0
389,63000,6.0
402,64000,9.5
417,65000,11.0
430,66000,11.5
442,67000,8.5
457,68000,12.0
470,69000,10.5
492,70000,16.0
517,71000,21.0
534,72000,14.0
554,73000,15.5
572,74000,15.5
590,75000,15.0
618,76000,21.5
646,77000,24.5
676,78000,20.0
708,79000,24.0
745,80000,30.5
785,81000,29.0
822,82000,29.5
860,83000,29.0
898,84000,29.5
936,85000,30.0
974,86000,32.5
1010,87000,29.5
1048,88000,29.0
1078,89000,23.5
1109,90000,25.0
1145,91000,29.5
1182,92000,30.5
1221,93000,29.0
1258,94000,29.5
1296,95000,29.0
1333,96000,29.5
1369,97000,29.5
1406,98000,30.5
1442,99000,31.5
1478,100000,28.5
