episodes,steps,total reward
14,1000,4.0
22,2000,2.0
30,3000,3.0
33,4000,1.0
40,5000,2.0
46,6000,1.0
50,7000,1.0
53,8000,1.0
60,9000,4.0
61,10000,0.0
62,11000,0.0
69,12000,3.0
70,13000,0.0
73,14000,1.0
77,15000,2.0
86,16000,3.0
94,17000,4.0
101,18000,5.0
102,19000,1.0
105,20000,2.0
110,21000,2.0
114,22000,1.0
118,23000,4.0
121,24000,2.0
122,25000,1.0
129,26000,5.0
133,27000,3.0
134,28000,1.0
141,29000,6.0
144,30000,2.0
150,31000,3.0
158,32000,6.0
165,33000,4.0
169,34000,4.0
174,35000,3.0
181,36000,4.0
186,37000,4.0
193,38000,5.0
198,39000,4.0
206,40000,6.0
209,41000,2.0
214,42000,3.0
224,43000,7.0
234,44000,7.0
240,45000,4.0
250,46000,5.0
258,47000,6.0
266,48000,5.0
274,49000,5.0
281,50000,5.0
297,51000,11.0
309,52000,7.0
318,53000,5.0
330,54000,11.0
342,55000,9.0
350,56000,5.0
361,57000,9.0
373,58000,11.0
389,59000,15.0
402,60000,10.0
410,61000,7.0
421,62000,10.0
438,63000,14.0
450,64000,11.0
469,65000,17.0
486,66000,14.0
505,67000,15.0
525,68000,18.0
542,69000,16.0
558,70000,14.0
582,71000,23.0
609,72000,23.0
630,73000,20.0
653,74000,20.0
669,75000,12.0
682,76000,13.0
710,77000,24.0
741,78000,25.0
777,79000,35.0
809,80000,29.0
846,81000,35.0
880,82000,32.0
914,83000,33.0
952,84000,35.0
990,85000,36.0
1029,86000,36.0
1068,87000,36.0
1102,88000,30.0
1145,89000,39.0
1185,90000,34.0
1214,91000,24.0
1242,92000,28.0
1281,93000,34.0
1318,94000,36.0
1356,95000,38.0
1394,96000,35.0
1434,97000,39.0
1472,98000,36.0
1514,99000,35.0
1554,100000,36.0
