episodes,steps,total reward
23,1000,0.0
35,2000,0.0
39,3000,0.0
40,4000,0.0
46,5000,0.0
55,6000,0.0
69,7000,1.0
72,8000,1.0
76,9000,0.0
84,10000,0.0
90,11000,3.0
100,12000,2.0
133,13000,24.0
179,14000,40.0
234,15000,48.0
276,16000,35.0
334,17000,51.0
389,18000,48.0
445,19000,49.0
499,20000,50.0
557,21000,50.0
616,22000,49.0
673,23000,49.0
705,24000,28.0
729,25000,23.0
786,26000,50.0
842,27000,49.0
901,28000,48.0
959,29000,48.0
1015,30000,49.0
1075,31000,48.0
1130,32000,50.0
1188,33000,47.0
1241,34000,53.0
1299,35000,47.0
1356,36000,48.0
1410,37000,46.0
1467,38000,45.0
1524,39000,50.0
1582,40000,44.0
1638,41000,45.0
1696,42000,49.0
1751,43000,49.0
1805,44000,51.0
1861,45000,46.0
1920,46000,50.0
1978,47000,46.0
2035,48000,50.0
2093,49000,48.0
2149,50000,51.0
2205,51000,46.0
2262,52000,48.0
2318,53000,46.0
2373,54000,50.0
2428,55000,49.0
2487,56000,48.0
2541,57000,51.0
2601,58000,48.0
2658,59000,46.0
2715,60000,48.0
2771,61000,47.0
2826,62000,47.0
2881,63000,46.0
2938,64000,49.0
2994,65000,50.0
3052,66000,46.0
3110,67000,47.0
3166,68000,49.0
3222,69000,51.0
3280,70000,48.0
3335,71000,50.0
3390,72000,48.0
3447,73000,46.0
3501,74000,48.0
3559,75000,49.0
3613,76000,50.0
3670,77000,49.0
3725,78000,49.0
3781,79000,47.0
3836,80000,50.0
3895,81000,49.0
3952,82000,48.0
4008,83000,47.0
4065,84000,49.0
4120,85000,50.0
4178,86000,47.0
4234,87000,48.0
4292,88000,47.0
4348,89000,50.0
4403,90000,48.0
4460,91000,48.0
4516,92000,48.0
4573,93000,45.0
4630,94000,49.0
4687,95000,46.0
4742,96000,49.0
4801,97000,46.0
4858,98000,50.0
4915,99000,48.0
4972,100000,48.0
