# {"t_start": 1641568668.0449076, "env_id": "Office-v0"} 
r,l,t
0.0,5,0.001765
0.0,51,0.016152
0.0,184,0.063573
0.0,107,0.090516
0.0,44,0.101717
0.0,69,0.119334
0.0,55,0.133572
0.0,60,0.149099
0.0,106,0.176501
0.0,9,0.178804
0.0,403,0.285154
0.0,54,0.299524
0.0,193,0.349616
0.0,132,0.383489
0.0,79,0.403724
0.0,138,0.439118
0.0,105,0.465908
0.0,293,0.541367
0.0,60,0.557354
0.0,121,0.58857
0.0,58,0.603506
0.0,17,0.607892
0.0,460,0.725658
0.0,82,0.746794
0.0,232,0.807917
0.0,42,0.818899
0.0,104,0.845983
0.0,237,0.906904
0.0,265,0.975212
0.0,286,1.049395
0.0,523,1.184897
0.0,142,1.221401
0.0,686,1.399747
0.0,158,1.440187
0.0,228,1.498421
0.0,105,1.525157
0.0,395,1.627262
0.0,88,1.649832
0.0,38,1.659563
0.0,455,1.775957
0.0,120,1.806866
1.0,644,1.974329
0.0,1000,2.233496
0.0,614,2.394391
0.0,65,2.411366
0.0,500,2.541363
0.0,74,2.560607
0.0,453,2.680459
0.0,202,2.733079
0.0,115,2.763109
0.0,305,2.842977
0.0,448,2.960991
0.0,26,2.967803
0.0,20,2.9731
0.0,308,3.053681
0.0,42,3.06464
0.0,232,3.12618
0.0,583,3.280813
0.0,81,3.302727
0.0,158,3.344204
0.0,442,3.461542
0.0,190,3.511479
0.0,398,3.615774
0.0,1000,3.878365
1.0,136,3.913993
0.0,188,3.963941
0.0,91,3.987698
0.0,348,4.079532
1.0,81,4.100646
0.0,271,4.171767
0.0,887,4.406747
0.0,594,4.564631
1.0,160,4.607146
0.0,23,4.613383
1.0,799,4.825436
0.0,98,4.851322
1.0,44,4.862916
0.0,441,4.979209
0.0,142,5.017306
0.0,642,5.18609
1.0,110,5.215407
0.0,151,5.255586
0.0,33,5.264386
0.0,287,5.340095
1.0,104,5.36727
0.0,170,5.411581
0.0,261,5.480031
0.0,190,5.530642
1.0,47,5.543481
0.0,128,5.57705
0.0,409,5.684391
0.0,214,5.740357
1.0,99,5.766554
0.0,104,5.794846
0.0,96,5.820318
0.0,988,6.080251
1.0,37,6.089978
1.0,351,6.181638
0.0,1000,6.445011
0.0,491,6.574368
1.0,34,6.583684
0.0,889,6.817194
0.0,169,6.862439
0.0,1000,7.125331
1.0,113,7.155166
0.0,58,7.170492
0.0,42,7.181509
0.0,102,7.208209
0.0,27,7.215286
0.0,285,7.290039
0.0,251,7.356527
0.0,392,7.459939
1.0,20,7.465249
0.0,45,7.477091
0.0,531,7.61657
0.0,1000,7.879871
1.0,25,7.886517
0.0,344,7.977038
0.0,61,7.993051
0.0,233,8.054168
1.0,31,8.062291
0.0,372,8.160933
1.0,975,8.418041
0.0,1000,8.680422
1.0,46,8.693013
0.0,344,8.783296
0.0,39,8.793546
0.0,638,8.962476
1.0,81,8.983787
1.0,501,9.114866
0.0,723,9.306291
0.0,508,9.439817
1.0,25,9.446694
1.0,468,9.570119
0.0,33,9.578781
0.0,32,9.587185
1.0,18,9.592028
1.0,459,9.712411
1.0,764,9.913088
0.0,871,10.143971
1.0,18,10.148707
1.0,307,10.229008
0.0,504,10.362575
0.0,401,10.467753
1.0,22,10.473519
0.0,531,10.61457
1.0,413,10.723115
0.0,1000,10.986599
1.0,18,10.991426
1.0,180,11.038965
0.0,109,11.068084
0.0,1000,11.331363
1.0,18,11.336163
1.0,212,11.391668
0.0,20,11.396903
0.0,384,11.498191
1.0,18,11.50292
1.0,383,11.604428
1.0,453,11.723242
0.0,1000,11.987411
1.0,20,11.992726
1.0,251,12.058319
0.0,58,12.073477
0.0,32,12.082062
1.0,19,12.087162
1.0,380,12.188187
1.0,825,12.405725
0.0,480,12.531513
1.0,20,12.536773
1.0,223,12.595227
0.0,102,12.622651
0.0,250,12.688702
1.0,20,12.694024
1.0,342,12.783624
0.0,151,12.823362
0.0,1000,13.087059
1.0,23,13.093159
1.0,211,13.148951
0.0,119,13.180792
0.0,244,13.245277
1.0,18,13.249993
1.0,296,13.327852
0.0,228,13.387577
0.0,831,13.60648
1.0,24,13.612832
1.0,145,13.650699
1.0,281,13.725624
0.0,253,13.791822
1.0,19,13.796792
1.0,113,13.826322
0.0,118,13.857332
0.0,45,13.869172
1.0,20,13.874387
0.0,166,13.917756
0.0,303,13.998527
0.0,262,14.067155
1.0,22,14.072927
1.0,359,14.167012
0.0,90,14.190779
0.0,1000,14.454109
0.0,12,14.457333
1.0,243,14.522053
0.0,242,14.58555
0.0,454,14.704825
1.0,20,14.71008
1.0,176,14.757241
0.0,80,14.778258
0.0,263,14.84749
1.0,22,14.853255
1.0,69,14.871298
0.0,79,14.892012
0.0,299,14.97013
1.0,23,14.976135
1.0,150,15.017123
0.0,264,15.08728
0.0,440,15.202706
1.0,20,15.208072
0.0,26,15.214898
0.0,189,15.265054
0.0,578,15.417098
1.0,19,15.422092
0.0,41,15.433005
1.0,97,15.458488
0.0,13,15.461926
1.0,20,15.467165
1.0,147,15.505843
0.0,58,15.521613
0.0,34,15.530625
1.0,24,15.537045
1.0,58,15.552558
0.0,90,15.576213
0.0,40,15.586687
1.0,22,15.592432
0.0,26,15.599228
1.0,119,15.630277
0.0,23,15.63631
1.0,21,15.641893
1.0,63,15.65844
0.0,504,15.791406
0.0,1000,16.054886
1.0,23,16.061002
1.0,72,16.080323
1.0,102,16.107147
0.0,369,16.204223
1.0,20,16.209603
1.0,189,16.259105
0.0,233,16.321553
0.0,262,16.391012
1.0,18,16.395858
1.0,115,16.425982
1.0,82,16.447515
0.0,1000,16.710507
1.0,25,16.717077
0.0,82,16.73869
0.0,38,16.74866
0.0,259,16.816573
1.0,18,16.821306
1.0,203,16.87574
1.0,83,16.898098
0.0,36,16.907525
1.0,18,16.912237
0.0,86,16.934985
1.0,102,16.961609
0.0,711,17.149269
1.0,18,17.154122
1.0,44,17.165686
1.0,67,17.183279
0.0,204,17.236655
1.0,20,17.241907
1.0,233,17.303271
1.0,476,17.429418
0.0,192,17.480085
1.0,22,17.485881
1.0,63,17.502559
1.0,145,17.54101
0.0,10,17.543663
1.0,18,17.548409
1.0,58,17.56371
1.0,126,17.596812
0.0,280,17.67143
1.0,20,17.676704
1.0,54,17.69097
1.0,80,17.711927
0.0,19,17.716927
0.0,5,17.718268
1.0,64,17.735155
1.0,122,17.767187
0.0,13,17.770628
1.0,22,17.77642
1.0,54,17.79065
1.0,325,17.876267
0.0,214,17.933642
0.0,5,17.934981
0.0,11,17.937893
1.0,123,17.970264
0.0,372,18.068192
1.0,18,18.073051
1.0,42,18.084111
1.0,70,18.102623
0.0,331,18.190369
1.0,20,18.195873
1.0,50,18.209282
1.0,89,18.233033
0.0,147,18.271655
1.0,22,18.27755
0.0,56,18.292557
1.0,60,18.308386
0.0,1000,18.571594
0.0,5,18.572946
1.0,42,18.583922
1.0,106,18.611607
0.0,255,18.679679
1.0,18,18.684403
1.0,36,18.694337
0.0,45,18.706281
0.0,409,18.814298
1.0,22,18.820158
1.0,40,18.830655
1.0,86,18.853305
0.0,1000,19.116184
1.0,20,19.121547
1.0,40,19.132074
0.0,192,19.182972
0.0,1000,19.447473
1.0,18,19.452237
1.0,40,19.462818
1.0,55,19.477496
0.0,576,19.62947
0.0,5,19.630815
1.0,41,19.641529
1.0,97,19.666971
0.0,49,19.679747
1.0,23,19.685853
1.0,40,19.696318
0.0,77,19.716437
0.0,281,19.791972
0.0,12,19.795144
1.0,48,19.807918
1.0,120,19.839356
0.0,459,19.959919
1.0,22,19.965707
0.0,7,19.967568
0.0,232,20.029647
0.0,192,20.080286
1.0,22,20.086061
1.0,36,20.095516
0.0,42,20.106608
0.0,1000,20.369351
1.0,19,20.374396
1.0,47,20.386715
1.0,50,20.399825
0.0,588,20.555074
1.0,18,20.559864
1.0,47,20.5724
1.0,92,20.596653
0.0,373,20.694443
1.0,20,20.699713
1.0,42,20.71079
1.0,49,20.723627
0.0,596,20.881336
1.0,22,20.887125
1.0,40,20.897673
0.0,162,20.940078
0.0,58,20.955259
1.0,18,20.959992
1.0,38,20.969972
0.0,197,21.021621
0.0,539,21.164488
1.0,22,21.170335
1.0,42,21.181419
1.0,85,21.203764
0.0,13,21.207205
1.0,18,21.211958
1.0,40,21.222464
1.0,55,21.236964
0.0,773,21.441449
1.0,20,21.446721
1.0,41,21.457483
0.0,48,21.470094
0.0,1000,21.733725
0.0,7,21.735607
1.0,38,21.745578
1.0,44,21.757146
0.0,912,21.997337
1.0,18,22.002088
0.0,27,22.00929
1.0,73,22.028383
0.0,670,22.205854
1.0,21,22.21139
1.0,46,22.223566
1.0,50,22.236696
1.0,121,22.268505
1.0,20,22.273791
1.0,37,22.283787
1.0,44,22.296523
0.0,437,22.412441
0.0,7,22.414323
1.0,36,22.423832
1.0,47,22.436169
1.0,66,22.45367
1.0,18,22.458459
1.0,38,22.468445
1.0,44,22.479996
1.0,68,22.497914
1.0,20,22.503252
1.0,36,22.512717
1.0,49,22.525628
1.0,58,22.540888
1.0,20,22.546148
0.0,11,22.549046
1.0,46,22.561185
0.0,122,22.593146
1.0,22,22.598975
1.0,42,22.610002
1.0,54,22.624141
0.0,92,22.649159
1.0,20,22.654457
1.0,44,22.666138
1.0,40,22.676979
0.0,128,22.710674
0.0,3,22.711486
0.0,9,22.713861
1.0,44,22.72543
0.0,304,22.805506
1.0,22,22.811323
1.0,46,22.823466
1.0,43,22.835067
1.0,74,22.854488
1.0,18,22.859217
1.0,36,22.868745
1.0,42,22.879995
1.0,71,22.898774
1.0,18,22.903758
1.0,40,22.914331
1.0,54,22.928534
1.0,38,22.939139
1.0,18,22.943993
1.0,38,22.954097
0.0,30,22.962043
1.0,46,22.974246
1.0,18,22.978987
1.0,40,22.989531
1.0,45,23.001373
1.0,42,23.012423
1.0,20,23.017734
1.0,36,23.027204
1.0,44,23.038772
1.0,44,23.050388
1.0,20,23.055691
1.0,44,23.067255
1.0,38,23.07723
1.0,82,23.098807
1.0,20,23.104064
1.0,45,23.116002
1.0,42,23.127128
1.0,42,23.138165
1.0,23,23.144482
1.0,44,23.156112
1.0,45,23.168238
1.0,42,23.179544
1.0,20,23.184834
1.0,38,23.19491
1.0,46,23.207593
0.0,77,23.228195
1.0,18,23.232947
1.0,38,23.242998
1.0,38,23.252997
1.0,44,23.264562
1.0,20,23.269832
1.0,36,23.279461
1.0,47,23.291838
0.0,32,23.300261
1.0,20,23.305523
1.0,43,23.317008
1.0,38,23.327013
1.0,40,23.337605
1.0,20,23.342909
1.0,46,23.355047
1.0,42,23.366111
0.0,806,23.578597
1.0,18,23.583335
1.0,44,23.594858
1.0,44,23.606382
1.0,46,23.618511
1.0,18,23.623252
0.0,9,23.625636
1.0,46,23.637691
1.0,44,23.649238
1.0,18,23.654151
1.0,48,23.666707
1.0,46,23.678714
1.0,42,23.689717
1.0,20,23.695277
1.0,46,23.707608
1.0,40,23.718137
1.0,44,23.729942
1.0,20,23.735387
1.0,36,23.744914
1.0,40,23.755447
1.0,42,23.766529
1.0,18,23.771317
1.0,38,23.78129
1.0,44,23.792953
1.0,41,23.803703
1.0,22,23.809547
1.0,36,23.819
1.0,38,23.828958
1.0,46,23.841062
1.0,18,23.845888
1.0,44,23.857431
1.0,45,23.8692
1.0,44,23.880789
1.0,18,23.885538
1.0,40,23.89606
1.0,40,23.906549
1.0,46,23.918693
1.0,20,23.923947
1.0,44,23.935478
1.0,46,23.947496
0.0,34,23.956441
1.0,20,23.961995
1.0,40,23.972703
1.0,44,23.984263
1.0,38,23.994611
1.0,18,23.999387
0.0,29,24.007062
1.0,41,24.017841
1.0,42,24.028851
1.0,23,24.034945
1.0,42,24.045972
1.0,45,24.057763
1.0,38,24.067752
1.0,22,24.073606
1.0,39,24.084092
1.0,40,24.094618
1.0,46,24.106667
0.0,7,24.108577
1.0,42,24.119631
1.0,40,24.130124
0.0,9,24.132501
1.0,21,24.13803
0.0,22,24.143809
1.0,49,24.156701
1.0,60,24.172455
1.0,22,24.178239
1.0,38,24.188291
1.0,46,24.200347
1.0,42,24.211374
0.0,10,24.214017
1.0,38,24.224346
1.0,38,24.234442
1.0,38,24.244596
0.0,7,24.246462
1.0,46,24.258716
1.0,40,24.26948
1.0,44,24.281149
0.0,5,24.282483
1.0,40,24.293104
1.0,44,24.304717
1.0,42,24.315744
1.0,20,24.321007
1.0,38,24.331009
1.0,40,24.34161
1.0,40,24.352115
1.0,18,24.356864
1.0,46,24.368952
1.0,46,24.381079
1.0,42,24.392116
1.0,18,24.39686
1.0,40,24.407402
1.0,41,24.418239
1.0,44,24.429799
1.0,25,24.436395
1.0,41,24.447286
1.0,44,24.45881
1.0,40,24.469326
1.0,20,24.474579
1.0,39,24.48482
1.0,39,24.496055
1.0,47,24.508976
1.0,18,24.513762
1.0,39,24.524162
1.0,48,24.536916
1.0,44,24.54867
1.0,18,24.55342
1.0,40,24.564036
1.0,40,24.574534
1.0,44,24.586082
1.0,20,24.591334
1.0,48,24.603972
1.0,40,24.614456
0.0,34,24.623356
1.0,20,24.628599
1.0,38,24.638645
1.0,49,24.651497
1.0,46,24.663558
1.0,18,24.668285
1.0,40,24.678923
1.0,38,24.688902
1.0,38,24.699104
1.0,20,24.704338
1.0,47,24.716703
1.0,46,24.728756
1.0,49,24.741641
1.0,20,24.746902
1.0,42,24.75829
1.0,46,24.770412
1.0,48,24.783209
1.0,18,24.788166
1.0,38,24.798444
1.0,43,24.809757
1.0,44,24.821334
1.0,21,24.826899
1.0,54,24.841126
0.0,32,24.849517
1.0,43,24.860797
1.0,20,24.86611
1.0,42,24.877118
1.0,44,24.888631
1.0,43,24.899953
1.0,18,24.904757
1.0,38,24.91476
1.0,42,24.925783
1.0,50,24.93896
1.0,19,24.943953
1.0,42,24.954959
1.0,44,24.966491
1.0,50,24.979625
1.0,20,24.984887
1.0,36,24.994361
1.0,40,25.004983
1.0,38,25.015349
1.0,20,25.02082
0.0,23,25.02721
1.0,40,25.037915
1.0,40,25.048614
1.0,20,25.054179
1.0,38,25.064271
1.0,43,25.075649
1.0,44,25.087231
1.0,22,25.09315
1.0,43,25.104424
1.0,40,25.114901
1.0,40,25.125421
1.0,18,25.130255
1.0,40,25.140745
1.0,40,25.151207
1.0,44,25.162859
0.0,7,25.164711
1.0,38,25.174798
1.0,45,25.186604
1.0,38,25.196569
1.0,22,25.202338
1.0,44,25.214069
1.0,42,25.225055
1.0,42,25.236048
0.0,5,25.237388
1.0,40,25.247971
1.0,44,25.259506
1.0,44,25.27102
1.0,18,25.275774
1.0,40,25.287055
1.0,46,25.299369
1.0,44,25.311088
1.0,21,25.316715
1.0,40,25.327499
1.0,42,25.338572
1.0,45,25.350478
1.0,20,25.355849
1.0,44,25.367375
1.0,43,25.378639
1.0,48,25.391296
1.0,22,25.397158
0.0,28,25.404513
1.0,45,25.416296
0.0,1000,25.679562
