episodes,steps,total reward
11,1000,0.0
16,2000,0.0
21,3000,0.0
25,4000,0.0
29,5000,0.0
33,6000,0.0
34,7000,0.0
35,8000,0.0
39,9000,0.0
40,10000,0.0
41,11000,0.0
42,12000,0.0
45,13000,0.0
47,14000,0.0
51,15000,0.0
56,16000,0.0
58,17000,0.0
59,18000,0.0
61,19000,0.0
64,20000,0.0
66,21000,0.0
67,22000,0.0
68,23000,0.0
70,24000,0.0
71,25000,0.0
75,26000,0.0
76,27000,0.0
79,28000,0.0
82,29000,0.0
83,30000,0.0
84,31000,0.0
87,32000,0.0
90,33000,0.0
95,34000,0.0
96,35000,0.0
98,36000,0.0
99,37000,0.0
100,38000,0.0
101,39000,0.0
105,40000,0.0
107,41000,0.0
108,42000,0.0
111,43000,0.0
115,44000,0.0
117,45000,0.0
118,46000,0.0
119,47000,0.0
123,48000,0.0
127,49000,0.0
129,50000,0.0
133,51000,0.0
135,52000,0.0
136,53000,0.0
138,54000,0.0
141,55000,0.0
142,56000,0.0
146,57000,0.0
147,58000,0.0
149,59000,0.0
154,60000,0.0
155,61000,0.0
156,62000,0.0
162,63000,0.0
163,64000,0.0
167,65000,0.0
169,66000,0.0
171,67000,0.0
175,68000,0.0
178,69000,0.0
180,70000,0.0
182,71000,0.0
183,72000,0.0
184,73000,0.0
186,74000,0.0
190,75000,0.0
191,76000,0.0
193,77000,0.0
195,78000,0.0
197,79000,0.0
200,80000,0.0
202,81000,0.0
203,82000,0.0
207,83000,0.0
208,84000,0.0
210,85000,0.0
212,86000,0.0
213,87000,0.0
216,88000,0.0
219,89000,0.0
223,90000,0.0
224,91000,0.0
226,92000,0.0
228,93000,0.0
234,94000,0.0
235,95000,0.0
237,96000,0.0
241,97000,0.0
243,98000,0.0
244,99000,0.0
246,100000,0.0
