episodes,steps,total reward
12,1000,0.0
18,2000,0.0
20,3000,0.0
26,4000,1.0
31,5000,0.0
36,6000,0.0
40,7000,1.0
41,8000,0.0
44,9000,0.0
46,10000,2.0
47,11000,1.0
50,12000,2.0
57,13000,0.0
58,14000,1.0
61,15000,0.0
64,16000,1.0
67,17000,1.0
71,18000,1.0
73,19000,0.0
74,20000,0.0
77,21000,1.0
79,22000,0.0
82,23000,2.0
84,24000,0.0
85,25000,1.0
88,26000,0.0
91,27000,0.0
95,28000,1.0
96,29000,0.0
98,30000,2.0
99,31000,1.0
104,32000,1.0
106,33000,2.0
107,34000,0.0
109,35000,1.0
111,36000,0.0
115,37000,1.0
118,38000,2.0
119,39000,0.0
121,40000,1.0
128,41000,3.0
130,42000,2.0
134,43000,2.0
139,44000,1.0
142,45000,2.0
147,46000,2.0
151,47000,2.0
155,48000,2.0
158,49000,2.0
162,50000,1.0
166,51000,2.0
170,52000,2.0
171,53000,1.0
175,54000,1.0
179,55000,2.0
183,56000,2.0
191,57000,3.0
193,58000,1.0
197,59000,3.0
199,60000,0.0
204,61000,3.0
214,62000,5.0
215,63000,1.0
219,64000,2.0
221,65000,1.0
231,66000,6.0
233,67000,0.0
237,68000,2.0
247,69000,3.0
251,70000,1.0
257,71000,3.0
259,72000,1.0
263,73000,1.0
273,74000,7.0
279,75000,4.0
283,76000,3.0
286,77000,1.0
291,78000,2.0
294,79000,2.0
299,80000,3.0
303,81000,3.0
307,82000,0.0
313,83000,3.0
315,84000,1.0
326,85000,5.0
331,86000,4.0
332,87000,0.0
339,88000,5.0
347,89000,6.0
351,90000,3.0
353,91000,1.0
363,92000,7.0
367,93000,2.0
374,94000,4.0
383,95000,6.0
387,96000,2.0
395,97000,4.0
399,98000,3.0
403,99000,2.0
411,100000,6.0
