episodes,steps,total reward
40,10000,3.0
71,20000,2.0
99,30000,11.0
134,40000,12.0
178,50000,20.0
226,60000,24.0
279,70000,30.0
343,80000,37.0
405,90000,36.0
467,100000,41.0
531,110000,43.0
595,120000,44.0
675,130000,55.0
739,140000,43.0
815,150000,55.0
885,160000,49.0
967,170000,62.0
1095,180000,110.0
1300,190000,181.0
1513,200000,189.0
1751,210000,216.0
1992,220000,216.0
2227,230000,211.0
2462,240000,219.0
2697,250000,208.0
2928,260000,210.0
3166,270000,212.0
3414,280000,215.0
3654,290000,207.0
3891,300000,210.0
4130,310000,209.0
4366,320000,213.0
4608,330000,208.0
4837,340000,201.0
5078,350000,218.0
5321,360000,206.0
5566,370000,211.0
5811,380000,211.0
6055,390000,204.0
6303,400000,213.0
6547,410000,212.0
6794,420000,209.0
7032,430000,213.0
7274,440000,211.0
7511,450000,211.0
7754,460000,217.0
8002,470000,206.0
8241,480000,207.0
8477,490000,212.0
8715,500000,210.0
8958,510000,207.0
9195,520000,211.0
9438,530000,210.0
9679,540000,207.0
9918,550000,214.0
10156,560000,209.0
10402,570000,211.0
10640,580000,210.0
10881,590000,215.0
11123,600000,209.0
11373,610000,209.0
11611,620000,214.0
11854,630000,204.0
12091,640000,213.0
12331,650000,212.0
12582,660000,211.0
12819,670000,210.0
13063,680000,209.0
13310,690000,215.0
13559,700000,209.0
13803,710000,206.0
14047,720000,208.0
14289,730000,212.0
14531,740000,210.0
14767,750000,209.0
15007,760000,213.0
15243,770000,205.0
15485,780000,212.0
15719,790000,208.0
15957,800000,210.0
16194,810000,218.0
16423,820000,214.0
16659,830000,210.0
16897,840000,215.0
17136,850000,211.0
17374,860000,214.0
17607,870000,211.0
17849,880000,207.0
18087,890000,206.0
18325,900000,206.0
18571,910000,207.0
18807,920000,212.0
19052,930000,205.0
19290,940000,213.0
19527,950000,209.0
19767,960000,215.0
20007,970000,209.0
20242,980000,211.0
20490,990000,212.0
20733,1000000,212.0
