# {"t_start": 1642149035.5956006, "env_id": "Office-v0"} 
r,l,t
0.0,89,0.035353
0.0,35,0.049069
0.0,94,0.084543
0.0,42,0.10053
0.0,11,0.104698
0.0,124,0.151436
0.0,136,0.202393
0.0,130,0.251224
0.0,70,0.277623
0.0,349,0.409304
0.0,116,0.453331
0.0,54,0.473686
0.0,348,0.60489
0.0,15,0.610573
0.0,241,0.702827
0.0,99,0.741704
0.0,358,0.880901
0.0,86,0.914198
0.0,500,1.105572
0.0,324,1.230965
0.0,61,1.254462
0.0,258,1.353496
0.0,563,1.568774
0.0,50,1.587946
0.0,47,1.60616
0.0,133,1.657346
0.0,532,1.862034
0.0,226,1.948588
1.0,143,2.003424
0.0,402,2.156401
0.0,212,2.237296
0.0,244,2.330588
0.0,111,2.372814
0.0,63,2.396695
1.0,411,2.554362
0.0,5,2.55629
1.0,224,2.642525
0.0,402,2.796821
0.0,1000,3.178116
0.0,140,3.232134
1.0,199,3.309464
1.0,662,3.565715
0.0,190,3.639513
0.0,235,3.731681
1.0,646,3.984983
0.0,532,4.192534
1.0,838,4.520694
0.0,79,4.551561
1.0,106,4.59302
0.0,117,4.638608
0.0,7,4.641359
0.0,594,4.873906
1.0,127,4.92406
0.0,86,4.957619
0.0,400,5.114509
0.0,304,5.233633
1.0,87,5.26778
1.0,614,5.508928
0.0,49,5.5284
0.0,1000,5.921069
0.0,71,5.948822
0.0,45,5.966487
0.0,393,6.120129
0.0,1000,6.513598
1.0,64,6.538828
0.0,54,6.560054
0.0,266,6.664641
0.0,556,6.883396
1.0,130,6.934551
0.0,46,6.952573
0.0,13,6.95766
0.0,168,7.023924
1.0,328,7.152468
1.0,319,7.278612
0.0,312,7.401774
0.0,1000,7.796931
0.0,123,7.845451
0.0,48,7.864313
1.0,791,8.175119
0.0,1000,8.569144
0.0,70,8.596757
0.0,64,8.622031
0.0,103,8.662549
0.0,529,8.871111
1.0,145,8.92818
1.0,614,9.169627
0.0,1000,9.564649
0.0,1000,9.961576
1.0,110,10.005421
0.0,332,10.137332
0.0,34,10.150947
0.0,629,10.401506
1.0,130,10.453416
1.0,433,10.62546
0.0,244,10.72256
0.0,96,10.760728
1.0,95,10.798858
0.0,422,10.966996
0.0,256,11.069247
0.0,1000,11.467436
1.0,66,11.493818
1.0,596,11.731463
0.0,84,11.765284
0.0,391,11.920251
1.0,115,11.965801
1.0,441,12.140582
0.0,379,12.290554
0.0,1000,12.686182
0.0,37,12.70089
0.0,540,12.914437
1.0,611,13.157046
0.0,1000,13.553406
1.0,98,13.5922
0.0,260,13.695
0.0,612,13.937656
0.0,386,14.090948
1.0,54,14.112267
0.0,96,14.150608
0.0,1000,14.547214
0.0,354,14.687241
1.0,45,14.70496
0.0,123,14.753782
0.0,152,14.814011
0.0,227,14.904145
1.0,62,14.928638
1.0,477,15.116986
0.0,721,15.401299
0.0,45,15.419158
1.0,33,15.432194
1.0,505,15.631908
0.0,74,15.661097
0.0,1000,16.057163
1.0,58,16.080022
0.0,142,16.135972
0.0,287,16.248952
0.0,600,16.486384
1.0,65,16.51206
1.0,553,16.730822
0.0,36,16.745089
0.0,109,16.788467
1.0,118,16.834877
1.0,427,17.003427
1.0,464,17.18633
0.0,48,17.20526
1.0,58,17.228126
0.0,67,17.254508
1.0,352,17.39352
0.0,716,17.677354
1.0,18,17.684507
0.0,423,17.852939
1.0,259,17.955206
0.0,23,17.964322
1.0,33,17.977473
1.0,489,18.171205
1.0,527,18.380562
0.0,417,18.54588
1.0,30,18.557777
1.0,108,18.601082
0.0,431,18.771773
0.0,50,18.791934
1.0,18,18.799042
0.0,77,18.829544
1.0,717,19.11412
0.0,14,19.119698
0.0,5,19.12168
1.0,87,19.156083
1.0,290,19.270649
0.0,67,19.297661
1.0,18,19.304822
0.0,59,19.328053
0.0,126,19.377857
0.0,786,19.690711
1.0,20,19.698682
0.0,432,19.87045
1.0,186,19.944509
0.0,1000,20.340689
1.0,24,20.350219
1.0,573,20.575538
0.0,56,20.597714
0.0,199,20.676251
1.0,19,20.683872
0.0,187,20.757487
1.0,205,20.838923
0.0,5,20.84091
1.0,20,20.848904
0.0,69,20.876092
0.0,156,20.938069
0.0,61,20.962263
1.0,24,20.971735
0.0,318,21.097364
0.0,108,21.140063
0.0,80,21.171895
1.0,22,21.180587
1.0,140,21.235919
1.0,228,21.327384
0.0,107,21.370367
1.0,25,21.38044
1.0,238,21.475037
0.0,19,21.482521
0.0,410,21.645775
1.0,22,21.654485
0.0,102,21.695047
0.0,842,22.029571
0.0,190,22.104755
1.0,20,22.112689
1.0,213,22.196882
0.0,54,22.218327
0.0,209,22.301313
1.0,18,22.308416
1.0,179,22.379138
0.0,167,22.445525
0.0,149,22.504272
1.0,25,22.514195
0.0,23,22.523273
1.0,297,22.641146
0.0,1000,23.038739
1.0,18,23.045992
1.0,211,23.129887
0.0,244,23.226572
0.0,197,23.305115
1.0,18,23.312247
0.0,70,23.339888
0.0,25,23.349802
0.0,718,23.635029
1.0,19,23.642791
1.0,128,23.693964
0.0,232,23.786198
0.0,3,23.787406
1.0,18,23.794729
1.0,122,23.843108
1.0,564,24.066892
0.0,829,24.396286
1.0,22,24.405361
1.0,277,24.515848
0.0,116,24.561933
0.0,599,24.800236
0.0,7,24.803031
1.0,222,24.891326
1.0,100,24.931291
0.0,1000,25.327786
1.0,22,25.336502
1.0,61,25.36071
1.0,354,25.501117
0.0,583,25.732301
1.0,22,25.741037
1.0,71,25.76919
0.0,44,25.786734
0.0,328,25.916789
1.0,19,25.924314
0.0,196,26.002058
0.0,53,26.022979
0.0,149,26.082369
1.0,18,26.089526
1.0,152,26.14977
1.0,541,26.36508
0.0,93,26.401992
1.0,23,26.411235
1.0,94,26.448539
1.0,135,26.502058
0.0,122,26.550638
1.0,22,26.559435
1.0,310,26.682489
1.0,249,26.781426
0.0,251,26.881265
0.0,9,26.884851
0.0,50,26.904732
1.0,194,26.981305
0.0,1000,27.377731
1.0,25,27.387626
0.0,47,27.406266
1.0,219,27.492376
0.0,1000,27.894608
1.0,20,27.902586
1.0,313,28.025966
1.0,195,28.102956
0.0,31,28.115258
1.0,20,28.123161
1.0,113,28.167869
0.0,59,28.191228
0.0,1000,28.587188
1.0,20,28.595206
1.0,89,28.630582
1.0,104,28.671669
0.0,418,28.837332
0.0,8,28.840568
1.0,127,28.891083
1.0,292,29.007047
0.0,40,29.02291
1.0,18,29.030075
1.0,64,29.055942
1.0,686,29.328243
0.0,72,29.356746
1.0,23,29.365841
0.0,27,29.376505
0.0,56,29.398677
0.0,9,29.402265
1.0,18,29.409405
0.0,131,29.460983
1.0,192,29.537159
0.0,51,29.557377
0.0,5,29.559361
1.0,79,29.590708
0.0,44,29.608166
0.0,1000,30.006306
1.0,20,30.014243
1.0,108,30.056887
1.0,212,30.140898
0.0,778,30.448866
1.0,20,30.456985
1.0,46,30.475128
1.0,101,30.514968
0.0,469,30.700547
1.0,21,30.708824
1.0,225,30.798263
1.0,97,30.836556
