episodes,steps,total reward
22,1000,0.0
31,2000,0.0
37,3000,0.0
39,4000,0.0
47,5000,0.0
55,6000,0.0
63,7000,0.0
70,8000,1.0
75,9000,0.0
80,10000,0.0
86,11000,1.0
97,12000,0.0
103,13000,1.0
106,14000,1.0
114,15000,1.0
122,16000,1.0
127,17000,0.0
133,18000,2.0
142,19000,0.0
146,20000,1.0
147,21000,0.0
152,22000,1.0
156,23000,2.0
163,24000,0.0
169,25000,1.0
170,26000,0.0
177,27000,1.0
192,28000,5.0
197,29000,0.0
208,30000,1.0
215,31000,2.0
223,32000,1.0
227,33000,2.0
243,34000,7.0
265,35000,10.0
292,36000,18.0
305,37000,8.0
326,38000,15.0
349,39000,15.0
375,40000,17.0
405,41000,19.0
433,42000,19.0
464,43000,21.0
492,44000,22.0
522,45000,21.0
549,46000,19.0
575,47000,20.0
605,48000,20.0
634,49000,16.0
663,50000,19.0
691,51000,20.0
723,52000,21.0
750,53000,19.0
779,54000,20.0
806,55000,22.0
830,56000,19.0
857,57000,22.0
886,58000,20.0
916,59000,17.0
942,60000,19.0
971,61000,21.0
999,62000,20.0
1026,63000,20.0
1055,64000,18.0
1085,65000,18.0
1113,66000,20.0
1146,67000,20.0
1173,68000,22.0
1203,69000,21.0
1234,70000,17.0
1259,71000,22.0
1287,72000,17.0
1313,73000,19.0
1339,74000,21.0
1366,75000,19.0
1394,76000,19.0
1422,77000,17.0
1452,78000,18.0
1482,79000,18.0
1508,80000,19.0
1537,81000,21.0
1565,82000,21.0
1593,83000,19.0
1622,84000,19.0
1647,85000,20.0
1677,86000,17.0
1706,87000,21.0
1734,88000,20.0
1763,89000,20.0
1792,90000,17.0
1819,91000,19.0
1847,92000,21.0
1876,93000,21.0
1902,94000,20.0
1932,95000,18.0
1959,96000,19.0
1988,97000,19.0
2016,98000,20.0
2044,99000,19.0
2072,100000,17.0
