# {"t_start": 1641587221.0047498, "env_id": "Office-v0"} 
r,l,t
0.0,119,0.036517
0.0,113,0.067439
0.0,64,0.085056
0.0,64,0.102457
0.0,70,0.121354
0.0,130,0.157228
0.0,81,0.180914
0.0,163,0.225314
0.0,50,0.239059
0.0,62,0.255971
0.0,71,0.275316
0.0,305,0.359459
1.0,169,0.405579
0.0,272,0.479911
0.0,284,0.557642
0.0,351,0.653784
0.0,430,0.771023
0.0,353,0.867968
0.0,371,0.969076
0.0,126,1.003536
0.0,186,1.054314
0.0,391,1.160986
0.0,293,1.240822
0.0,425,1.356502
0.0,81,1.37894
0.0,473,1.50936
0.0,58,1.525217
0.0,290,1.604781
1.0,330,1.696376
0.0,442,1.817405
0.0,365,1.917291
0.0,1000,2.188723
1.0,218,2.250262
0.0,239,2.317421
1.0,621,2.490446
0.0,95,2.517245
1.0,78,2.538891
0.0,967,2.807321
0.0,1000,3.085527
0.0,244,3.152875
1.0,243,3.22001
0.0,375,3.324373
0.0,42,3.336169
0.0,20,3.342032
0.0,102,3.370277
0.0,561,3.525748
0.0,66,3.544123
0.0,802,3.76688
0.0,89,3.791391
0.0,23,3.797801
1.0,309,3.88368
0.0,376,3.989148
1.0,148,4.030346
0.0,55,4.045687
0.0,107,4.07553
0.0,59,4.09196
0.0,61,4.109301
0.0,316,4.198872
0.0,179,4.248686
0.0,714,4.447895
1.0,150,4.490022
0.0,50,4.503883
1.0,437,4.625654
0.0,319,4.714765
1.0,77,4.736562
0.0,236,4.802208
1.0,497,4.940305
0.0,1000,5.219108
1.0,261,5.292665
0.0,245,5.361413
0.0,254,5.432186
0.0,517,5.577076
1.0,154,5.620143
0.0,328,5.712323
0.0,582,5.876146
0.0,776,6.09213
1.0,81,6.115196
0.0,142,6.155311
1.0,575,6.31536
0.0,349,6.413397
1.0,133,6.450462
0.0,148,6.491585
1.0,932,6.751712
0.0,1000,7.030058
0.0,12,7.03342
0.0,424,7.150493
0.0,216,7.210298
0.0,32,7.219369
1.0,261,7.292886
0.0,341,7.38748
1.0,934,7.647321
0.0,480,7.78057
1.0,128,7.817218
1.0,430,7.936666
1.0,551,8.090486
0.0,184,8.141556
0.0,132,8.17804
1.0,719,8.37829
0.0,85,8.401875
0.0,462,8.531012
0.0,58,8.54713
0.0,209,8.6053
1.0,390,8.71503
0.0,66,8.733329
0.0,124,8.767715
0.0,145,8.808013
0.0,213,8.86709
0.0,116,8.900069
1.0,68,8.919557
0.0,300,9.003119
1.0,464,9.132857
0.0,1000,9.411804
1.0,53,9.42657
0.0,16,9.431073
1.0,519,9.57592
0.0,1000,9.85572
1.0,160,9.900041
0.0,52,9.914453
0.0,118,9.947165
0.0,1000,10.225882
1.0,65,10.243869
0.0,90,10.268942
0.0,324,10.360253
0.0,1000,10.638949
1.0,234,10.703805
0.0,861,10.944074
1.0,710,11.140965
0.0,559,11.296327
1.0,31,11.305002
1.0,575,11.465577
1.0,486,11.600573
0.0,379,11.706172
1.0,111,11.737439
0.0,269,11.811833
0.0,527,11.957752
0.0,74,11.97871
1.0,72,11.999076
0.0,29,12.007134
1.0,533,12.155272
0.0,75,12.176057
1.0,20,12.181603
1.0,244,12.249803
0.0,104,12.279176
0.0,1000,12.557088
1.0,65,12.575189
1.0,540,12.724844
0.0,7,12.726814
0.0,33,12.735933
1.0,23,12.742304
0.0,105,12.77164
0.0,56,12.787332
0.0,1000,13.06548
1.0,18,13.070735
0.0,121,13.105233
1.0,476,13.237217
0.0,243,13.305161
1.0,22,13.311348
0.0,349,13.409385
0.0,70,13.428875
0.0,130,13.464958
1.0,18,13.469978
1.0,204,13.526766
1.0,446,13.651212
0.0,623,13.824479
1.0,18,13.829494
0.0,184,13.880643
0.0,111,13.911748
0.0,1000,14.190076
1.0,20,14.196026
1.0,133,14.233375
0.0,194,14.287078
0.0,31,14.295621
1.0,18,14.300605
1.0,539,14.449618
0.0,829,14.681217
0.0,1000,14.959103
1.0,24,14.965805
0.0,61,14.98264
0.0,1000,15.262849
0.0,215,15.322718
1.0,18,15.327734
1.0,177,15.377169
1.0,432,15.496669
0.0,621,15.670047
0.0,7,15.672012
1.0,592,15.836022
1.0,170,15.883616
0.0,3,15.884501
1.0,20,15.890297
1.0,313,15.977043
0.0,83,15.999913
0.0,1000,16.278465
1.0,20,16.284141
1.0,142,16.323936
1.0,279,16.401144
0.0,1000,16.679255
1.0,18,16.684316
1.0,304,16.76981
0.0,36,16.779752
0.0,1000,17.05821
1.0,18,17.063245
1.0,123,17.097281
0.0,112,17.128201
0.0,407,17.240538
1.0,18,17.245829
0.0,442,17.369176
0.0,137,17.40749
0.0,178,17.456727
1.0,20,17.462287
1.0,154,17.505401
0.0,69,17.524803
0.0,850,17.761733
1.0,20,17.767264
0.0,147,17.808573
0.0,47,17.821983
1.0,522,17.967472
1.0,21,17.973406
1.0,175,18.022081
1.0,833,18.254727
0.0,488,18.39002
1.0,20,18.395853
1.0,90,18.420978
1.0,192,18.474266
0.0,307,18.559362
1.0,20,18.564987
1.0,203,18.621271
1.0,174,18.670585
0.0,1000,18.949553
1.0,18,18.954739
0.0,309,19.040281
1.0,113,19.07162
0.0,1000,19.350688
1.0,20,19.356321
1.0,303,19.440636
1.0,183,19.492742
0.0,1000,19.77218
1.0,20,19.777767
0.0,178,19.827675
1.0,106,19.85694
0.0,1000,20.13537
1.0,20,20.140952
1.0,93,20.166804
1.0,631,20.34327
0.0,200,20.39925
1.0,18,20.404273
1.0,169,20.451138
0.0,7,20.453099
0.0,320,20.5419
1.0,26,20.549227
1.0,127,20.58463
1.0,215,20.645419
0.0,1000,20.924712
1.0,22,20.930833
1.0,88,20.955201
1.0,231,21.019168
0.0,150,21.060685
1.0,18,21.06569
1.0,156,21.108898
1.0,178,21.158767
0.0,730,21.362196
1.0,18,21.36721
1.0,66,21.385687
0.0,47,21.398683
0.0,803,21.62223
1.0,18,21.627254
1.0,403,21.740444
0.0,70,21.759999
0.0,23,21.766519
1.0,20,21.772145
0.0,101,21.800592
1.0,74,21.821141
0.0,65,21.83922
1.0,23,21.845645
1.0,47,21.858721
1.0,168,21.90546
0.0,501,22.045763
1.0,22,22.051912
1.0,87,22.076121
1.0,213,22.135356
0.0,430,22.255169
0.0,12,22.258531
1.0,52,22.273233
0.0,214,22.33364
0.0,102,22.362441
1.0,20,22.368008
1.0,75,22.388804
1.0,111,22.419692
0.0,1000,22.698424
1.0,22,22.704558
1.0,53,22.71921
1.0,61,22.736128
0.0,481,22.871307
1.0,19,22.876643
1.0,119,22.909782
1.0,76,22.930919
0.0,1000,23.209262
1.0,23,23.215658
1.0,243,23.28269
0.0,204,23.339245
0.0,322,23.429619
1.0,22,23.43576
1.0,42,23.447448
1.0,126,23.482394
0.0,833,23.715564
1.0,19,23.720932
1.0,58,23.737028
1.0,97,23.763886
0.0,96,23.790431
1.0,20,23.796024
1.0,45,23.808473
0.0,145,23.848722
0.0,98,23.875836
1.0,20,23.88139
1.0,105,23.910428
1.0,68,23.92931
0.0,1000,24.20765
1.0,26,24.214973
1.0,44,24.227456
0.0,351,24.325643
0.0,33,24.334806
1.0,18,24.339797
1.0,117,24.372284
1.0,86,24.396097
0.0,1000,24.675427
1.0,24,24.68214
1.0,42,24.693833
1.0,59,24.710218
0.0,101,24.738471
1.0,19,24.744056
1.0,40,24.75523
0.0,25,24.762156
0.0,322,24.852987
1.0,19,24.858263
1.0,37,24.868544
1.0,136,24.906152
0.0,1000,25.184613
1.0,18,25.189683
1.0,45,25.202205
1.0,68,25.221105
0.0,1000,25.498935
1.0,18,25.503976
0.0,31,25.512564
0.0,154,25.555291
0.0,54,25.570296
1.0,22,25.576372
1.0,40,25.587441
1.0,48,25.600775
0.0,17,25.605562
1.0,20,25.611365
1.0,40,25.622761
1.0,57,25.638707
0.0,196,25.693659
1.0,24,25.70031
1.0,40,25.711389
1.0,56,25.726943
0.0,81,25.749327
1.0,22,25.755554
0.0,9,25.758173
1.0,88,25.782427
0.0,549,25.936017
1.0,23,25.942417
1.0,41,25.954266
1.0,42,25.965999
0.0,441,26.087846
1.0,18,26.092866
1.0,44,26.105186
1.0,114,26.13674
0.0,1000,26.416155
1.0,22,26.422322
1.0,37,26.432601
1.0,50,26.446574
0.0,1000,26.726325
0.0,3,26.727215
1.0,38,26.738045
1.0,63,26.756094
0.0,1000,27.035844
0.0,3,27.036728
1.0,41,27.048739
1.0,52,27.063124
0.0,98,27.090337
1.0,19,27.095728
