# {"t_start": 1641587894.8858292, "env_id": "Office-single-v0"} 
r,l,t
0.0,6,0.001917
0.0,94,0.026306
0.0,154,0.062344
0.0,153,0.097849
0.0,74,0.115088
0.0,17,0.119159
0.0,75,0.135889
0.0,55,0.148555
0.0,37,0.156755
0.0,132,0.186124
0.0,98,0.208285
0.0,423,0.307894
0.0,119,0.334525
0.0,303,0.402235
0.0,107,0.425799
0.0,260,0.484822
0.0,149,0.518837
0.0,199,0.56324
0.0,210,0.609797
0.0,318,0.68076
0.0,46,0.691235
0.0,48,0.702358
0.0,40,0.711385
0.0,166,0.749437
0.0,304,0.818729
0.0,250,0.874521
0.0,87,0.893882
0.0,213,0.94241
0.0,23,0.947789
0.0,98,0.969915
0.0,507,1.083203
0.0,310,1.152631
0.0,80,1.171266
0.0,440,1.270068
0.0,374,1.354207
0.0,468,1.460441
0.0,299,1.527086
0.0,727,1.690573
0.0,1000,1.917859
0.0,215,1.966676
0.0,615,2.107945
0.0,1000,2.335272
0.0,290,2.400483
0.0,172,2.43909
0.0,35,2.446954
0.0,292,2.513354
0.0,108,2.538393
0.0,1000,2.766568
0.0,995,2.99368
0.0,173,3.032997
0.0,62,3.046915
0.0,308,3.116722
0.0,968,3.337613
0.0,1000,3.565509
0.0,94,3.586708
0.0,639,3.732572
0.0,200,3.777764
0.0,473,3.885676
0.0,210,3.934267
0.0,96,3.956442
0.0,311,4.027594
0.0,235,4.080927
0.0,496,4.195224
0.0,134,4.225378
0.0,66,4.240293
0.0,416,4.335308
0.0,763,4.509505
0.0,156,4.545454
0.0,110,4.57093
0.0,74,4.588633
0.0,554,4.71625
0.0,82,4.735008
0.0,737,4.903317
0.0,526,5.023495
0.0,766,5.198985
0.0,320,5.272676
0.0,1000,5.504538
0.0,1000,5.735797
0.0,58,5.749376
0.0,1000,5.983449
0.0,115,6.009869
0.0,1000,6.239496
0.0,312,6.310852
0.0,1000,6.541813
0.0,747,6.71466
0.0,382,6.801821
0.0,150,6.835781
0.0,74,6.852565
0.0,352,6.933837
0.0,102,6.957417
0.0,433,7.055369
0.0,135,7.086069
0.0,140,7.118498
0.0,203,7.164912
0.0,699,7.324075
0.0,238,7.378997
0.0,429,7.476022
0.0,329,7.551358
0.0,780,7.731216
0.0,1000,7.959872
0.0,374,8.045857
0.0,336,8.12243
0.0,280,8.186152
0.0,34,8.193834
0.0,502,8.310291
0.0,322,8.383177
0.0,753,8.556982
0.0,168,8.595787
0.0,59,8.609353
0.0,1000,8.839104
0.0,1000,9.067262
0.0,66,9.082303
0.0,1000,9.311638
0.0,69,9.327365
0.0,71,9.344126
0.0,1000,9.574444
0.0,1000,9.80245
0.0,1000,10.03226
0.0,209,10.080262
0.0,1000,10.307727
0.0,460,10.412516
0.0,852,10.606422
0.0,1000,10.83492
0.0,508,10.951035
0.0,35,10.95924
0.0,102,10.9825
0.0,81,11.001401
0.0,23,11.006735
0.0,270,11.068281
0.0,46,11.07876
0.0,793,11.26122
0.0,643,11.408159
0.0,217,11.458554
0.0,115,11.485277
0.0,536,11.606957
0.0,342,11.685368
0.0,472,11.794209
0.0,530,11.915084
0.0,996,12.141926
0.0,1000,12.370111
0.0,294,12.438214
0.0,199,12.484077
0.0,234,12.537454
0.0,142,12.569646
0.0,583,12.703165
0.0,1000,12.931063
0.0,120,12.958298
0.0,1000,13.186376
0.0,1000,13.414119
0.0,1000,13.642278
0.0,403,13.734111
0.0,262,13.794014
0.0,269,13.854439
0.0,743,14.024495
0.0,223,14.075732
0.0,1000,14.303858
0.0,1000,14.533749
0.0,380,14.619306
0.0,16,14.622914
0.0,61,14.637184
0.0,540,14.760869
0.0,286,14.825963
0.0,139,14.857714
0.0,265,14.919457
0.0,902,15.125241
0.0,3,15.125982
0.0,166,15.163743
0.0,118,15.190284
0.0,381,15.276476
0.0,72,15.292715
0.0,117,15.319513
