# {"t_start": 1641999499.1156187, "env_id": "Office-single-v0"} 
r,l,t
0.0,36,0.009265
0.0,68,0.026716
0.0,355,0.108421
0.0,48,0.119631
0.0,18,0.123791
0.0,28,0.130268
0.0,23,0.135582
0.0,203,0.182465
0.0,295,0.251396
0.0,18,0.255588
0.0,57,0.268858
0.0,89,0.289675
0.0,172,0.330998
0.0,94,0.357742
0.0,249,0.415946
0.0,267,0.477717
0.0,393,0.569304
0.0,221,0.622303
0.0,362,0.706951
0.0,327,0.782996
0.0,368,0.86882
0.0,193,0.914194
0.0,61,0.928426
0.0,350,1.010044
0.0,362,1.094093
0.0,501,1.211935
0.0,450,1.317354
0.0,267,1.379489
0.0,52,1.391599
0.0,704,1.555445
0.0,127,1.585381
0.0,1000,1.820521
0.0,798,2.010639
0.0,603,2.154971
0.0,1000,2.395602
0.0,653,2.550041
0.0,349,2.632211
0.0,601,2.773468
0.0,85,2.793417
0.0,614,2.938344
0.0,1000,3.173946
0.0,30,3.180984
0.0,35,3.189137
0.0,83,3.20851
0.0,94,3.230505
0.0,3,3.231239
0.0,1000,3.466314
0.0,119,3.494317
0.0,865,3.69959
0.0,396,3.792751
0.0,146,3.827079
0.0,82,3.846403
0.0,112,3.872778
0.0,769,4.054152
0.0,273,4.118845
0.0,131,4.149852
0.0,79,4.168454
0.0,432,4.271128
0.0,292,4.340462
0.0,850,4.540852
0.0,493,4.657541
0.0,1000,4.898577
0.0,602,5.040327
0.0,47,5.051384
0.0,88,5.072123
0.0,272,5.136375
0.0,218,5.187718
0.0,1000,5.425053
0.0,587,5.564276
0.0,661,5.721608
0.0,1000,5.960857
0.0,571,6.097828
0.0,74,6.115532
0.0,1000,6.353833
0.0,671,6.513009
0.0,146,6.547691
0.0,369,6.636605
0.0,1000,6.875045
0.0,153,6.911411
0.0,528,7.036443
0.0,25,7.042381
0.0,119,7.070736
0.0,44,7.081283
0.0,1000,7.322745
0.0,1000,7.560204
0.0,523,7.684274
0.0,83,7.704215
0.0,84,7.724083
0.0,272,7.788556
0.0,364,7.87624
0.0,152,7.912367
0.0,644,8.065188
0.0,155,8.102139
0.0,367,8.189687
0.0,358,8.274538
0.0,427,8.37527
0.0,1000,8.61184
0.0,814,8.803401
0.0,187,8.847331
0.0,1000,9.083571
0.0,1000,9.319886
0.0,1000,9.557785
0.0,660,9.714109
0.0,799,9.90239
0.0,6,9.90384
0.0,172,9.944456
0.0,177,9.986151
0.0,377,10.075342
0.0,827,10.271312
0.0,131,10.302121
0.0,168,10.341886
0.0,52,10.354173
0.0,1000,10.590259
0.0,353,10.673934
0.0,691,10.837999
0.0,17,10.84204
0.0,237,10.898542
0.0,217,10.949822
0.0,79,10.968419
0.0,192,11.013632
0.0,509,11.134338
0.0,833,11.331732
0.0,1000,11.56837
0.0,204,11.616686
0.0,55,11.629729
0.0,95,11.652087
0.0,53,11.664649
0.0,763,11.845185
0.0,72,11.863146
0.0,42,11.873101
0.0,148,11.910089
0.0,440,12.013827
0.0,987,12.247043
0.0,22,12.252228
0.0,40,12.26163
0.0,67,12.277416
0.0,150,12.312914
0.0,377,12.402104
0.0,118,12.429934
0.0,161,12.468701
0.0,857,12.67145
0.0,785,12.861683
0.0,653,13.023607
0.0,262,13.088538
0.0,32,13.096563
0.0,111,13.12385
0.0,82,13.144642
