episodes,steps,total reward
42,10000,0.0
67,20000,0.0
85,30000,0.0
117,40000,0.0
135,50000,0.0
158,60000,0.0
175,70000,1.0
202,80000,0.0
228,90000,0.0
254,100000,1.0
274,110000,1.0
301,120000,0.0
317,130000,1.0
343,140000,1.0
370,150000,1.0
390,160000,1.0
414,170000,2.0
443,180000,11.0
519,190000,49.0
647,200000,105.0
780,210000,109.0
917,220000,103.0
1060,230000,103.0
1205,240000,110.0
1342,250000,110.0
1482,260000,110.0
1624,270000,102.0
1764,280000,112.0
1900,290000,112.0
2043,300000,103.0
2182,310000,110.0
2320,320000,114.0
2463,330000,111.0
2603,340000,107.0
2742,350000,108.0
2886,360000,105.0
3030,370000,103.0
3169,380000,108.0
3314,390000,105.0
3464,400000,100.0
3606,410000,112.0
3751,420000,106.0
3888,430000,106.0
4031,440000,106.0
4169,450000,114.0
4316,460000,106.0
4456,470000,107.0
4596,480000,110.0
4743,490000,110.0
4884,500000,107.0
5019,510000,112.0
5165,520000,106.0
5301,530000,108.0
5456,540000,108.0
5596,550000,107.0
5736,560000,107.0
5878,570000,109.0
6019,580000,108.0
6163,590000,111.0
6303,600000,107.0
6443,610000,109.0
6590,620000,105.0
6731,630000,106.0
6880,640000,110.0
7018,650000,110.0
7156,660000,116.0
7286,670000,99.0
7435,680000,104.0
7574,690000,108.0
7721,700000,109.0
7861,710000,111.0
7999,720000,110.0
8138,730000,111.0
8280,740000,105.0
8419,750000,113.0
8561,760000,107.0
8705,770000,108.0
8841,780000,115.0
8982,790000,104.0
9123,800000,104.0
9261,810000,107.0
9406,820000,105.0
9539,830000,110.0
9681,840000,110.0
9824,850000,109.0
9963,860000,111.0
10106,870000,104.0
10245,880000,116.0
10387,890000,104.0
10528,900000,109.0
10670,910000,107.0
10813,920000,106.0
10954,930000,107.0
11095,940000,111.0
11234,950000,109.0
11380,960000,103.0
11527,970000,101.0
11666,980000,110.0
11809,990000,111.0
11957,1000000,103.0
