# {"t_start": 1641373801.6089213, "env_id": "Office-single-v0"} 
r,l,t
0.0,18,0.004184
0.0,26,0.009458
0.0,21,0.013558
0.0,30,0.019385
0.0,14,0.022413
0.0,24,0.027079
0.0,9,0.028814
0.0,88,0.046723
0.0,37,0.053957
0.0,27,0.059271
0.0,87,0.076362
0.0,64,0.088823
0.0,35,0.09564
0.0,138,0.122645
0.0,19,0.126354
0.0,22,0.130687
0.0,98,0.149895
0.0,13,0.152447
0.0,183,0.188576
0.0,131,0.214866
0.0,94,0.233556
0.0,37,0.240918
0.0,60,0.252898
0.0,107,0.273851
0.0,39,0.281378
0.0,114,0.303699
0.0,143,0.331425
0.0,123,0.355362
0.0,101,0.375034
0.0,23,0.379508
0.0,153,0.409779
0.0,42,0.417965
0.0,153,0.448675
0.0,2,0.449095
0.0,255,0.498906
0.0,11,0.501078
0.0,34,0.50798
0.0,138,0.535514
0.0,161,0.566941
0.0,766,0.718116
0.0,998,0.9144
0.0,191,0.952315
0.0,80,0.967908
0.0,139,0.995407
0.0,56,1.006953
0.0,17,1.010283
0.0,135,1.037762
0.0,54,1.048306
0.0,33,1.054843
0.0,67,1.067985
0.0,33,1.074535
0.0,217,1.117002
0.0,297,1.17555
0.0,224,1.220377
0.0,64,1.232941
0.0,238,1.279691
0.0,92,1.297651
0.0,326,1.36137
0.0,788,1.517245
0.0,90,1.53508
0.0,31,1.541187
0.0,14,1.544038
0.0,4,1.54483
0.0,78,1.560048
0.0,218,1.603336
0.0,38,1.611048
0.0,117,1.634249
1.0,244,1.682052
0.0,175,1.716398
0.0,63,1.728714
0.0,303,1.788649
0.0,248,1.837753
0.0,261,1.888729
0.0,241,1.936029
0.0,273,1.99034
0.0,12,1.992703
0.0,206,2.033952
0.0,31,2.040131
0.0,227,2.084344
0.0,107,2.105207
0.0,20,2.10913
0.0,31,2.115242
0.0,378,2.189604
0.0,19,2.193329
0.0,2,2.193798
0.0,20,2.197863
0.0,36,2.205145
0.0,76,2.22032
0.0,553,2.328688
0.0,12,2.33106
0.0,19,2.334777
0.0,19,2.338604
0.0,392,2.416428
0.0,277,2.471385
0.0,9,2.473166
0.0,435,2.558924
0.0,43,2.567658
0.0,332,2.633346
0.0,21,2.637498
0.0,89,2.654912
0.0,39,2.662524
0.0,263,2.714084
0.0,297,2.77265
0.0,20,2.776934
0.0,79,2.792632
1.0,320,2.855736
0.0,101,2.875644
0.0,422,2.959194
0.0,62,2.971697
0.0,378,3.04705
0.0,139,3.074276
0.0,2,3.074692
0.0,124,3.099092
0.0,228,3.143665
0.0,19,3.147376
0.0,54,3.157906
0.0,28,3.163645
0.0,302,3.223659
0.0,29,3.229394
0.0,187,3.266147
0.0,4,3.266953
0.0,352,3.336142
0.0,191,3.374166
0.0,77,3.389529
0.0,85,3.406364
0.0,30,3.412253
0.0,225,3.456925
0.0,89,3.474502
1.0,121,3.498177
0.0,80,3.514226
0.0,47,3.523651
0.0,147,3.552536
0.0,27,3.558055
0.0,26,3.563209
0.0,359,3.635031
0.0,49,3.644608
1.0,118,3.667748
0.0,89,3.685152
0.0,51,3.695224
0.0,22,3.699653
0.0,28,3.705184
0.0,20,3.709181
1.0,163,3.741303
1.0,145,3.770364
0.0,193,3.808659
0.0,56,3.819746
0.0,38,3.827253
0.0,687,3.962975
0.0,197,4.002173
0.0,213,4.044585
0.0,363,4.115823
0.0,544,4.223818
1.0,108,4.245042
0.0,7,4.246443
0.0,50,4.256248
0.0,81,4.272206
0.0,237,4.318526
1.0,128,4.343657
0.0,297,4.4029
0.0,199,4.442561
0.0,50,4.452299
0.0,35,4.459229
0.0,20,4.463165
0.0,27,4.468436
0.0,299,4.527561
0.0,21,4.531776
0.0,84,4.548407
0.0,550,4.65736
0.0,5,4.658367
0.0,144,4.68656
0.0,674,4.819473
0.0,354,4.888764
0.0,149,4.918014
0.0,138,4.945732
0.0,44,4.954728
0.0,544,5.062253
0.0,123,5.086471
0.0,314,5.148458
0.0,213,5.190573
0.0,75,5.205527
0.0,802,5.363788
0.0,84,5.380574
0.0,18,5.38412
0.0,62,5.396253
0.0,23,5.400837
0.0,57,5.411919
0.0,24,5.41661
0.0,160,5.449289
0.0,38,5.456702
0.0,15,5.45965
0.0,24,5.464328
0.0,189,5.501244
0.0,75,5.516347
0.0,23,5.520853
0.0,134,5.547773
0.0,34,5.554529
1.0,62,5.566978
0.0,87,5.584341
0.0,4,5.585148
0.0,263,5.636907
0.0,507,5.736288
0.0,17,5.739706
1.0,73,5.754183
0.0,268,5.807449
0.0,668,5.939296
0.0,37,5.946651
0.0,401,6.026899
0.0,17,6.030262
0.0,238,6.077157
0.0,41,6.085329
0.0,70,6.099109
0.0,444,6.188617
1.0,73,6.203076
1.0,112,6.225171
0.0,47,6.234486
1.0,113,6.256797
0.0,85,6.27358
0.0,147,6.302536
0.0,20,6.306492
0.0,272,6.361452
0.0,346,6.43046
0.0,61,6.442642
0.0,420,6.525716
1.0,50,6.535657
0.0,214,6.578358
1.0,44,6.587026
0.0,48,6.596507
0.0,15,6.599499
0.0,515,6.701001
0.0,29,6.706626
1.0,149,6.736522
0.0,51,6.746628
0.0,36,6.753816
1.0,283,6.809822
1.0,41,6.817842
1.0,56,6.828775
1.0,51,6.838842
0.0,13,6.841396
0.0,125,6.86573
0.0,60,6.877463
0.0,16,6.880593
0.0,31,6.886663
1.0,47,6.895832
0.0,239,6.943748
1.0,50,6.953967
0.0,52,6.964206
1.0,40,6.97208
0.0,6,6.973282
1.0,39,6.981021
1.0,42,6.989482
1.0,53,6.999947
1.0,44,7.008809
0.0,8,7.010382
0.0,31,7.016454
1.0,42,7.02508
1.0,40,7.032995
1.0,47,7.042179
1.0,44,7.050784
1.0,43,7.059197
1.0,43,7.067649
1.0,46,7.076643
0.0,179,7.111644
0.0,8,7.11323
1.0,38,7.120934
1.0,42,7.129269
1.0,42,7.137537
1.0,48,7.147379
1.0,42,7.155996
1.0,49,7.165617
0.0,2,7.166029
1.0,48,7.175433
0.0,33,7.181983
1.0,45,7.190822
1.0,47,7.200006
1.0,44,7.208616
1.0,40,7.216495
0.0,23,7.221014
0.0,6,7.222203
0.0,20,7.226112
1.0,38,7.233544
1.0,40,7.241375
0.0,326,7.305224
1.0,45,7.313987
1.0,40,7.32202
1.0,44,7.33107
0.0,34,7.337738
0.0,12,7.340089
0.0,31,7.346257
0.0,6,7.347647
1.0,47,7.35709
0.0,6,7.358306
1.0,40,7.366213
1.0,44,7.374777
1.0,55,7.385532
0.0,10,7.387493
0.0,31,7.393545
1.0,45,7.402517
1.0,44,7.41118
1.0,44,7.419782
1.0,42,7.428325
0.0,10,7.430298
1.0,44,7.438968
1.0,45,7.448081
0.0,21,7.452188
0.0,8,7.453763
0.0,31,7.459806
1.0,39,7.467405
0.0,11,7.469556
1.0,49,7.479081
1.0,40,7.486986
0.0,9,7.488769
1.0,46,7.497784
0.0,9,7.499621
1.0,44,7.508571
1.0,55,7.519563
0.0,27,7.525383
0.0,2,7.525795
1.0,42,7.534088
1.0,40,7.541974
1.0,40,7.549884
0.0,25,7.554889
1.0,38,7.562592
1.0,38,7.570202
1.0,46,7.579278
1.0,42,7.587742
1.0,43,7.596332
1.0,42,7.604537
1.0,42,7.612732
0.0,17,7.616068
1.0,39,7.62373
