episodes,steps,total reward
10,1000,0.0
16,2000,0.0
21,3000,0.0
25,4000,0.0
28,5000,0.0
31,6000,0.0
32,7000,0.0
34,8000,0.0
37,9000,0.0
38,10000,0.0
39,11000,0.0
40,12000,0.0
42,13000,0.0
44,14000,0.0
46,15000,0.0
50,16000,0.0
52,17000,0.0
56,18000,0.0
61,19000,0.0
66,20000,0.0
67,21000,0.0
70,22000,0.0
71,23000,0.0
73,24000,0.0
75,25000,0.0
76,26000,0.0
78,27000,0.0
81,28000,0.0
82,29000,0.0
84,30000,0.0
85,31000,0.0
88,32000,0.0
92,33000,0.0
93,34000,0.0
97,35000,0.0
100,36000,0.0
104,37000,0.0
106,38000,0.0
108,39000,0.0
112,40000,0.0
113,41000,0.0
116,42000,0.0
117,43000,0.0
118,44000,0.0
120,45000,0.0
126,46000,0.0
129,47000,0.0
130,48000,0.0
133,49000,0.0
138,50000,0.0
140,51000,0.0
141,52000,0.0
143,53000,0.0
145,54000,0.0
147,55000,0.0
149,56000,0.0
151,57000,0.0
152,58000,0.0
154,59000,0.0
155,60000,0.0
158,61000,0.0
165,62000,0.0
167,63000,0.0
169,64000,0.0
172,65000,0.0
174,66000,0.0
176,67000,0.0
178,68000,0.0
181,69000,0.0
182,70000,0.0
186,71000,0.0
189,72000,0.0
190,73000,0.0
194,74000,0.0
195,75000,0.0
198,76000,0.0
199,77000,0.0
201,78000,0.0
202,79000,0.0
204,80000,0.0
206,81000,0.0
207,82000,0.0
209,83000,0.0
214,84000,0.0
215,85000,0.0
217,86000,0.0
220,87000,0.0
221,88000,0.0
222,89000,0.0
226,90000,0.0
228,91000,0.0
229,92000,0.0
231,93000,0.0
233,94000,0.0
240,95000,0.0
243,96000,0.0
247,97000,0.0
248,98000,0.0
252,99000,0.0
254,100000,0.0
