episodes,steps,total reward
22,1000,0.0
31,2000,0.0
38,3000,0.0
45,4000,0.0
52,5000,0.0
59,6000,0.0
66,7000,0.0
72,8000,1.0
79,9000,0.0
87,10000,0.0
92,11000,0.0
95,12000,0.0
97,13000,0.0
106,14000,0.0
111,15000,0.0
115,16000,1.0
122,17000,1.0
132,18000,0.0
136,19000,0.0
143,20000,0.0
147,21000,1.0
150,22000,0.0
161,23000,3.0
167,24000,1.0
177,25000,3.0
183,26000,2.0
190,27000,2.0
198,28000,1.0
209,29000,1.0
218,30000,1.0
222,31000,1.0
232,32000,2.0
238,33000,2.0
248,34000,1.0
272,35000,14.0
284,36000,5.0
310,37000,15.0
336,38000,15.0
364,39000,18.0
394,40000,17.0
423,41000,17.0
452,42000,20.0
481,43000,18.0
512,44000,18.0
535,45000,15.0
565,46000,19.0
591,47000,20.0
624,48000,16.0
657,49000,15.0
686,50000,19.0
712,51000,21.0
740,52000,21.0
768,53000,20.0
795,54000,19.0
824,55000,20.0
854,56000,19.0
881,57000,17.0
909,58000,18.0
938,59000,18.0
965,60000,19.0
997,61000,18.0
1022,62000,21.0
1052,63000,20.0
1080,64000,20.0
1109,65000,19.0
1142,66000,18.0
1172,67000,17.0
1201,68000,17.0
1236,69000,19.0
1265,70000,17.0
1295,71000,20.0
1329,72000,18.0
1358,73000,20.0
1385,74000,19.0
1412,75000,22.0
1443,76000,18.0
1469,77000,21.0
1496,78000,22.0
1524,79000,19.0
1549,80000,20.0
1581,81000,20.0
1606,82000,19.0
1633,83000,21.0
1659,84000,19.0
1689,85000,18.0
1718,86000,17.0
1747,87000,20.0
1775,88000,19.0
1805,89000,16.0
1836,90000,17.0
1866,91000,18.0
1894,92000,20.0
1922,93000,19.0
1950,94000,19.0
1977,95000,20.0
2007,96000,16.0
2035,97000,22.0
2061,98000,18.0
2087,99000,20.0
2117,100000,20.0
