episodes,steps,total reward
11,1000,0.0
15,2000,0.0
20,3000,0.0
24,4000,0.0
28,5000,0.0
32,6000,0.0
35,7000,0.0
39,8000,0.0
41,9000,0.0
43,10000,0.0
45,11000,0.0
46,12000,0.0
47,13000,0.0
48,14000,0.0
50,15000,0.0
53,16000,0.0
55,17000,0.0
56,18000,0.0
61,19000,0.0
63,20000,0.0
65,21000,0.0
68,22000,0.0
70,23000,0.0
71,24000,0.0
73,25000,0.0
75,26000,0.0
76,27000,0.0
79,28000,0.0
80,29000,0.0
86,30000,0.0
89,31000,0.0
90,32000,0.0
93,33000,0.0
94,34000,0.0
96,35000,0.0
98,36000,0.0
99,37000,0.0
102,38000,0.0
106,39000,0.0
107,40000,0.0
109,41000,0.0
110,42000,0.0
111,43000,0.0
112,44000,0.0
117,45000,0.0
119,46000,0.0
122,47000,0.0
126,48000,0.0
128,49000,0.0
129,50000,0.0
133,51000,0.0
135,52000,0.0
137,53000,0.0
139,54000,0.0
140,55000,0.0
141,56000,0.0
143,57000,0.0
144,58000,0.0
145,59000,0.0
149,60000,0.0
151,61000,0.0
153,62000,0.0
154,63000,0.0
156,64000,0.0
161,65000,0.0
163,66000,0.0
167,67000,0.0
172,68000,0.0
173,69000,0.0
174,70000,0.0
175,71000,0.0
176,72000,0.0
178,73000,0.0
181,74000,0.0
184,75000,0.0
185,76000,1.0
186,77000,0.0
188,78000,0.0
191,79000,0.0
193,80000,0.0
196,81000,0.0
199,82000,0.0
203,83000,0.0
206,84000,0.0
210,85000,0.0
213,86000,1.0
215,87000,0.0
216,88000,0.0
217,89000,0.0
220,90000,0.0
226,91000,0.0
227,92000,0.0
231,93000,0.0
233,94000,0.0
236,95000,0.0
237,96000,0.0
240,97000,0.0
243,98000,0.0
245,99000,0.0
247,100000,0.0
