# {"t_start": 1641542062.323003, "env_id": "Office-single-v0"} 
r,l,t
0.0,285,0.067776
0.0,7,0.069438
0.0,36,0.077792
0.0,30,0.084741
0.0,142,0.117495
0.0,50,0.129343
0.0,62,0.143427
0.0,171,0.182462
0.0,172,0.221555
0.0,54,0.234309
0.0,108,0.259859
0.0,59,0.273807
0.0,56,0.287544
0.0,81,0.306061
0.0,410,0.401376
0.0,68,0.416599
0.0,125,0.444501
0.0,258,0.504467
0.0,45,0.515223
0.0,213,0.563869
0.0,339,0.6409
0.0,304,0.710842
0.0,106,0.736126
0.0,104,0.759826
0.0,91,0.780636
0.0,83,0.799599
0.0,268,0.860008
0.0,326,0.935096
0.0,207,0.9837
0.0,410,1.078265
0.0,57,1.09143
0.0,496,1.20539
0.0,206,1.251986
0.0,613,1.391712
0.0,14,1.39554
0.0,241,1.451421
0.0,1000,1.681482
0.0,91,1.702665
0.0,68,1.718531
0.0,297,1.787747
0.0,569,1.921954
0.0,707,2.085984
0.0,493,2.201658
0.0,996,2.434389
0.0,67,2.449795
0.0,1000,2.683435
0.0,265,2.744325
0.0,1000,2.978384
0.0,184,3.020953
0.0,713,3.186799
0.0,44,3.197096
0.0,1000,3.43194
0.0,588,3.569604
0.0,920,3.784483
0.0,140,3.817636
0.0,102,3.841393
0.0,1000,4.075337
0.0,58,4.088788
0.0,247,4.145691
0.0,42,4.155333
0.0,722,4.324371
0.0,641,4.475671
0.0,179,4.517139
0.0,251,4.576663
0.0,320,4.651175
0.0,134,4.683097
0.0,251,4.742515
0.0,92,4.763939
0.0,127,4.793984
0.0,555,4.924519
0.0,197,4.971114
0.0,482,5.083699
0.0,1000,5.320964
0.0,171,5.360825
0.0,79,5.379921
0.0,116,5.407524
0.0,12,5.410342
0.0,128,5.440252
0.0,503,5.558887
0.0,46,5.56958
0.0,1000,5.806824
0.0,322,5.882955
0.0,982,6.115274
0.0,232,6.169533
0.0,1000,6.407535
0.0,56,6.420315
0.0,15,6.423774
0.0,1000,6.659191
0.0,376,6.746926
0.0,1000,6.983988
0.0,10,6.986337
0.0,1000,7.22217
0.0,617,7.369011
0.0,163,7.406896
0.0,115,7.433418
0.0,24,7.439074
0.0,420,7.539029
0.0,1000,7.778111
0.0,107,7.803937
0.0,593,7.943043
0.0,731,8.117121
0.0,79,8.135688
0.0,189,8.180783
0.0,153,8.216586
0.0,769,8.399225
0.0,475,8.512488
0.0,740,8.6862
0.0,332,8.764662
0.0,666,8.922171
0.0,1000,9.156791
0.0,52,9.169179
0.0,212,9.219176
0.0,291,9.286995
0.0,1000,9.523137
0.0,365,9.609142
0.0,52,9.621708
0.0,378,9.711489
0.0,826,9.906932
0.0,39,9.916061
0.0,1000,10.152224
0.0,649,10.304651
0.0,491,10.420679
0.0,219,10.471745
0.0,146,10.505999
0.0,18,10.510095
0.0,505,10.629514
0.0,456,10.736148
0.0,297,10.807453
0.0,108,10.833724
0.0,1000,11.070986
0.0,637,11.219652
1.0,651,11.374208
0.0,659,11.529505
0.0,680,11.688862
0.0,93,11.710805
0.0,83,11.730505
0.0,329,11.80948
0.0,26,11.815674
0.0,68,11.831576
0.0,549,11.959672
0.0,1000,12.19715
0.0,759,12.377405
0.0,104,12.401615
0.0,798,12.589844
0.0,762,12.770036
