# {"t_start": 1641542448.1618805, "env_id": "Office-v0"} 
r,l,t
0.0,96,0.027488
0.0,70,0.045556
0.0,52,0.058682
0.5,152,0.096576
0.0,46,0.108832
0.0,33,0.117152
0.0,92,0.140363
0.0,86,0.162182
0.0,218,0.217533
0.0,28,0.2248
0.0,326,0.308992
0.0,257,0.37516
0.0,152,0.413673
0.0,117,0.443196
0.0,356,0.534361
0.0,40,0.544727
1.0,347,0.633076
0.0,283,0.704695
0.0,105,0.731615
0.5,59,0.746499
0.0,191,0.79577
0.0,149,0.834216
0.0,325,0.91668
0.0,244,0.97894
0.0,294,1.054721
0.0,292,1.129361
0.0,159,1.169546
1.0,677,1.343282
1.0,177,1.388577
1.0,777,1.587214
0.0,267,1.654877
0.5,103,1.680894
0.0,656,1.849078
0.0,618,2.008023
0.0,431,2.120305
0.0,90,2.143592
1.0,307,2.223466
1.0,877,2.45063
0.0,195,2.500796
0.5,28,2.508006
1.0,151,2.54739
0.0,394,2.649925
1.0,513,2.783107
0.0,1000,3.042568
0.0,87,3.065401
0.0,1000,3.326406
0.0,746,3.519382
0.5,44,3.530781
1.0,368,3.626729
0.0,14,3.630362
1.0,580,3.780504
0.0,18,3.785198
0.0,59,3.800459
0.0,56,3.814997
1.0,647,3.983579
0.0,20,3.988807
0.0,821,4.202755
0.0,441,4.317301
0.0,473,4.440804
0.5,176,4.486604
1.0,286,4.560993
1.0,550,4.705235
0.0,413,4.812402
0.5,93,4.836516
1.0,220,4.893679
0.0,505,5.025435
0.0,193,5.075881
0.5,78,5.096135
0.0,270,5.166178
0.0,147,5.204909
1.0,623,5.367936
0.5,63,5.384284
1.0,108,5.413002
1.0,411,5.520443
0.0,223,5.578788
0.5,82,5.60018
1.0,154,5.640038
1.0,270,5.710933
0.0,692,5.891325
0.5,9,5.893691
1.0,54,5.907614
1.0,369,6.004121
0.0,240,6.066638
0.5,53,6.080415
1.0,35,6.089463
0.0,724,6.278914
0.0,404,6.384057
0.5,9,6.386438
1.0,92,6.410389
1.0,505,6.544057
0.0,232,6.60504
0.5,17,6.609591
1.0,160,6.651349
1.0,933,6.897147
0.0,7,6.899019
0.5,13,6.902435
1.0,147,6.940897
0.0,483,7.068454
1.0,299,7.146351
0.5,15,7.150283
1.0,57,7.165253
0.0,403,7.271129
0.0,435,7.385471
0.5,7,7.387327
1.0,113,7.41685
0.0,185,7.465104
1.0,296,7.543011
0.5,17,7.547539
0.0,3,7.548387
1.0,356,7.642402
0.0,50,7.655384
0.5,9,7.65773
1.0,60,7.673514
0.0,40,7.683895
0.0,96,7.708827
0.5,24,7.715504
1.0,35,7.724598
1.0,995,7.98372
1.0,594,8.138737
0.5,7,8.140584
1.0,91,8.16415
1.0,663,8.336913
0.0,71,8.355783
0.5,62,8.371744
1.0,141,8.408139
0.0,9,8.410494
0.0,490,8.537091
0.5,11,8.539961
1.0,24,8.54649
0.0,165,8.590005
1.0,424,8.699914
0.5,18,8.704711
1.0,59,8.720442
0.0,311,8.800886
0.0,386,8.901772
0.5,52,8.915351
1.0,84,8.937059
1.0,432,9.049132
0.0,307,9.129354
0.5,7,9.131188
0.0,24,9.137477
1.0,439,9.252043
1.0,499,9.381638
0.5,11,9.384582
1.0,67,9.402158
1.0,167,9.445514
0.0,105,9.472833
0.5,7,9.474665
1.0,19,9.479626
0.0,68,9.49713
0.0,1000,9.7582
