episodes,steps,total reward
11,1000,0.5
16,2000,0.0
23,3000,2.0
27,4000,1.5
33,5000,2.0
35,6000,0.0
38,7000,1.5
41,8000,1.0
42,9000,0.0
46,10000,1.5
51,11000,0.5
53,12000,1.0
56,13000,2.0
57,14000,0.0
59,15000,1.0
60,16000,0.0
61,17000,1.0
66,18000,1.0
70,19000,2.0
74,20000,2.5
78,21000,1.0
80,22000,1.0
81,23000,1.0
86,24000,2.0
88,25000,0.0
90,26000,2.0
93,27000,1.0
94,28000,1.0
98,29000,3.5
104,30000,3.0
113,31000,3.0
118,32000,1.5
126,33000,5.0
130,34000,2.5
137,35000,3.0
141,36000,2.5
146,37000,2.5
152,38000,3.0
154,39000,2.0
168,40000,6.0
177,41000,4.0
178,42000,1.0
185,43000,6.0
197,44000,5.5
205,45000,5.0
210,46000,3.5
214,47000,1.5
221,48000,5.0
225,49000,3.5
233,50000,5.0
234,51000,1.0
246,52000,5.5
254,53000,4.0
262,54000,7.0
273,55000,4.5
278,56000,2.5
285,57000,3.0
293,58000,6.0
304,59000,7.5
314,60000,7.0
326,61000,7.5
338,62000,7.5
346,63000,7.0
350,64000,2.5
361,65000,9.5
374,66000,9.5
381,67000,3.0
394,68000,7.5
406,69000,8.5
418,70000,7.5
430,71000,6.5
449,72000,13.5
465,73000,11.0
482,74000,13.0
490,75000,6.0
506,76000,12.0
525,77000,15.5
534,78000,7.0
554,79000,14.5
564,80000,8.5
586,81000,19.5
600,82000,10.0
614,83000,11.5
638,84000,18.0
666,85000,24.5
682,86000,13.0
705,87000,19.0
726,88000,16.5
752,89000,21.0
770,90000,14.0
802,91000,25.0
839,92000,31.5
880,93000,27.5
917,94000,29.5
957,95000,28.0
993,96000,31.5
1022,97000,25.5
1053,98000,25.0
1093,99000,30.0
1129,100000,28.5
