# {"t_start": 1641565761.8676405, "env_id": "Office-single-v0"} 
r,l,t
0.0,8,0.002357
0.0,85,0.023571
0.0,236,0.078754
0.0,66,0.09449
0.0,7,0.096227
0.0,37,0.105069
0.0,91,0.126653
0.0,117,0.153734
0.0,83,0.173034
0.0,127,0.203871
0.0,101,0.229069
0.0,124,0.258145
0.0,305,0.330421
0.0,81,0.349095
0.0,350,0.430011
0.0,140,0.462509
0.0,291,0.531406
0.0,121,0.559287
0.0,216,0.609114
0.0,100,0.632199
0.0,168,0.671204
0.0,79,0.689509
0.0,653,0.844275
0.0,368,0.929966
0.0,351,1.012834
0.0,309,1.085542
0.0,267,1.148382
0.0,202,1.195843
0.0,193,1.241905
0.0,134,1.273092
0.0,148,1.307625
0.0,61,1.322058
0.0,55,1.334861
0.0,292,1.402709
0.0,1000,1.635479
0.0,383,1.727368
0.0,229,1.781265
0.0,60,1.795349
0.0,279,1.860837
0.0,402,1.956793
0.0,454,2.063338
0.0,1000,2.30057
0.0,993,2.536697
0.0,707,2.704744
0.0,1000,2.94158
0.0,378,3.030872
0.0,166,3.070223
0.0,282,3.137906
0.0,57,3.151445
0.0,54,3.164252
0.0,36,3.172744
0.0,5,3.173947
0.0,241,3.231263
0.0,3,3.231995
0.0,532,3.35863
0.0,445,3.463461
0.0,314,3.537357
0.0,169,3.578089
0.0,281,3.644199
0.0,187,3.688339
0.0,288,3.757239
0.0,43,3.767463
0.0,297,3.838751
0.0,555,3.969099
0.0,384,4.06084
0.0,442,4.1653
0.0,1000,4.402881
0.0,722,4.574806
0.0,207,4.623487
0.0,44,4.633922
0.0,580,4.771655
0.0,1000,5.008009
0.0,127,5.038389
0.0,1000,5.276584
0.0,19,5.281083
0.0,661,5.437519
0.0,386,5.530141
0.0,237,5.586481
0.0,342,5.667714
0.0,131,5.699238
0.0,109,5.726263
0.0,119,5.754886
0.0,1000,5.993854
0.0,441,6.098375
0.0,1000,6.336538
0.0,174,6.377601
0.0,83,6.397408
0.0,181,6.441018
0.0,1000,6.679442
0.0,582,6.818578
0.0,90,6.84011
0.0,97,6.863211
0.0,323,6.941313
0.0,1000,7.181726
0.0,1000,7.422785
0.0,269,7.487202
0.0,1000,7.726377
0.0,1000,7.964283
0.0,160,8.002441
0.0,935,8.224819
0.0,446,8.331916
0.0,383,8.422446
