episodes,steps,total reward
11,1000,0.0
17,2000,0.0
21,3000,0.0
24,4000,0.0
27,5000,0.0
30,6000,0.0
34,7000,0.0
36,8000,0.0
38,9000,0.0
39,10000,0.0
40,11000,0.0
41,12000,0.0
44,13000,0.0
45,14000,0.0
46,15000,0.0
48,16000,0.0
52,17000,0.0
56,18000,0.0
57,19000,0.0
58,20000,0.0
60,21000,0.0
63,22000,0.0
66,23000,0.0
69,24000,0.0
71,25000,0.0
73,26000,0.0
76,27000,0.0
77,28000,0.0
80,29000,0.0
81,30000,0.0
85,31000,0.0
86,32000,0.0
92,33000,0.0
94,34000,0.0
96,35000,0.0
99,36000,0.0
101,37000,0.0
104,38000,0.0
108,39000,0.0
109,40000,0.0
110,41000,0.0
115,42000,0.0
117,43000,0.0
118,44000,0.0
122,45000,0.0
126,46000,0.0
128,47000,0.0
129,48000,0.0
131,49000,0.0
133,50000,0.0
137,51000,0.0
138,52000,0.0
140,53000,0.0
142,54000,0.0
145,55000,0.0
146,56000,0.0
149,57000,0.0
151,58000,0.0
152,59000,0.0
155,60000,0.0
158,61000,0.0
160,62000,0.0
161,63000,0.0
164,64000,0.0
165,65000,0.0
169,66000,0.0
172,67000,0.0
175,68000,1.0
177,69000,0.0
178,70000,0.0
180,71000,0.0
181,72000,0.0
182,73000,0.0
184,74000,0.0
185,75000,0.0
188,76000,0.0
192,77000,0.0
193,78000,0.0
194,79000,0.0
198,80000,0.0
199,81000,0.0
200,82000,0.0
202,83000,0.0
203,84000,0.0
205,85000,0.0
206,86000,0.0
209,87000,0.0
213,88000,0.0
215,89000,0.0
217,90000,0.0
218,91000,0.0
219,92000,0.0
221,93000,0.0
222,94000,0.0
226,95000,1.0
227,96000,1.0
229,97000,0.0
231,98000,0.0
232,99000,0.0
237,100000,0.0
