# {"t_start": 1641118332.3912337, "env_id": "Office-single-v0"} 
r,l,t
0.0,29,0.003866
0.0,49,0.009985
0.0,55,0.016868
0.0,11,0.018206
0.0,20,0.020767
0.0,16,0.022902
0.0,33,0.028019
0.0,56,0.035868
0.0,19,0.038138
0.0,62,0.045813
0.0,74,0.054594
0.0,13,0.056125
0.0,26,0.059201
0.0,23,0.061992
0.0,100,0.073712
0.0,35,0.077837
0.0,78,0.087193
0.0,44,0.09292
0.0,140,0.10921
0.0,59,0.116221
0.0,158,0.135234
0.0,95,0.146345
0.0,54,0.153052
0.0,162,0.172926
0.0,177,0.193978
0.0,51,0.200102
0.0,9,0.20115
0.0,128,0.216245
0.0,178,0.237665
0.0,124,0.25271
0.0,53,0.259564
0.0,223,0.286902
0.0,61,0.294234
0.0,161,0.313681
0.0,66,0.321799
1.0,281,0.355067
0.0,185,0.377002
0.0,2,0.37728
0.0,229,0.404993
0.0,1000,0.526252
0.0,4,0.526758
0.0,143,0.543925
0.0,38,0.548395
0.0,101,0.560171
0.0,342,0.600228
0.0,33,0.604153
0.0,42,0.60943
0.0,27,0.612569
0.0,15,0.614455
0.0,380,0.66048
0.0,89,0.671243
0.0,69,0.679285
0.0,51,0.685162
0.0,48,0.690804
0.0,90,0.701148
0.0,88,0.71166
0.0,7,0.712497
0.0,417,0.76256
0.0,58,0.769741
0.0,149,0.787308
0.0,171,0.80833
0.0,35,0.81238
0.0,505,0.873598
0.0,263,0.905514
0.0,448,0.958954
0.0,59,0.966019
0.0,13,0.967613
0.0,299,1.004039
0.0,54,1.010299
0.0,303,1.04673
0.0,85,1.056694
0.0,100,1.068966
0.0,59,1.075993
0.0,105,1.088471
0.0,385,1.134689
0.0,119,1.14899
0.0,21,1.151603
0.0,519,1.212424
0.0,108,1.225654
0.0,180,1.247289
0.0,259,1.277618
0.0,32,1.281315
0.0,46,1.28667
0.0,37,1.291028
0.0,125,1.305657
0.0,18,1.307781
0.0,27,1.311096
0.0,529,1.375788
0.0,49,1.381615
1.0,93,1.392863
0.0,27,1.396169
0.0,66,1.404025
0.0,6,1.404751
0.0,19,1.407116
0.0,32,1.410872
0.0,70,1.41954
0.0,182,1.441246
0.0,245,1.471032
0.0,102,1.483135
0.0,16,1.485038
0.0,140,1.502031
0.0,462,1.555984
0.0,210,1.581691
0.0,65,1.589293
0.0,35,1.593469
0.0,224,1.620583
0.0,412,1.670642
0.0,57,1.677508
0.0,31,1.681313
0.0,356,1.724641
0.0,179,1.745943
0.0,146,1.763074
0.0,43,1.768178
0.0,720,1.855302
0.0,38,1.859831
0.0,131,1.875557
0.0,314,1.912673
0.0,59,1.920144
0.0,132,1.936692
0.0,19,1.939318
1.0,71,1.947762
1.0,63,1.95524
0.0,186,1.97771
0.0,42,1.982682
0.0,4,1.983174
1.0,43,1.988196
0.0,37,1.99256
0.0,448,2.045167
0.0,486,2.103766
0.0,47,2.109435
0.0,15,2.111282
0.0,69,2.119553
0.0,42,2.124556
1.0,32,2.128339
0.0,126,2.143546
0.0,5,2.144144
1.0,54,2.15071
0.0,144,2.168266
1.0,55,2.174839
1.0,238,2.203986
0.0,37,2.20871
0.0,229,2.23603
0.0,345,2.277292
0.0,53,2.283645
0.0,22,2.286481
0.0,4,2.287065
0.0,277,2.321057
0.0,296,2.356833
0.0,29,2.360312
0.0,123,2.374494
0.0,91,2.384917
0.0,45,2.390446
0.0,605,2.464258
0.0,227,2.491291
0.0,88,2.501517
0.0,47,2.507096
1.0,47,2.51258
0.0,40,2.517231
1.0,46,2.522588
0.0,445,2.576235
0.0,9,2.577317
0.0,754,2.667005
0.0,13,2.668628
1.0,42,2.674008
0.0,308,2.711009
0.0,58,2.717718
1.0,34,2.721716
1.0,41,2.726599
0.0,260,2.756844
1.0,34,2.760839
0.0,92,2.772007
1.0,37,2.776573
0.0,46,2.782529
0.0,312,2.82028
1.0,38,2.825024
0.0,45,2.8303
0.0,63,2.83832
1.0,34,2.842306
0.0,93,2.853649
1.0,28,2.857705
1.0,52,2.864101
0.0,16,2.866017
0.0,23,2.868716
1.0,29,2.872278
0.0,16,2.874238
1.0,29,2.877772
