# {"t_start": 1641576718.8586752, "env_id": "Office-v0"} 
r,l,t
0.0,83,0.02862
0.0,190,0.091424
0.0,14,0.09609
0.0,3,0.097121
0.0,69,0.119689
0.0,105,0.153851
0.0,45,0.168555
0.0,65,0.189516
0.0,98,0.221133
0.0,18,0.226877
0.0,99,0.259059
0.0,121,0.299041
0.0,170,0.355017
0.0,95,0.386135
0.0,240,0.464195
0.0,333,0.572382
1.0,54,0.589975
0.0,153,0.639595
0.0,205,0.706512
0.0,137,0.751427
0.0,107,0.786136
0.0,417,0.921329
0.0,444,1.065735
0.0,275,1.155216
1.0,289,1.24852
0.0,413,1.384391
0.0,49,1.400251
0.0,294,1.495577
0.0,63,1.515978
0.0,85,1.543876
0.0,594,1.737455
0.0,438,1.88014
0.0,185,1.940385
0.0,553,2.120142
0.0,122,2.159684
0.0,180,2.217841
0.0,805,2.480479
0.0,1000,2.812601
0.0,1000,3.144939
0.0,540,3.325253
1.0,189,3.387884
1.0,597,3.586463
0.0,124,3.62812
0.0,425,3.769616
0.0,172,3.827073
0.0,836,4.106174
0.0,185,4.167471
0.0,1000,4.50108
0.0,127,4.543343
0.0,341,4.657784
0.0,34,4.669177
0.0,20,4.675821
1.0,72,4.699712
0.0,136,4.744824
1.0,996,5.077684
0.0,12,5.081681
1.0,172,5.13861
0.0,126,5.180294
0.0,1000,5.515227
0.0,375,5.64106
0.0,128,5.683814
0.0,523,5.857538
0.0,61,5.877747
0.0,680,6.104714
1.0,197,6.170744
0.0,548,6.354366
0.0,67,6.376662
0.0,236,6.455156
1.0,154,6.506051
0.0,35,6.517803
0.0,76,6.542878
0.0,167,6.598715
1.0,110,6.635928
0.0,207,6.705113
1.0,617,6.911582
0.0,164,6.966399
1.0,225,7.041491
0.0,508,7.210042
0.0,105,7.244958
0.0,147,7.294124
1.0,99,7.327935
0.0,416,7.46659
0.0,891,7.763338
1.0,515,7.934273
1.0,53,7.952501
0.0,114,7.990959
0.0,29,8.000663
0.0,121,8.040916
1.0,34,8.052454
0.0,378,8.177994
0.0,54,8.196
0.0,1000,8.530219
1.0,103,8.565261
1.0,573,8.756639
0.0,1000,9.091141
0.0,401,9.224748
1.0,76,9.250664
0.0,63,9.271563
0.0,87,9.30118
0.0,1000,9.636434
1.0,70,9.660245
0.0,350,9.77758
1.0,746,10.029226
0.0,83,10.057335
1.0,97,10.089997
0.0,311,10.194212
0.0,77,10.21993
0.0,323,10.33005
1.0,53,10.347821
0.0,75,10.373199
1.0,607,10.576089
0.0,1000,10.911582
0.0,34,10.922972
0.0,423,11.065785
0.0,269,11.155225
0.0,510,11.326356
1.0,122,11.367603
1.0,552,11.553187
0.0,271,11.644256
0.0,220,11.718653
1.0,63,11.739691
0.0,216,11.811641
0.0,33,11.823008
0.0,863,12.112691
1.0,32,12.123503
0.0,474,12.282516
1.0,550,12.467417
0.0,109,12.503689
1.0,114,12.541561
0.0,31,12.552194
0.0,105,12.58732
0.0,33,12.598266
1.0,36,12.61021
1.0,471,12.768952
0.0,260,12.856049
0.0,289,12.952561
1.0,39,12.965521
0.0,336,13.079855
1.0,260,13.16627
0.0,1000,13.50136
1.0,69,13.524365
1.0,388,13.654257
0.0,360,13.775539
0.0,17,13.781251
1.0,49,13.797482
1.0,263,13.885161
0.0,47,13.900946
0.0,335,14.013659
1.0,24,14.021652
0.0,82,14.049862
0.0,530,14.226306
0.0,200,14.293073
1.0,18,14.299087
0.0,66,14.321828
1.0,986,14.652193
0.0,217,14.725683
0.0,18,14.731734
0.0,82,14.758955
1.0,594,14.957335
0.0,339,15.071732
1.0,23,15.079333
1.0,234,15.157253
0.0,309,15.260951
0.0,1000,15.596033
1.0,21,15.603097
0.0,224,15.678439
1.0,321,15.786763
0.0,87,15.816086
1.0,18,15.82252
0.0,167,15.878459
1.0,402,16.012821
0.0,1000,16.349277
1.0,20,16.356018
0.0,91,16.38668
0.0,72,16.411133
0.0,229,16.487183
0.0,3,16.488231
1.0,402,16.622588
1.0,449,16.773239
0.0,43,16.787568
1.0,22,16.794895
1.0,191,16.859168
0.0,277,16.951646
0.0,129,16.995233
0.0,14,16.999946
0.0,254,17.086288
1.0,180,17.14626
0.0,840,17.428347
1.0,24,17.436379
0.0,138,17.482391
1.0,112,17.519841
0.0,37,17.532302
1.0,18,17.538331
0.0,115,17.577542
1.0,190,17.641176
0.0,1000,17.977503
1.0,20,17.9844
1.0,235,18.064441
0.0,91,18.094832
0.0,536,18.274056
0.0,14,18.278811
1.0,148,18.328633
0.0,212,18.40076
0.0,1000,18.735519
1.0,20,18.742263
0.0,38,18.754877
0.0,46,18.770728
0.0,222,18.845083
1.0,20,18.851751
1.0,170,18.908408
0.0,29,18.918036
0.0,323,19.025663
1.0,26,19.034727
0.0,49,19.051513
0.0,19,19.058111
0.0,92,19.08905
1.0,19,19.095381
1.0,88,19.124614
0.0,82,19.151961
0.0,1000,19.486387
1.0,23,19.494213
1.0,153,19.545129
1.0,204,19.613342
0.0,24,19.621322
1.0,20,19.627993
1.0,153,19.679372
0.0,465,19.835942
0.0,481,19.995774
0.0,13,20.00013
0.0,78,20.026296
0.0,66,20.048997
1.0,163,20.104018
1.0,19,20.110338
1.0,166,20.166042
1.0,375,20.292209
0.0,236,20.371613
0.0,12,20.375749
0.0,114,20.414486
0.0,52,20.431836
0.0,275,20.523602
1.0,24,20.531601
1.0,113,20.569822
0.0,529,20.747274
0.0,311,20.851828
1.0,18,20.857918
1.0,75,20.882897
0.0,59,20.902568
0.0,554,21.087871
