episodes,steps,total reward
19,1000,0.0
28,2000,0.0
36,3000,0.0
41,4000,0.0
48,5000,0.0
54,6000,0.0
65,7000,0.0
70,8000,0.0
72,9000,0.0
79,10000,0.0
81,11000,0.0
88,12000,0.0
93,13000,0.0
102,14000,0.0
106,15000,0.0
109,16000,0.0
120,17000,1.0
130,18000,1.0
138,19000,0.0
144,20000,1.0
153,21000,0.0
156,22000,0.0
161,23000,1.0
171,24000,3.0
178,25000,0.0
182,26000,1.0
188,27000,1.0
199,28000,3.0
210,29000,4.0
214,30000,0.0
225,31000,8.0
253,32000,21.0
279,33000,15.0
309,34000,24.0
338,35000,24.0
374,36000,24.0
407,37000,24.0
442,38000,20.0
475,39000,21.0
507,40000,25.0
542,41000,22.0
575,42000,24.0
607,43000,26.0
641,44000,23.0
677,45000,22.0
711,46000,22.0
747,47000,23.0
776,48000,27.0
810,49000,22.0
843,50000,21.0
875,51000,26.0
908,52000,21.0
944,53000,23.0
978,54000,20.0
1010,55000,22.0
1044,56000,23.0
1075,57000,25.0
1111,58000,24.0
1144,59000,23.0
1179,60000,22.0
1212,61000,25.0
1244,62000,23.0
1276,63000,23.0
1308,64000,23.0
1344,65000,22.0
1378,66000,22.0
1411,67000,21.0
1447,68000,22.0
1475,69000,25.0
1507,70000,23.0
1541,71000,22.0
1576,72000,22.0
1610,73000,19.0
1647,74000,23.0
1678,75000,25.0
1710,76000,25.0
1744,77000,22.0
1777,78000,22.0
1810,79000,22.0
1844,80000,23.0
1875,81000,23.0
1910,82000,22.0
1941,83000,23.0
1976,84000,21.0
2008,85000,22.0
2038,86000,23.0
2071,87000,21.0
2105,88000,21.0
2137,89000,21.0
2169,90000,22.0
2203,91000,22.0
2236,92000,24.0
2268,93000,23.0
2301,94000,20.0
2334,95000,24.0
2369,96000,20.0
2401,97000,26.0
2437,98000,23.0
2468,99000,24.0
2500,100000,20.0
