# {"t_start": 1642137208.7170558, "env_id": "Office-single-v0"} 
r,l,t
0.0,3,0.001041
0.0,33,0.011003
0.0,82,0.033361
0.0,107,0.062849
0.0,133,0.099515
0.0,142,0.139128
0.0,24,0.1459
0.0,250,0.21516
0.0,94,0.241355
0.0,100,0.269032
0.0,355,0.367795
0.0,51,0.3823
0.0,172,0.429476
0.0,17,0.434224
0.0,249,0.503331
0.0,18,0.508381
0.0,294,0.589995
0.0,93,0.615918
0.0,249,0.685096
0.0,437,0.806307
0.0,309,0.892659
0.0,337,0.986402
0.0,278,1.063101
0.0,384,1.170003
0.0,554,1.323891
0.0,98,1.351061
0.0,74,1.371071
0.0,607,1.540269
0.0,559,1.695671
0.0,1000,1.973417
0.0,815,2.199393
0.0,52,2.214043
0.0,1000,2.491602
0.0,618,2.663658
0.0,259,2.735687
0.0,409,2.85029
0.0,59,2.866663
0.0,445,2.990828
0.0,1000,3.269592
0.0,282,3.347301
0.0,303,3.431643
0.0,1000,3.709587
0.0,30,3.718032
0.0,886,3.96426
0.0,86,3.988256
0.0,390,4.095786
0.0,102,4.12436
0.0,157,4.168239
0.0,229,4.232177
0.0,651,4.412686
0.0,241,4.479128
0.0,37,4.489465
0.0,553,4.64282
0.0,1000,4.920739
0.0,600,5.087192
0.0,384,5.193721
0.0,246,5.262073
0.0,324,5.352432
0.0,621,5.52702
0.0,600,5.697389
0.0,1000,5.977851
0.0,53,5.99297
0.0,289,6.07404
0.0,62,6.091343
0.0,300,6.175742
0.0,1000,6.45577
0.0,556,6.612054
0.0,731,6.815423
0.0,63,6.833006
0.0,88,6.857377
0.0,1000,7.135934
0.0,14,7.139871
0.0,730,7.343506
0.0,1000,7.622683
0.0,232,7.687459
0.0,1000,7.965462
0.0,854,8.201967
0.0,304,8.286541
0.0,69,8.305592
0.0,687,8.498327
0.0,244,8.567416
0.0,1000,8.844861
0.0,256,8.916211
0.0,26,8.923619
0.0,21,8.929392
0.0,496,9.067048
0.0,55,9.082288
0.0,137,9.120425
0.0,234,9.185479
0.0,909,9.437321
0.0,194,9.490937
0.0,137,9.529128
0.0,73,9.549392
0.0,316,9.637626
0.0,533,9.785703
0.0,894,10.03378
0.0,588,10.197131
0.0,258,10.268779
0.0,1000,10.547346
0.0,1000,10.826339
0.0,412,10.941099
0.0,124,10.975791
0.0,13,10.979427
0.0,798,11.203066
0.0,173,11.251274
0.0,117,11.283837
0.0,22,11.289951
0.0,1000,11.567836
0.0,77,11.589227
0.0,569,11.748112
0.0,1000,12.027166
0.0,357,12.126479
0.0,15,12.130953
0.0,1000,12.410043
0.0,625,12.58377
0.0,1000,12.861955
0.0,533,13.010752
0.0,830,13.242352
0.0,587,13.40596
0.0,1000,13.684536
0.0,356,13.783241
0.0,589,13.948617
0.0,88,13.973573
0.0,215,14.033816
0.0,818,14.262382
0.0,11,14.265525
0.0,480,14.399115
0.0,54,14.414256
0.0,397,14.524331
0.0,79,14.54647
0.0,339,14.640747
0.0,147,14.681613
1.0,120,14.714993
0.0,22,14.721104
0.0,711,14.919709
0.0,465,15.048474
0.0,267,15.122585
0.0,1000,15.401154
0.0,233,15.465612
0.0,526,15.611418
0.0,34,15.62111
0.0,573,15.780783
0.0,22,15.786978
0.0,776,16.003649
0.0,126,16.038706
0.0,22,16.044839
0.0,762,16.257396
0.0,20,16.263262
