# {"t_start": 1642174106.3500144, "env_id": "Office-v0"} 
r,l,t
0.0,37,0.01866
0.0,34,0.035445
0.0,94,0.080574
0.0,171,0.164338
0.0,26,0.177056
0.0,52,0.202648
0.0,120,0.2614
0.0,68,0.294832
0.0,144,0.365231
0.0,148,0.437531
0.0,330,0.599099
0.0,126,0.660105
0.0,138,0.727932
0.0,240,0.845392
0.0,106,0.897551
0.0,333,1.061838
0.0,292,1.204588
0.0,156,1.281816
0.0,416,1.487138
0.0,485,1.726617
0.0,276,1.862097
0.0,232,1.976419
0.0,282,2.116452
0.0,680,2.451
0.0,24,2.463094
0.0,55,2.490306
0.0,192,2.585431
0.0,392,2.7758
1.0,277,2.912022
0.0,217,3.01854
0.0,617,3.322998
0.0,206,3.42332
0.0,1000,3.908808
0.0,115,3.965419
0.0,628,4.275508
0.0,291,4.419646
1.0,611,4.723386
1.0,469,4.955924
0.0,1000,5.455779
0.0,20,5.466039
0.0,116,5.524016
0.0,990,6.016259
0.0,1000,6.511073
0.0,1000,7.006723
1.0,310,7.160089
0.0,42,7.181023
0.0,19,7.190628
0.0,1000,7.682854
1.0,68,7.716562
0.0,724,8.074903
0.0,127,8.137768
0.0,97,8.186342
0.0,95,8.233345
0.0,731,8.594079
0.0,172,8.678962
0.0,382,8.868574
0.0,517,9.124501
0.0,383,9.313747
0.0,673,9.646587
0.0,181,9.735757
0.0,387,9.929685
0.0,20,9.939684
0.0,157,10.018342
0.0,100,10.068021
0.0,637,10.384237
0.0,101,10.433464
0.0,1000,10.928186
0.0,482,11.168143
0.0,1000,11.66304
0.0,572,11.947315
0.0,99,11.996743
0.0,539,12.262196
0.0,942,12.729173
0.0,631,13.041757
0.0,424,13.250839
0.0,786,13.639152
0.0,1000,14.134694
0.0,688,14.474275
0.0,478,14.710742
0.0,350,14.88414
0.0,173,14.969952
0.0,28,14.984129
0.0,81,15.024001
0.0,1000,15.518901
0.0,957,15.993808
0.0,1000,16.487929
0.0,496,16.735134
0.0,140,16.804679
0.0,604,17.104349
0.0,139,17.173313
0.0,127,17.236343
0.0,174,17.322653
0.0,50,17.347458
0.0,79,17.386662
0.0,669,17.7195
0.0,149,17.793547
0.0,193,17.889678
0.0,512,18.141843
0.0,1000,18.637535
0.0,433,18.85131
0.0,1000,19.347364
0.0,322,19.507905
0.0,1000,20.00469
0.0,1000,20.499473
0.0,5,20.501998
0.0,343,20.671887
0.0,508,20.924253
0.0,287,21.06592
0.0,1000,21.560253
0.0,188,21.653133
0.0,380,21.841725
0.0,30,21.856669
0.0,754,22.229911
0.0,219,22.338472
0.0,98,22.387116
0.0,302,22.535794
0.0,346,22.706677
0.0,145,22.778211
0.0,64,22.810145
0.0,128,22.873785
0.0,10,22.878718
0.0,94,22.925128
0.0,649,23.244678
0.0,294,23.390018
0.0,105,23.442326
0.0,73,23.478574
0.0,672,23.812628
0.0,621,24.121332
0.0,139,24.190215
0.0,7,24.193723
0.0,322,24.353601
0.0,620,24.660916
0.0,202,24.761641
0.0,60,24.791922
0.0,158,24.870926
0.0,667,25.202473
0.0,209,25.306046
0.0,3,25.307575
0.0,531,25.571952
0.0,53,25.598489
0.0,16,25.606429
0.0,150,25.680829
0.0,453,25.905211
0.0,32,25.921228
0.0,128,25.985151
0.0,290,26.12851
0.0,248,26.250995
0.0,36,26.268904
0.0,218,26.376732
0.0,477,26.613761
0.0,26,26.626745
0.0,1000,27.124229
1.0,606,27.424601
0.0,28,27.438672
0.0,1000,27.935341
0.0,192,28.031545
0.0,569,28.312741
1.0,837,28.72897
0.0,778,29.113445
0.0,493,29.356908
0.0,382,29.54675
0.0,187,29.639013
1.0,897,30.083344
0.0,161,30.164389
