episodes,steps,total reward
19,1000,0.0
28,2000,0.0
33,3000,0.0
35,4000,0.0
40,5000,0.0
52,6000,0.0
61,7000,0.0
71,8000,0.0
72,9000,0.0
80,10000,0.0
85,11000,0.0
92,12000,0.0
102,13000,0.0
111,14000,0.0
114,15000,0.0
123,16000,0.0
130,17000,0.0
133,18000,0.0
136,19000,0.0
139,20000,0.0
143,21000,0.0
151,22000,1.0
162,23000,4.0
173,24000,7.0
189,25000,4.0
204,26000,9.0
223,27000,10.0
244,28000,14.0
272,29000,15.0
301,30000,18.0
331,31000,19.0
355,32000,17.0
381,33000,19.0
407,34000,16.0
436,35000,18.0
459,36000,15.0
490,37000,19.0
522,38000,17.0
546,39000,21.0
579,40000,20.0
605,41000,20.0
635,42000,16.0
663,43000,19.0
692,44000,20.0
722,45000,20.0
750,46000,18.0
779,47000,20.0
807,48000,20.0
834,49000,19.0
860,50000,20.0
890,51000,19.0
918,52000,21.0
946,53000,20.0
973,54000,22.0
1002,55000,15.0
1033,56000,19.0
1064,57000,18.0
1090,58000,19.0
1121,59000,19.0
1149,60000,19.0
1179,61000,19.0
1206,62000,18.0
1235,63000,20.0
1267,64000,18.0
1294,65000,20.0
1324,66000,18.0
1353,67000,15.0
1381,68000,18.0
1411,69000,18.0
1440,70000,16.0
1469,71000,21.0
1495,72000,16.0
1527,73000,15.0
1553,74000,17.0
1586,75000,18.0
1615,76000,18.0
1642,77000,20.0
1670,78000,22.0
1697,79000,22.0
1723,80000,19.0
1751,81000,21.0
1779,82000,15.0
1808,83000,20.0
1834,84000,19.0
1863,85000,20.0
1891,86000,18.0
1920,87000,19.0
1950,88000,19.0
1980,89000,20.0
2011,90000,18.0
2039,91000,17.0
2066,92000,18.0
2093,93000,20.0
2123,94000,16.0
2151,95000,21.0
2178,96000,19.0
2208,97000,18.0
2233,98000,21.0
2266,99000,19.0
2294,100000,19.0
