episodes,steps,total reward
9,1000,0.0
17,2000,0.0
23,3000,0.0
27,4000,0.0
31,5000,0.0
33,6000,0.0
35,7000,0.0
38,8000,0.0
39,9000,0.0
40,10000,0.0
41,11000,0.0
45,12000,0.0
46,13000,0.0
47,14000,0.0
52,15000,0.0
55,16000,0.0
59,17000,0.0
63,18000,0.0
66,19000,0.0
69,20000,0.0
73,21000,0.0
76,22000,0.0
77,23000,0.0
79,24000,0.0
80,25000,0.0
81,26000,0.0
82,27000,0.0
85,28000,0.0
86,29000,0.0
87,30000,0.0
90,31000,0.0
95,32000,0.0
96,33000,0.0
99,34000,0.0
103,35000,0.0
107,36000,0.0
110,37000,0.0
115,38000,0.0
117,39000,0.0
119,40000,0.0
121,41000,0.0
123,42000,0.0
124,43000,0.0
125,44000,0.0
126,45000,0.0
127,46000,0.0
131,47000,0.0
132,48000,0.0
137,49000,0.0
138,50000,0.0
144,51000,0.0
146,52000,0.0
150,53000,0.0
152,54000,0.0
153,55000,0.0
158,56000,1.0
160,57000,0.0
162,58000,0.0
163,59000,0.0
167,60000,3.0
172,61000,2.0
176,62000,1.0
179,63000,1.0
183,64000,4.0
185,65000,1.0
189,66000,4.0
191,67000,0.0
193,68000,1.0
202,69000,4.0
204,70000,1.0
209,71000,3.0
224,72000,8.0
235,73000,8.0
250,74000,12.0
261,75000,9.0
263,76000,1.0
277,77000,12.0
292,78000,10.0
306,79000,11.0
319,80000,12.0
333,81000,11.0
347,82000,11.0
359,83000,10.0
369,84000,6.0
386,85000,11.0
401,86000,7.0
415,87000,11.0
429,88000,11.0
443,89000,11.0
457,90000,8.0
469,91000,11.0
482,92000,11.0
495,93000,10.0
508,94000,12.0
523,95000,12.0
537,96000,9.0
551,97000,12.0
564,98000,13.0
577,99000,11.0
589,100000,12.0
