episodes,steps,total reward
41,10000,3.0
69,20000,2.0
90,30000,1.0
111,40000,1.0
139,50000,1.0
167,60000,1.0
199,70000,10.0
239,80000,24.0
301,90000,48.0
394,100000,72.0
529,110000,120.0
739,120000,184.0
979,130000,201.0
1216,140000,197.0
1455,150000,205.0
1689,160000,206.0
1923,170000,211.0
2147,180000,198.0
2391,190000,202.0
2633,200000,207.0
2872,210000,208.0
3109,220000,208.0
3352,230000,206.0
3587,240000,209.0
3831,250000,208.0
4076,260000,211.0
4314,270000,208.0
4558,280000,211.0
4799,290000,213.0
5040,300000,207.0
5278,310000,209.0
5513,320000,207.0
5751,330000,212.0
5990,340000,207.0
6232,350000,204.0
6478,360000,207.0
6722,370000,207.0
6959,380000,211.0
7199,390000,212.0
7438,400000,205.0
7676,410000,208.0
7915,420000,207.0
8151,430000,209.0
8394,440000,210.0
8641,450000,201.0
8881,460000,213.0
9117,470000,213.0
9362,480000,208.0
9599,490000,212.0
9843,500000,209.0
10084,510000,214.0
10326,520000,208.0
10567,530000,214.0
10804,540000,208.0
11050,550000,204.0
11291,560000,202.0
11533,570000,210.0
11777,580000,210.0
12010,590000,214.0
12243,600000,208.0
12482,610000,196.0
12730,620000,209.0
12974,630000,209.0
13217,640000,206.0
13454,650000,212.0
13705,660000,212.0
13938,670000,214.0
14169,680000,210.0
14403,690000,210.0
14636,700000,206.0
14875,710000,210.0
15117,720000,206.0
15363,730000,206.0
15607,740000,211.0
15854,750000,208.0
16098,760000,207.0
16334,770000,211.0
16571,780000,203.0
16818,790000,209.0
17058,800000,212.0
17307,810000,207.0
17542,820000,211.0
17787,830000,201.0
18027,840000,207.0
18259,850000,208.0
18503,860000,214.0
18751,870000,209.0
18990,880000,209.0
19232,890000,212.0
19473,900000,210.0
19715,910000,208.0
19955,920000,208.0
20197,930000,205.0
20438,940000,203.0
20681,950000,204.0
20927,960000,207.0
21170,970000,211.0
21415,980000,210.0
21666,990000,208.0
21905,1000000,203.0
