# {"t_start": 1641589069.2295146, "env_id": "Office-single-v0"} 
r,l,t
0.0,119,0.032761
0.0,30,0.04084
0.0,36,0.050308
0.0,206,0.105281
0.0,95,0.1311
0.0,11,0.134108
0.0,118,0.165421
0.0,89,0.189612
0.0,32,0.198321
0.0,87,0.221586
0.0,132,0.256961
0.0,438,0.376235
0.0,115,0.407077
0.0,115,0.438195
0.0,520,0.578858
0.0,145,0.61803
0.0,257,0.687159
0.0,96,0.713171
0.0,87,0.736729
0.0,287,0.814265
0.0,247,0.882093
0.0,32,0.890784
0.0,61,0.907485
0.0,235,0.970697
0.0,292,1.049409
0.0,510,1.189177
0.0,133,1.224979
0.0,280,1.300371
0.0,819,1.522447
0.0,337,1.613788
0.0,295,1.694946
0.0,143,1.733386
0.0,268,1.805838
0.0,77,1.826572
0.0,13,1.830201
0.0,78,1.851157
0.0,1000,2.122963
0.0,454,2.24688
0.0,881,2.485438
0.0,130,2.520606
0.0,1000,2.791132
0.0,690,2.974679
0.0,369,3.075177
0.0,621,3.242655
0.0,14,3.246555
0.0,1000,3.517567
0.0,116,3.549571
0.0,234,3.612957
0.0,792,3.827106
0.0,221,3.886789
0.0,314,3.971258
0.0,277,4.045812
0.0,94,4.071646
0.0,128,4.106903
0.0,1000,4.377878
0.0,511,4.517468
0.0,62,4.534592
0.0,347,4.629722
0.0,338,4.721342
0.0,187,4.772007
0.0,772,4.983962
0.0,331,5.073899
0.0,210,5.130377
0.0,336,5.222214
0.0,454,5.344219
0.0,911,5.591827
0.0,1000,5.862398
0.0,52,5.876502
0.0,67,5.894522
0.0,156,5.936558
0.0,59,5.952456
0.0,1000,6.22415
0.0,310,6.309099
0.0,921,6.55863
0.0,26,6.565714
0.0,184,6.615951
0.0,239,6.680126
0.0,332,6.770126
0.0,199,6.825411
0.0,171,6.871438
0.0,26,6.878642
0.0,351,6.973025
0.0,1000,7.243647
0.0,496,7.380109
0.0,919,7.62951
0.0,768,7.836948
0.0,1000,8.107729
0.0,138,8.145519
0.0,378,8.248599
0.0,1000,8.519392
0.0,60,8.535551
0.0,11,8.538633
0.0,81,8.560387
0.0,861,8.79318
0.0,182,8.843004
0.0,81,8.864658
0.0,209,8.920814
0.0,1000,9.192299
0.0,763,9.399557
0.0,132,9.435909
0.0,68,9.454349
0.0,194,9.506968
0.0,138,9.54499
0.0,18,9.549823
0.0,354,9.644809
0.0,147,9.684357
0.0,9,9.686772
0.0,94,9.712089
0.0,333,9.803505
0.0,360,9.900233
0.0,133,9.936041
0.0,388,10.041386
0.0,493,10.17512
0.0,439,10.293555
0.0,452,10.416539
0.0,772,10.625556
0.0,279,10.701364
0.0,1000,10.973346
0.0,346,11.066519
0.0,177,11.114274
0.0,1000,11.384845
0.0,79,11.406672
0.0,294,11.486681
0.0,936,11.740215
0.0,1000,12.012875
0.0,723,12.208463
0.0,17,12.213593
0.0,697,12.401847
0.0,138,12.439828
0.0,824,12.663072
0.0,26,12.670078
0.0,36,12.67977
0.0,617,12.847541
0.0,429,12.963186
0.0,264,13.035353
0.0,38,13.045899
0.0,117,13.077858
0.0,99,13.104625
0.0,774,13.31459
0.0,90,13.339422
0.0,700,13.527987
0.0,48,13.541069
0.0,502,13.6784
0.0,36,13.68815
1.0,590,13.848148
0.0,68,13.866967
0.0,270,13.939803
0.0,652,14.116724
0.0,583,14.275176
1.0,159,14.317973
0.0,179,14.36621
0.0,589,14.526253
1.0,248,14.593075
0.0,1000,14.864757
0.0,975,15.128644
0.0,959,15.388058
0.0,301,15.470052
0.0,65,15.488007
0.0,24,15.494712
1.0,566,15.646575
0.0,547,15.795231
0.0,106,15.823805
0.0,188,15.87454
0.0,451,15.995834
0.0,743,16.197068
1.0,83,16.219575
0.0,864,16.452725
1.0,106,16.481381
0.0,249,16.549295
0.0,946,16.805591
0.0,13,16.809461
0.0,309,16.893795
0.0,66,16.91158
1.0,130,16.946756
1.0,96,16.972607
0.0,803,17.190418
0.0,62,17.207163
1.0,725,17.403928
0.0,215,17.461879
1.0,79,17.483244
1.0,111,17.513154
1.0,160,17.556499
0.0,52,17.57053
0.0,490,17.703272
1.0,119,17.736069
0.0,18,17.740864
1.0,104,17.768902
1.0,492,17.902512
1.0,107,17.932036
1.0,117,17.963688
1.0,92,17.988628
1.0,85,18.011435
1.0,104,18.039581
0.0,385,18.14343
0.0,766,18.351112
1.0,86,18.374474
1.0,126,18.408572
1.0,98,18.435474
1.0,94,18.462134
1.0,608,18.626794
1.0,91,18.651323
1.0,469,18.779267
1.0,88,18.803199
1.0,85,18.826116
1.0,86,18.849276
1.0,101,18.876559
0.0,1000,19.147654
0.0,102,19.175297
1.0,89,19.199327
0.0,11,19.202273
0.0,57,19.217655
0.0,60,19.233799
0.0,392,19.340508
1.0,86,19.36376
1.0,85,19.386706
0.0,65,19.404218
1.0,80,19.425841
1.0,101,19.452988
1.0,80,19.474605
0.0,73,19.494365
1.0,84,19.516956
1.0,85,19.540593
1.0,79,19.562274
1.0,83,19.584692
1.0,71,19.603771
0.0,34,19.613012
1.0,74,19.632926
1.0,108,19.662432
1.0,518,19.802924
1.0,89,19.827354
0.0,24,19.83382
0.0,18,19.839021
0.0,22,19.845062
1.0,82,19.867251
1.0,80,19.888825
0.0,20,19.894197
1.0,75,19.91447
1.0,82,19.936641
1.0,80,19.958251
0.0,44,19.970056
1.0,86,19.993304
0.0,56,20.00832
1.0,77,20.029172
1.0,73,20.048862
1.0,75,20.069427
1.0,76,20.090353
1.0,83,20.112925
1.0,84,20.135786
1.0,89,20.159866
0.0,58,20.175442
1.0,89,20.199397
0.0,58,20.21508
0.0,77,20.235786
1.0,78,20.257219
0.0,7,20.259142
1.0,90,20.28339
0.0,11,20.286364
0.0,40,20.297126
0.0,814,20.541666
1.0,75,20.562498
1.0,83,20.585242
1.0,80,20.60744
0.0,467,20.736274
1.0,87,20.760186
1.0,81,20.782399
1.0,82,20.804991
1.0,82,20.827428
0.0,44,20.839473
1.0,77,20.860866
1.0,76,20.881703
0.0,42,20.893198
1.0,91,20.918583
1.0,84,20.942022
1.0,82,20.96451
0.0,56,20.979806
1.0,77,21.000854
