episodes,steps,total reward
10,1000,0.0
16,2000,0.0
21,3000,1.0
23,4000,0.0
26,5000,0.0
28,6000,0.0
31,7000,1.0
32,8000,0.0
33,9000,0.0
35,10000,0.0
36,11000,0.0
38,12000,0.0
42,13000,0.0
43,14000,0.0
45,15000,1.0
46,16000,0.0
53,17000,0.0
57,18000,0.0
58,19000,0.0
60,20000,0.0
62,21000,0.0
65,22000,0.0
67,23000,0.0
69,24000,0.0
72,25000,0.0
73,26000,0.0
78,27000,0.0
79,28000,0.0
80,29000,0.0
82,30000,0.0
83,31000,0.0
86,32000,0.0
87,33000,0.0
91,34000,0.0
94,35000,0.0
100,36000,0.0
102,37000,0.0
104,38000,0.0
109,39000,0.0
114,40000,0.0
115,41000,0.0
116,42000,0.0
118,43000,1.0
119,44000,0.0
120,45000,0.0
122,46000,1.0
124,47000,0.0
126,48000,0.0
128,49000,0.0
129,50000,0.0
133,51000,0.0
136,52000,0.0
137,53000,0.0
140,54000,0.0
143,55000,0.0
144,56000,0.0
148,57000,0.0
151,58000,1.0
152,59000,0.0
157,60000,2.0
158,61000,0.0
161,62000,0.0
162,63000,0.0
163,64000,1.0
167,65000,0.0
171,66000,1.0
173,67000,0.0
175,68000,1.0
177,69000,1.0
182,70000,2.0
185,71000,1.0
191,72000,2.0
193,73000,1.0
195,74000,2.0
198,75000,2.0
201,76000,2.0
206,77000,2.0
208,78000,2.0
213,79000,2.0
218,80000,4.0
222,81000,3.0
225,82000,2.0
231,83000,3.0
241,84000,5.0
246,85000,3.0
253,86000,6.0
258,87000,5.0
265,88000,4.0
271,89000,6.0
279,90000,6.0
285,91000,6.0
293,92000,6.0
301,93000,8.0
306,94000,3.0
318,95000,10.0
329,96000,9.0
338,97000,6.0
354,98000,11.0
364,99000,7.0
379,100000,12.0
