# {"t_start": 1641372695.4694922, "env_id": "Office-single-v0"} 
r,l,t
0.0,47,0.010441
0.0,14,0.013573
0.0,13,0.016519
0.0,8,0.01828
0.0,31,0.024978
0.0,35,0.032311
0.0,43,0.041769
0.0,21,0.046201
0.0,23,0.051143
0.0,48,0.061317
0.0,35,0.068746
0.0,38,0.077043
0.0,26,0.082645
0.0,62,0.095956
0.0,30,0.102278
0.0,57,0.114298
0.0,118,0.139321
0.0,30,0.145678
0.0,36,0.153329
0.0,96,0.173815
0.0,66,0.187968
0.0,207,0.232585
0.0,92,0.252571
0.0,92,0.272636
0.0,97,0.29299
0.0,21,0.297492
0.0,94,0.317398
0.0,145,0.348335
0.0,96,0.3688
0.0,2,0.369277
0.0,177,0.406726
0.0,98,0.427217
0.0,36,0.434974
0.0,2,0.435436
0.0,550,0.55311
0.0,62,0.566404
0.0,237,0.616802
0.0,824,0.793634
0.0,97,0.814523
0.0,540,0.93038
0.0,43,0.939464
0.0,351,1.013267
0.0,51,1.024188
0.0,4,1.025083
0.0,276,1.084008
0.0,14,1.087031
0.0,109,1.110411
0.0,8,1.11217
0.0,96,1.132202
0.0,522,1.243479
0.0,29,1.249708
0.0,23,1.254807
0.0,52,1.265678
0.0,113,1.289786
0.0,4,1.290721
0.0,18,1.294738
0.0,50,1.305271
0.0,88,1.324579
0.0,124,1.351015
0.0,7,1.352557
0.0,55,1.363981
0.0,34,1.371214
0.0,51,1.382048
0.0,174,1.419286
0.0,88,1.437992
0.0,31,1.444681
0.0,63,1.458031
0.0,92,1.47777
0.0,233,1.527784
0.0,231,1.577057
0.0,70,1.591918
0.0,193,1.63246
0.0,480,1.735471
0.0,201,1.77931
0.0,183,1.817935
0.0,92,1.837531
0.0,32,1.844275
0.0,10,1.846421
0.0,73,1.861773
0.0,59,1.874172
0.0,156,1.907134
0.0,192,1.948396
0.0,327,2.018404
0.0,99,2.039424
0.0,64,2.053113
0.0,289,2.114601
0.0,373,2.196238
0.0,74,2.212124
0.0,117,2.237151
0.0,404,2.322768
0.0,6,2.324162
0.0,24,2.329218
0.0,17,2.332809
0.0,180,2.371462
0.0,7,2.372979
0.0,102,2.394883
0.0,31,2.401492
0.0,228,2.449651
0.0,175,2.486701
0.0,85,2.504871
0.0,454,2.601694
0.0,48,2.611963
0.0,426,2.702684
0.0,150,2.735113
0.0,77,2.751614
0.0,844,2.933183
0.0,142,2.963122
0.0,248,3.016233
0.0,62,3.029421
0.0,694,3.17708
0.0,180,3.216083
0.0,256,3.271666
0.0,6,3.272965
0.0,53,3.28425
0.0,509,3.392102
0.0,92,3.411741
0.0,16,3.415139
0.0,9,3.417072
0.0,125,3.44396
0.0,157,3.478161
0.0,4,3.47911
0.0,52,3.490349
0.0,70,3.505253
0.0,141,3.535146
0.0,79,3.551913
0.0,19,3.555974
0.0,453,3.652673
0.0,91,3.672491
1.0,325,3.743291
0.0,185,3.785016
0.0,139,3.815002
0.0,72,3.830904
0.0,207,3.877315
1.0,239,3.928862
0.0,164,3.963645
0.0,109,3.98689
0.0,131,4.014848
0.0,379,4.096077
