episodes,steps,total reward
37,10000,0.0
63,20000,0.0
88,30000,0.0
112,40000,0.0
132,50000,2.0
166,60000,2.0
231,70000,33.0
344,80000,87.0
476,90000,94.0
616,100000,112.0
760,110000,109.0
904,120000,106.0
1042,130000,108.0
1179,140000,110.0
1319,150000,116.0
1457,160000,105.0
1595,170000,109.0
1740,180000,106.0
1879,190000,109.0
2016,200000,108.0
2156,210000,110.0
2289,220000,114.0
2431,230000,108.0
2574,240000,106.0
2716,250000,110.0
2857,260000,106.0
3002,270000,104.0
3149,280000,110.0
3291,290000,110.0
3428,300000,111.0
3570,310000,113.0
3710,320000,110.0
3858,330000,108.0
4007,340000,103.0
4146,350000,109.0
4288,360000,111.0
4427,370000,111.0
4563,380000,108.0
4705,390000,107.0
4844,400000,111.0
4985,410000,107.0
5131,420000,103.0
5272,430000,109.0
5413,440000,104.0
5559,450000,106.0
5703,460000,108.0
5842,470000,110.0
5982,480000,110.0
6126,490000,112.0
6267,500000,110.0
6407,510000,108.0
6548,520000,112.0
6691,530000,109.0
6834,540000,105.0
6972,550000,114.0
7115,560000,103.0
7260,570000,109.0
7400,580000,110.0
7544,590000,107.0
7686,600000,110.0
7824,610000,106.0
7968,620000,105.0
8105,630000,108.0
8248,640000,110.0
8390,650000,109.0
8531,660000,101.0
8671,670000,109.0
8815,680000,110.0
8960,690000,113.0
9094,700000,111.0
9240,710000,109.0
9390,720000,106.0
9531,730000,108.0
9677,740000,106.0
9817,750000,108.0
9957,760000,106.0
10104,770000,105.0
10246,780000,104.0
10392,790000,109.0
10534,800000,106.0
10674,810000,108.0
10821,820000,105.0
10963,830000,104.0
11103,840000,107.0
11246,850000,108.0
11379,860000,114.0
11518,870000,106.0
11659,880000,109.0
11801,890000,106.0
11941,900000,107.0
12083,910000,109.0
12218,920000,108.0
12365,930000,106.0
12505,940000,108.0
12648,950000,107.0
12786,960000,109.0
12926,970000,110.0
13066,980000,108.0
13212,990000,109.0
13355,1000000,103.0
