# {"t_start": 1640879193.356949, "env_id": "Office-v0"} 
r,l,t
0.0,7,0.002449
0.0,75,0.027035
0.0,12,0.031431
0.0,32,0.041823
0.0,6,0.043748
0.0,29,0.053021
0.0,29,0.062372
0.0,14,0.066955
0.0,19,0.073298
0.0,34,0.084306
0.0,69,0.106849
0.0,57,0.125727
0.0,30,0.135605
0.0,76,0.160321
0.0,76,0.185023
0.0,34,0.196134
1.0,52,0.212788
0.0,83,0.239351
0.0,93,0.269515
0.0,43,0.283477
0.0,13,0.287676
0.0,56,0.305438
0.0,70,0.328125
0.0,119,0.366397
1.0,119,0.404849
0.0,56,0.42299
0.0,82,0.449591
0.0,12,0.453676
0.0,101,0.486528
0.0,49,0.502341
0.0,153,0.552231
0.0,158,0.602763
0.0,218,0.674031
0.0,14,0.678649
0.0,199,0.743794
0.0,679,0.960694
0.0,116,0.998325
0.0,107,1.032652
0.0,62,1.052748
0.0,18,1.058759
0.0,415,1.192652
0.0,146,1.238814
0.0,23,1.246423
0.0,137,1.290974
0.0,453,1.439222
0.0,18,1.445135
0.0,23,1.452564
0.0,144,1.499055
0.0,46,1.514058
0.0,468,1.664823
0.0,222,1.737348
0.0,88,1.765554
0.0,39,1.778383
0.0,52,1.795163
0.0,486,1.953553
0.0,43,1.967258
0.0,233,2.041776
0.0,325,2.145312
0.0,26,2.153991
0.0,2,2.154651
0.0,786,2.410331
0.0,2,2.411137
0.0,131,2.453763
0.0,443,2.595738
0.0,39,2.608562
0.0,25,2.616677
0.0,215,2.686635
0.0,84,2.713793
0.0,65,2.734975
0.0,424,2.871806
0.0,115,2.909734
0.0,10,2.913041
0.0,199,2.978317
0.0,46,2.993338
0.0,140,3.038919
0.0,12,3.0429
0.0,38,3.055272
0.0,615,3.257249
0.0,21,3.264298
0.0,359,3.381539
0.0,48,3.397327
0.0,219,3.469265
0.0,202,3.535675
0.0,111,3.571759
0.0,212,3.641357
0.0,93,3.671738
0.0,186,3.733514
0.0,4,3.734869
0.0,14,3.739489
0.0,48,3.754929
0.0,136,3.800513
0.0,127,3.841603
0.0,230,3.917751
0.0,34,3.928991
0.0,40,3.942214
0.0,242,4.021079
1.0,104,4.055316
0.0,45,4.069803
0.0,292,4.166
0.0,184,4.225488
0.0,192,4.288485
0.0,134,4.330979
0.0,477,4.488207
0.0,154,4.53857
1.0,274,4.627008
0.0,600,4.821356
0.0,42,4.835111
0.0,159,4.887127
0.0,658,5.100384
0.0,208,5.168178
0.0,77,5.193297
0.0,61,5.213072
0.0,41,5.226644
0.0,23,5.234168
0.0,243,5.313427
0.0,69,5.33622
0.0,15,5.34126
0.0,30,5.351113
0.0,281,5.442937
0.0,75,5.466039
0.0,15,5.47093
0.0,30,5.480726
0.0,62,5.500826
0.0,243,5.579304
0.0,49,5.595536
0.0,127,5.636495
0.0,267,5.723118
0.0,133,5.76601
0.0,67,5.788028
0.0,214,5.857824
0.0,33,5.868605
0.0,118,5.906991
1.0,138,5.951799
0.0,50,5.968021
1.0,141,6.014086
0.0,46,6.029095
0.0,79,6.054832
0.0,107,6.089361
1.0,142,6.135798
0.0,208,6.202868
0.0,42,6.216672
0.0,110,6.252452
0.0,66,6.273546
1.0,251,6.353806
0.0,128,6.395632
0.0,14,6.400244
0.0,2,6.400924
0.0,315,6.502732
1.0,60,6.52267
0.0,148,6.571371
0.0,582,6.761784
0.0,62,6.781975
1.0,21,6.788735
0.0,167,6.842853
0.0,165,6.895846
1.0,138,6.941093
1.0,70,6.963963
1.0,252,7.045806
0.0,9,7.048777
1.0,307,7.147842
0.0,31,7.157942
0.0,49,7.17401
0.0,4,7.175343
0.0,228,7.248579
1.0,97,7.280432
0.0,123,7.320397
0.0,10,7.32369
0.0,67,7.346028
1.0,19,7.352189
0.0,61,7.372233
0.0,64,7.392289
1.0,121,7.431569
0.0,30,7.441397
1.0,97,7.472887
0.0,47,7.488154
1.0,172,7.543395
1.0,15,7.548264
0.0,72,7.572161
1.0,118,7.61241
0.0,60,7.632116
1.0,61,7.652122
0.0,96,7.683693
0.0,23,7.691183
0.0,12,7.695126
1.0,11,7.698753
0.0,141,7.744481
1.0,75,7.768952
1.0,78,7.794348
1.0,13,7.79856
1.0,121,7.838501
0.0,65,7.85944
1.0,109,7.895273
1.0,11,7.899121
0.0,87,7.927716
0.0,9,7.930711
1.0,111,7.966971
0.0,7,7.969283
1.0,125,8.009907
1.0,170,8.065431
0.0,39,8.078245
1.0,12,8.082153
0.0,89,8.111231
1.0,88,8.139798
1.0,65,8.160999
1.0,11,8.164689
1.0,181,8.223703
1.0,89,8.252391
1.0,57,8.270728
1.0,11,8.274319
0.0,64,8.295287
0.0,4,8.29663
0.0,6,8.298805
1.0,11,8.3024
1.0,180,8.361224
1.0,110,8.396796
1.0,37,8.408984
1.0,11,8.412671
0.0,24,8.420477
1.0,77,8.44535
1.0,52,8.462261
1.0,13,8.466493
0.0,13,8.470829
0.0,92,8.500576
1.0,96,8.531818
1.0,14,8.536359
1.0,119,8.574892
0.0,9,8.577872
1.0,42,8.5916
1.0,13,8.595814
1.0,202,8.662011
1.0,78,8.687337
0.0,32,8.697884
1.0,11,8.70146
0.0,73,8.725228
0.0,16,8.730483
1.0,75,8.754498
1.0,11,8.758085
0.0,74,8.782233
0.0,6,8.784229
1.0,198,8.848136
1.0,11,8.851729
0.0,63,8.872193
1.0,80,8.89764
0.0,37,8.909379
1.0,11,8.913039
1.0,52,8.930018
0.0,32,8.940335
1.0,41,8.953693
1.0,11,8.957234
1.0,90,8.986363
0.0,57,9.004863
1.0,42,9.018609
1.0,11,9.022197
0.0,47,9.037706
0.0,67,9.059436
1.0,55,9.077424
1.0,11,9.080978
0.0,95,9.112147
1.0,42,9.12561
1.0,113,9.161976
1.0,13,9.166177
0.0,86,9.194302
0.0,6,9.1963
1.0,27,9.205157
1.0,11,9.208716
0.0,95,9.239783
1.0,51,9.256141
0.0,26,9.264499
1.0,11,9.268087
1.0,72,9.291567
1.0,48,9.306986
1.0,27,9.315782
1.0,13,9.319884
1.0,59,9.339595
1.0,60,9.35892
1.0,68,9.381018
1.0,11,9.384599
1.0,48,9.400196
1.0,59,9.419368
1.0,48,9.434972
1.0,11,9.43856
1.0,31,9.448689
0.0,2,9.449367
1.0,32,9.459624
1.0,11,9.463204
0.0,46,9.478061
0.0,16,9.483263
1.0,66,9.504865
1.0,12,9.508683
1.0,31,9.51878
0.0,80,9.54482
0.0,8,9.547456
1.0,13,9.551684
0.0,10,9.554986
0.0,4,9.556314
0.0,27,9.56511
1.0,15,9.56991
0.0,40,9.583153
1.0,69,9.605822
1.0,51,9.622409
1.0,11,9.626007
1.0,60,9.645718
0.0,8,9.648327
1.0,38,9.660743
1.0,12,9.664673
1.0,88,9.693512
1.0,66,9.715047
1.0,62,9.735361
1.0,17,9.74084
1.0,54,9.75922
1.0,69,9.782327
0.0,20,9.78899
1.0,12,9.793311
1.0,56,9.811776
1.0,44,9.826072
1.0,30,9.836
1.0,13,9.840209
0.0,39,9.852973
1.0,43,9.867103
1.0,39,9.879937
0.0,6,9.882072
0.0,37,9.894191
0.0,8,9.896849
1.0,25,9.905139
1.0,12,9.909142
1.0,44,9.923617
1.0,44,9.938008
1.0,28,9.94724
1.0,12,9.951135
1.0,31,9.961219
1.0,65,9.982361
1.0,25,9.990593
1.0,11,9.994194
1.0,30,10.003922
1.0,43,10.017976
1.0,29,10.027419
1.0,13,10.031626
1.0,49,10.047488
0.0,8,10.050142
1.0,26,10.058941
1.0,11,10.062568
0.0,12,10.066478
1.0,32,10.07687
1.0,25,10.08504
1.0,13,10.089346
1.0,24,10.097204
1.0,42,10.110831
1.0,28,10.120018
1.0,12,10.123822
0.0,24,10.131678
0.0,17,10.137269
1.0,29,10.146781
1.0,13,10.15098
1.0,69,10.173625
1.0,35,10.184981
1.0,26,10.193408
1.0,11,10.196993
1.0,27,10.205714
1.0,35,10.217248
1.0,27,10.226066
1.0,11,10.229655
1.0,29,10.238973
1.0,52,10.255924
1.0,32,10.266311
1.0,17,10.271816
1.0,32,10.282332
0.0,28,10.291481
1.0,26,10.299987
0.0,4,10.301322
0.0,8,10.303967
1.0,40,10.316756
1.0,27,10.325652
1.0,13,10.329892
1.0,23,10.337323
1.0,32,10.348043
1.0,27,10.356872
1.0,12,10.360908
1.0,23,10.368311
0.0,12,10.372679
1.0,28,10.381913
1.0,13,10.386143
0.0,22,10.3932
0.0,26,10.401753
1.0,25,10.41001
0.0,4,10.411346
1.0,25,10.419427
1.0,30,10.429178
1.0,36,10.441082
1.0,11,10.444652
1.0,25,10.452723
1.0,32,10.463045
1.0,29,10.472585
1.0,11,10.476148
1.0,25,10.484215
1.0,34,10.495208
1.0,26,10.503786
1.0,11,10.507375
0.0,17,10.512982
1.0,32,10.523374
1.0,25,10.531532
1.0,11,10.535107
1.0,29,10.544444
1.0,34,10.555573
0.0,6,10.557556
1.0,12,10.561444
1.0,23,10.568908
1.0,36,10.580533
1.0,27,10.589505
1.0,11,10.593086
1.0,23,10.600539
0.0,12,10.604491
0.0,12,10.608426
1.0,12,10.612331
0.0,25,10.620441
1.0,32,10.630963
1.0,26,10.639406
1.0,11,10.642994
1.0,30,10.652495
0.0,19,10.658712
0.0,4,10.660044
1.0,13,10.664438
0.0,12,10.668495
1.0,34,10.679542
1.0,31,10.689657
1.0,11,10.693244
1.0,25,10.701452
1.0,35,10.712731
1.0,27,10.721627
0.0,7,10.723942
0.0,14,10.728451
1.0,53,10.745799
1.0,25,10.754018
1.0,17,10.759647
1.0,23,10.767093
1.0,34,10.778225
0.0,6,10.78021
0.0,9,10.783181
0.0,19,10.78935
1.0,37,10.801281
1.0,33,10.812146
1.0,13,10.816375
1.0,27,10.825222
0.0,6,10.827146
1.0,34,10.838186
1.0,12,10.842074
1.0,28,10.851257
0.0,6,10.853231
1.0,27,10.861987
0.0,2,10.862661
0.0,8,10.865273
0.0,56,10.883184
1.0,34,10.894332
1.0,11,10.897927
0.0,6,10.899903
1.0,37,10.911774
1.0,29,10.921196
1.0,13,10.925534
1.0,29,10.934927
1.0,30,10.944666
1.0,29,10.954156
1.0,13,10.958386
1.0,23,10.965949
1.0,34,10.977422
1.0,27,10.986294
1.0,11,10.989872
1.0,25,10.997981
1.0,33,11.008847
0.0,12,11.012795
1.0,13,11.016961
0.0,24,11.024674
0.0,16,11.029945
1.0,27,11.038855
1.0,13,11.043068
0.0,20,11.049546
1.0,32,11.059934
1.0,41,11.073263
1.0,11,11.076941
1.0,23,11.084347
1.0,33,11.095079
1.0,35,11.106515
0.0,6,11.108479
1.0,28,11.117648
1.0,34,11.128684
0.0,23,11.136141
1.0,12,11.140034
1.0,40,11.153165
1.0,33,11.163855
1.0,25,11.172053
0.0,10,11.1753
1.0,30,11.185071
0.0,12,11.188942
1.0,29,11.198492
1.0,14,11.203002
1.0,29,11.212285
1.0,31,11.222354
1.0,28,11.231548
1.0,12,11.235447
1.0,24,11.243267
0.0,14,11.247856
1.0,25,11.256015
1.0,16,11.260935
1.0,29,11.270442
0.0,8,11.27307
1.0,45,11.287642
1.0,16,11.292804
1.0,26,11.30131
1.0,36,11.313132
1.0,34,11.324125
1.0,13,11.32835
1.0,25,11.336537
1.0,30,11.34643
1.0,99,11.378563
1.0,11,11.382263
1.0,28,11.391393
0.0,34,11.40233
1.0,25,11.410463
1.0,13,11.414836
1.0,25,11.423009
1.0,33,11.43374
1.0,27,11.442533
1.0,13,11.44677
1.0,25,11.454851
0.0,4,11.456162
1.0,28,11.46523
1.0,12,11.469136
1.0,43,11.483127
0.0,7,11.485412
0.0,16,11.490595
1.0,11,11.494258
1.0,25,11.502283
1.0,33,11.512954
1.0,29,11.522448
1.0,14,11.526961
1.0,23,11.534455
1.0,33,11.545105
1.0,27,11.553864
1.0,13,11.558095
1.0,58,11.577454
1.0,35,11.588696
1.0,29,11.598299
1.0,13,11.602509
1.0,27,11.611383
0.0,28,11.620489
1.0,31,11.630555
1.0,11,11.63412
1.0,23,11.641538
1.0,23,11.649124
0.0,6,11.651105
1.0,13,11.655307
1.0,23,11.662752
1.0,34,11.67385
1.0,27,11.682847
1.0,11,11.686419
0.0,12,11.690332
1.0,38,11.702652
1.0,34,11.713658
1.0,11,11.717248
1.0,36,11.729075
1.0,33,11.739771
1.0,26,11.748307
1.0,12,11.752188
1.0,23,11.759745
0.0,17,11.765334
1.0,27,11.774125
0.0,7,11.776434
1.0,27,11.785271
1.0,36,11.797017
1.0,28,11.806158
1.0,12,11.81009
0.0,6,11.812056
1.0,31,11.822117
1.0,29,11.831513
1.0,11,11.835186
1.0,31,11.845029
1.0,25,11.853085
1.0,29,11.86259
1.0,11,11.866197
1.0,25,11.874344
1.0,35,11.885581
1.0,27,11.894456
1.0,15,11.899302
1.0,25,11.907437
1.0,32,11.917896
1.0,31,11.927981
0.0,2,11.928652
1.0,28,11.937586
0.0,12,11.941483
1.0,28,11.950651
1.0,11,11.954244
0.0,19,11.960413
1.0,36,11.972495
1.0,26,11.981172
1.0,11,11.984859
1.0,24,11.99269
1.0,37,12.004674
0.0,16,12.009832
0.0,9,12.012788
1.0,27,12.021454
1.0,46,12.036323
0.0,24,12.044219
0.0,9,12.047194
1.0,25,12.05528
1.0,32,12.065834
1.0,29,12.075286
1.0,11,12.078877
0.0,19,12.085072
1.0,40,12.098134
1.0,27,12.106889
1.0,13,12.11112
0.0,14,12.115608
1.0,33,12.126278
1.0,28,12.136075
1.0,11,12.139701
1.0,25,12.14769
1.0,32,12.15812
1.0,34,12.16919
1.0,13,12.173574
0.0,23,12.181334
1.0,31,12.191341
0.0,9,12.194285
1.0,13,12.198503
1.0,31,12.208498
1.0,33,12.21933
0.0,6,12.221272
1.0,11,12.224825
1.0,23,12.232337
1.0,37,12.244271
1.0,25,12.252501
1.0,11,12.256085
0.0,6,12.258054
0.0,26,12.266594
1.0,29,12.276032
0.0,4,12.27737
1.0,23,12.284753
1.0,38,12.297128
1.0,26,12.30554
1.0,13,12.309744
1.0,28,12.318775
1.0,35,12.330157
1.0,29,12.339626
1.0,11,12.343215
0.0,4,12.344528
0.0,22,12.351728
1.0,27,12.360542
1.0,14,12.36516
0.0,15,12.369897
1.0,32,12.380431
1.0,33,12.391241
1.0,13,12.395492
1.0,28,12.404681
1.0,32,12.415078
0.0,19,12.421239
1.0,14,12.425774
1.0,24,12.433521
1.0,34,12.444663
1.0,31,12.454765
1.0,14,12.459304
1.0,23,12.466769
1.0,64,12.48756
1.0,33,12.498289
0.0,6,12.500284
1.0,23,12.50773
0.0,8,12.510361
0.0,6,12.512344
1.0,15,12.517329
1.0,25,12.525393
1.0,33,12.536092
1.0,27,12.54493
1.0,13,12.549143
1.0,25,12.557294
1.0,34,12.568317
1.0,29,12.577829
1.0,11,12.581465
1.0,25,12.589706
1.0,40,12.602744
1.0,29,12.61226
0.0,8,12.614886
1.0,23,12.622331
1.0,37,12.634439
1.0,27,12.643331
1.0,11,12.646917
1.0,28,12.656061
0.0,4,12.657383
0.0,6,12.659362
1.0,12,12.663269
1.0,24,12.671289
1.0,34,12.682171
1.0,33,12.692952
1.0,18,12.698775
1.0,23,12.70639
1.0,32,12.716786
0.0,4,12.718121
1.0,12,12.722006
1.0,23,12.729521
1.0,31,12.739548
1.0,37,12.751758
0.0,6,12.75375
1.0,27,12.762457
0.0,4,12.763777
1.0,26,12.772245
1.0,13,12.776905
1.0,25,12.785212
1.0,37,12.797218
1.0,29,12.806922
1.0,13,12.811141
1.0,25,12.819324
1.0,31,12.829432
0.0,14,12.834007
1.0,14,12.838578
1.0,27,12.847348
0.0,26,12.855859
1.0,27,12.864734
1.0,13,12.86888
1.0,28,12.877951
1.0,36,12.889753
1.0,26,12.898561
1.0,12,12.902403
1.0,26,12.910791
0.0,11,12.91446
1.0,27,12.923408
1.0,15,12.92847
1.0,23,12.936132
1.0,37,12.948382
1.0,29,12.957859
1.0,11,12.961452
1.0,27,12.970298
1.0,35,12.981481
1.0,29,12.990992
1.0,15,12.995857
1.0,23,13.003365
1.0,33,13.014145
1.0,56,13.032633
1.0,11,13.03654
0.0,6,13.038616
1.0,44,13.053164
1.0,25,13.061639
1.0,13,13.065888
1.0,25,13.074095
1.0,41,13.08739
1.0,29,13.09699
0.0,2,13.097665
1.0,25,13.105744
1.0,33,13.116421
1.0,31,13.126594
1.0,13,13.130823
1.0,26,13.139286
1.0,31,13.149323
0.0,12,13.153263
1.0,13,13.157602
1.0,23,13.165108
0.0,18,13.170994
0.0,17,13.176491
1.0,13,13.180708
1.0,27,13.189387
