episodes,steps,total reward
10,1000,0.0
16,2000,0.0
24,3000,0.5
27,4000,0.0
31,5000,0.0
36,6000,0.0
39,7000,1.0
40,8000,0.0
41,9000,0.0
43,10000,1.0
44,11000,0.0
46,12000,0.0
48,13000,0.0
54,14000,0.0
57,15000,0.0
59,16000,0.0
60,17000,0.0
66,18000,1.0
69,19000,0.0
70,20000,1.0
72,21000,0.0
73,22000,0.0
75,23000,0.0
76,24000,0.0
79,25000,0.0
80,26000,0.0
83,27000,1.0
84,28000,0.0
85,29000,1.0
87,30000,2.0
88,31000,0.0
90,32000,0.0
94,33000,0.0
96,34000,0.5
100,35000,1.5
102,36000,0.0
108,37000,1.0
110,38000,0.0
113,39000,0.5
114,40000,0.0
117,41000,0.5
120,42000,0.5
122,43000,0.0
125,44000,0.5
126,45000,0.0
133,46000,1.0
134,47000,1.0
137,48000,0.5
140,49000,0.5
145,50000,0.5
148,51000,0.5
149,52000,0.0
153,53000,1.5
156,54000,0.5
157,55000,0.0
158,56000,0.0
160,57000,0.5
162,58000,1.0
165,59000,1.5
166,60000,0.0
169,61000,1.5
174,62000,0.5
181,63000,4.0
182,64000,1.0
185,65000,1.0
188,66000,2.5
194,67000,2.5
197,68000,1.5
201,69000,2.5
204,70000,0.5
210,71000,3.5
217,72000,4.0
221,73000,3.5
232,74000,4.5
237,75000,3.5
245,76000,6.0
253,77000,5.0
261,78000,6.0
269,79000,7.0
277,80000,5.0
285,81000,5.0
298,82000,8.5
309,83000,7.5
324,84000,8.0
334,85000,7.0
345,86000,8.5
358,87000,8.5
368,88000,8.5
378,89000,8.0
389,90000,6.5
401,91000,8.5
417,92000,10.0
433,93000,9.0
445,94000,9.5
457,95000,9.5
471,96000,10.0
489,97000,15.0
505,98000,11.0
518,99000,10.5
537,100000,16.5
