# {"t_start": 1641549866.3808687, "env_id": "Office-v0"} 
r,l,t
0.0,41,0.01756
0.0,19,0.025215
0.0,180,0.095602
0.0,39,0.111054
0.0,89,0.146256
0.0,95,0.183722
0.0,170,0.251436
0.0,80,0.283352
0.0,61,0.307681
0.0,9,0.311339
0.0,71,0.33941
0.0,155,0.401963
0.0,72,0.431368
0.0,179,0.502328
0.0,466,0.687065
0.0,345,0.823791
0.0,61,0.848903
0.0,221,0.936633
0.0,40,0.952607
0.0,310,1.076044
0.0,187,1.150503
0.0,114,1.196215
0.0,150,1.25776
0.0,172,1.325747
0.0,412,1.49035
0.0,213,1.574374
0.0,363,1.719407
0.0,14,1.725061
0.0,517,1.931601
0.0,299,2.050936
0.0,3,2.052208
0.0,10,2.05621
0.0,179,2.12723
0.0,50,2.147296
0.0,213,2.23277
0.0,570,2.460396
0.0,811,2.781127
0.0,1000,3.17942
0.0,1000,3.578315
0.0,5,3.580358
0.0,487,3.775918
0.0,201,3.855053
0.0,1000,4.255167
0.5,132,4.307983
0.0,191,4.384447
0.0,221,4.473198
0.0,782,4.783121
0.5,27,4.794338
0.0,29,4.806489
0.0,337,4.940415
0.0,1000,5.339719
0.0,12,5.344557
0.0,108,5.388254
0.0,747,5.68873
0.0,76,5.719366
0.0,524,5.929391
0.0,55,5.951834
1.0,544,6.172916
0.0,20,6.181041
0.0,154,6.243378
0.0,1000,6.648124
0.0,542,6.867908
0.0,75,6.898212
0.0,664,7.163662
0.0,437,7.339399
0.0,676,7.609021
0.0,963,7.994215
0.0,792,8.310665
0.0,84,8.344184
0.0,509,8.547546
0.0,1000,8.949854
0.0,217,9.03715
0.0,714,9.323532
1.0,727,9.614906
0.0,41,9.631654
0.0,214,9.715736
0.0,1000,10.114955
0.0,195,10.192742
0.0,426,10.363059
0.5,26,10.373817
0.0,1000,10.773882
0.0,174,10.84392
0.0,803,11.163041
0.5,7,11.165981
0.0,314,11.29194
0.0,1000,11.691871
0.0,1000,12.09118
0.5,157,12.153794
0.0,457,12.337451
0.0,495,12.535977
0.0,67,12.562542
0.5,9,12.566149
0.0,143,12.622785
0.0,1000,13.022763
0.0,15,13.028775
0.5,7,13.031785
0.0,322,13.159428
1.0,697,13.438145
0.0,576,13.667812
0.5,9,13.67154
0.0,1000,14.070065
0.0,319,14.196784
0.0,601,14.437785
0.5,7,14.440694
0.0,83,14.474149
0.0,27,14.485027
0.0,219,14.571912
0.5,7,14.574732
0.0,538,14.788829
0.0,319,14.919828
0.0,239,15.015863
0.5,11,15.020285
0.0,439,15.196078
0.0,90,15.233427
0.0,16,15.240052
0.5,9,15.243637
0.0,1000,15.643666
0.0,63,15.669046
0.0,623,15.916784
0.5,7,15.919675
0.0,119,15.967173
0.0,39,15.982767
0.0,45,16.001114
0.5,7,16.003938
0.0,857,16.348048
0.0,87,16.383329
0.0,1000,16.783427
0.0,520,16.990739
0.0,46,17.009156
0.0,151,17.068941
0.0,471,17.258667
0.5,9,17.262403
0.0,59,17.285963
0.0,110,17.329272
0.0,48,17.348376
0.5,7,17.351425
0.0,315,17.477887
0.0,132,17.53049
0.0,7,17.533337
0.5,11,17.537742
0.0,407,17.701366
0.0,137,17.756245
0.0,100,17.796215
0.5,9,17.799867
0.0,675,18.069892
0.0,1000,18.472182
0.0,278,18.583204
0.5,7,18.586228
0.0,78,18.617009
0.0,239,18.712435
0.0,1000,19.112757
0.0,433,19.287121
0.0,385,19.441089
0.0,48,19.46004
0.0,200,19.539639
0.5,7,19.542534
0.0,184,19.616205
1.0,537,19.831593
0.0,697,20.111496
0.5,7,20.114452
0.0,526,20.323968
0.0,317,20.452068
1.0,587,20.686707
0.5,7,20.689565
0.0,56,20.711831
0.0,284,20.826087
0.0,1000,21.227429
0.5,120,21.275764
1.0,517,21.48336
0.0,1000,21.884229
0.0,91,21.920505
0.5,7,21.923487
0.0,212,22.008074
0.0,444,22.187393
0.0,231,22.279311
0.5,7,22.28218
1.0,567,22.509235
0.0,1000,22.906801
0.0,88,22.941915
0.5,9,22.945699
0.0,32,22.958509
0.0,122,23.007084
0.0,256,23.109234
0.5,9,23.112919
1.0,81,23.145176
0.0,617,23.393844
0.0,137,23.448502
0.5,11,23.45293
1.0,377,23.603105
1.0,702,23.885158
0.0,339,24.020627
0.5,7,24.02379
1.0,202,24.104754
0.0,556,24.325373
1.0,435,24.499524
0.5,9,24.503226
1.0,141,24.559141
0.0,388,24.713382
0.0,184,24.786544
0.5,9,24.790217
0.0,18,24.797414
0.0,58,24.821202
0.0,217,24.908022
0.5,7,24.910861
1.0,77,24.941369
1.0,619,25.187461
1.0,514,25.393754
0.5,7,25.396607
1.0,200,25.476357
1.0,261,25.580104
0.0,112,25.624756
0.5,9,25.628481
0.0,95,25.666872
1.0,529,25.877691
0.0,28,25.888911
0.5,9,25.892623
1.0,88,25.927301
0.0,80,25.959255
1.0,521,26.168709
0.5,9,26.172319
1.0,163,26.237697
0.0,301,26.357968
0.0,281,26.470993
0.5,7,26.473927
1.0,118,26.520594
1.0,408,26.683113
1.0,367,26.829899
0.5,7,26.832771
1.0,194,26.910475
0.0,147,26.968969
0.0,18,26.976163
0.5,7,26.978973
1.0,216,27.065056
0.0,466,27.251919
0.0,426,27.421185
0.5,7,27.424047
1.0,110,27.468125
0.0,369,27.614809
0.0,1000,28.012278
0.5,113,28.058628
