episodes,steps,total reward
11,1000,0.0
15,2000,0.0
19,3000,0.0
22,4000,0.0
25,5000,0.0
27,6000,0.0
32,7000,0.0
34,8000,0.0
36,9000,0.0
37,10000,0.0
40,11000,0.0
41,12000,0.0
44,13000,0.0
48,14000,0.0
51,15000,0.0
53,16000,0.0
56,17000,0.0
57,18000,0.0
61,19000,0.0
62,20000,0.0
63,21000,0.0
67,22000,0.0
68,23000,0.0
72,24000,0.0
73,25000,0.0
76,26000,0.0
77,27000,0.0
81,28000,0.0
84,29000,0.0
89,30000,0.0
92,31000,0.0
93,32000,0.0
94,33000,0.0
97,34000,0.0
100,35000,0.0
101,36000,0.0
104,37000,0.0
106,38000,0.0
110,39000,0.0
111,40000,0.0
112,41000,0.0
114,42000,0.0
115,43000,0.0
117,44000,0.0
119,45000,0.0
120,46000,0.0
122,47000,0.0
126,48000,0.0
127,49000,0.0
130,50000,1.0
134,51000,0.0
135,52000,0.0
136,53000,0.0
140,54000,0.0
141,55000,0.0
143,56000,0.0
145,57000,1.0
146,58000,0.0
147,59000,0.0
150,60000,1.0
153,61000,2.0
156,62000,2.0
157,63000,1.0
164,64000,2.0
167,65000,2.0
169,66000,1.0
175,67000,4.0
179,68000,3.0
186,69000,5.0
192,70000,4.0
202,71000,7.0
214,72000,12.0
229,73000,9.0
240,74000,9.0
254,75000,9.0
267,76000,9.0
280,77000,13.0
293,78000,11.0
307,79000,10.0
321,80000,13.0
336,81000,9.0
349,82000,12.0
363,83000,12.0
377,84000,10.0
390,85000,10.0
405,86000,10.0
409,87000,4.0
418,88000,8.0
431,89000,10.0
445,90000,12.0
459,91000,10.0
474,92000,11.0
489,93000,11.0
506,94000,12.0
520,95000,11.0
533,96000,10.0
546,97000,13.0
561,98000,10.0
577,99000,9.0
590,100000,12.0
