# {"t_start": 1641348160.425389, "env_id": "Office-single-v0"} 
r,l,t
1.0,8,0.001003
1.0,1,0.001147
1.0,1,0.001281
1.0,1,0.001411
1.0,1,0.001539
1.0,1,0.001668
1.0,1,0.001796
1.0,1,0.001923
1.0,1,0.00205
1.0,1,0.002179
1.0,1,0.002307
1.0,1,0.002434
1.0,1,0.002562
1.0,6,0.003088
1.0,1,0.003218
1.0,1,0.003347
1.0,1,0.003476
1.0,1,0.003604
1.0,1,0.003732
1.0,1,0.003859
1.0,1,0.003985
1.0,19,0.005613
1.0,1,0.005757
1.0,1,0.005888
1.0,1,0.006018
1.0,1,0.006147
1.0,1,0.006276
1.0,1,0.006404
1.0,1,0.006529
1.0,1,0.006655
1.0,1,0.00678
1.0,1,0.006908
1.0,1,0.007036
1.0,1,0.007163
1.0,1,0.00729
1.0,1,0.007417
1.0,1,0.007547
1.0,1,0.007674
1.0,1,0.0078
1.0,1,0.007927
1.0,1,0.008053
1.0,1,0.00818
1.0,3,0.008468
1.0,1,0.0086
1.0,1,0.008712
1.0,3,0.008995
1.0,1,0.009124
1.0,1,0.009253
1.0,1,0.009382
1.0,1,0.00951
1.0,1,0.009638
1.0,1,0.009766
1.0,1,0.0099
1.0,1,0.010015
1.0,1,0.010131
1.0,1,0.010247
1.0,1,0.010363
1.0,3,0.010609
1.0,1,0.010727
1.0,1,0.010847
1.0,1,0.010963
1.0,1,0.011078
1.0,1,0.011195
1.0,1,0.011312
1.0,1,0.011427
1.0,1,0.011544
1.0,1,0.011659
1.0,1,0.011775
1.0,1,0.011891
1.0,1,0.012007
1.0,1,0.012123
1.0,1,0.012238
1.0,1,0.012352
1.0,1,0.012477
1.0,1,0.012595
1.0,1,0.01271
1.0,1,0.012825
1.0,1,0.012943
1.0,1,0.013058
1.0,1,0.013175
1.0,1,0.01329
1.0,1,0.013404
1.0,1,0.013521
1.0,1,0.013637
1.0,1,0.013752
1.0,1,0.013867
1.0,1,0.013981
1.0,1,0.014097
1.0,11,0.01499
1.0,1,0.015209
1.0,1,0.01537
1.0,1,0.015513
1.0,1,0.015622
1.0,1,0.015729
1.0,1,0.015889
1.0,1,0.016047
1.0,1,0.016154
1.0,1,0.01626
1.0,1,0.016366
1.0,1,0.016514
1.0,1,0.016621
1.0,1,0.016727
1.0,1,0.016834
1.0,3,0.017071
1.0,3,0.017308
1.0,1,0.017417
1.0,1,0.017522
1.0,1,0.01765
1.0,1,0.017771
1.0,1,0.017877
1.0,3,0.018112
1.0,1,0.018222
1.0,1,0.018327
1.0,1,0.018433
1.0,1,0.018539
1.0,1,0.018644
1.0,1,0.01875
1.0,1,0.018857
1.0,1,0.018965
1.0,1,0.019072
1.0,1,0.019179
1.0,3,0.019416
1.0,1,0.019525
1.0,1,0.019633
1.0,1,0.01974
1.0,1,0.019847
1.0,1,0.019954
1.0,1,0.020062
1.0,1,0.020168
1.0,1,0.020272
1.0,1,0.020405
1.0,1,0.02053
1.0,1,0.020637
1.0,1,0.020744
1.0,1,0.020849
1.0,1,0.020944
1.0,1,0.021052
1.0,1,0.02116
1.0,1,0.021267
1.0,1,0.021372
1.0,1,0.021479
1.0,1,0.021585
1.0,1,0.021693
1.0,1,0.021799
1.0,1,0.021906
1.0,1,0.022012
1.0,1,0.02212
1.0,1,0.022227
1.0,5,0.022593
1.0,1,0.022704
1.0,1,0.02281
1.0,1,0.022916
1.0,1,0.023022
1.0,1,0.023128
1.0,1,0.023234
1.0,1,0.023341
1.0,1,0.023448
1.0,1,0.023555
1.0,1,0.023661
1.0,1,0.023768
1.0,1,0.023874
1.0,3,0.024111
1.0,1,0.02422
1.0,1,0.024327
1.0,1,0.024484
1.0,1,0.024592
1.0,1,0.024699
1.0,1,0.024805
1.0,1,0.024911
1.0,1,0.025017
1.0,1,0.025122
1.0,1,0.025229
1.0,1,0.025336
1.0,1,0.025441
1.0,1,0.025551
1.0,1,0.025657
1.0,1,0.025764
1.0,1,0.02587
1.0,1,0.025977
1.0,1,0.026083
1.0,1,0.026189
1.0,1,0.026296
1.0,3,0.026521
1.0,1,0.026629
1.0,3,0.026866
1.0,1,0.026975
1.0,1,0.027081
1.0,1,0.027187
1.0,1,0.027293
1.0,1,0.027399
1.0,3,0.027633
1.0,1,0.027741
1.0,1,0.027848
1.0,1,0.027955
1.0,1,0.028061
1.0,1,0.028167
1.0,3,0.028432
1.0,1,0.028557
1.0,3,0.028793
1.0,1,0.028902
1.0,1,0.029009
1.0,1,0.029116
1.0,1,0.029227
1.0,1,0.029334
1.0,1,0.029441
1.0,1,0.029547
1.0,1,0.029654
1.0,1,0.029761
1.0,1,0.029867
1.0,1,0.029974
1.0,1,0.030079
1.0,1,0.030185
1.0,1,0.030291
1.0,1,0.030398
1.0,1,0.030504
1.0,1,0.030609
1.0,1,0.030716
1.0,1,0.03081
1.0,1,0.030916
1.0,1,0.031022
1.0,1,0.031129
1.0,1,0.031235
1.0,1,0.031341
1.0,5,0.031706
1.0,1,0.031815
1.0,1,0.03192
1.0,1,0.032026
1.0,1,0.032131
1.0,1,0.032236
1.0,1,0.032342
1.0,1,0.032492
1.0,1,0.032602
1.0,1,0.032707
1.0,1,0.032814
1.0,3,0.033052
1.0,1,0.033162
1.0,1,0.033269
1.0,1,0.033362
1.0,1,0.033466
1.0,1,0.03357
1.0,1,0.033678
1.0,1,0.033784
1.0,1,0.033888
1.0,1,0.033995
1.0,1,0.034101
1.0,5,0.034466
1.0,1,0.034576
1.0,1,0.034684
1.0,3,0.034919
1.0,1,0.035028
1.0,1,0.035135
1.0,1,0.035241
1.0,1,0.035347
1.0,1,0.035453
1.0,1,0.035564
1.0,1,0.035671
1.0,1,0.035778
1.0,1,0.035884
1.0,1,0.035991
1.0,1,0.036097
1.0,3,0.036333
1.0,1,0.036446
1.0,1,0.036555
1.0,1,0.036661
1.0,1,0.036768
1.0,1,0.036863
1.0,1,0.03697
1.0,1,0.037077
1.0,3,0.037311
1.0,1,0.037419
1.0,1,0.037525
1.0,3,0.03776
1.0,1,0.037857
1.0,1,0.037962
1.0,1,0.038069
1.0,1,0.038175
1.0,1,0.03828
1.0,1,0.038388
1.0,1,0.038492
1.0,1,0.038599
1.0,1,0.038706
1.0,1,0.038813
1.0,1,0.038953
1.0,1,0.03906
1.0,1,0.039166
1.0,1,0.039272
1.0,1,0.039379
1.0,1,0.039487
1.0,1,0.039594
1.0,1,0.039701
1.0,1,0.039806
1.0,1,0.039913
1.0,1,0.040018
1.0,1,0.040125
1.0,1,0.04023
1.0,1,0.040336
1.0,1,0.040447
1.0,1,0.040553
1.0,1,0.040659
1.0,1,0.040763
1.0,1,0.040868
1.0,1,0.040974
1.0,1,0.041081
1.0,1,0.041187
1.0,1,0.041292
1.0,1,0.041399
1.0,1,0.04156
1.0,1,0.041722
1.0,1,0.041826
1.0,1,0.041931
1.0,3,0.042167
1.0,1,0.042275
1.0,1,0.042381
1.0,1,0.042488
1.0,1,0.042594
1.0,1,0.042701
1.0,1,0.042808
1.0,1,0.042913
1.0,1,0.043018
1.0,1,0.043122
1.0,1,0.043228
1.0,1,0.043335
1.0,1,0.043441
1.0,1,0.043545
1.0,1,0.04365
1.0,1,0.043756
1.0,1,0.043861
1.0,1,0.043968
1.0,1,0.044074
1.0,1,0.04418
1.0,3,0.044454
1.0,1,0.044565
1.0,1,0.044673
1.0,1,0.04478
1.0,1,0.044886
1.0,1,0.044991
1.0,1,0.045097
1.0,1,0.045203
1.0,1,0.045309
1.0,1,0.045415
1.0,1,0.045521
1.0,1,0.045615
1.0,1,0.04572
1.0,1,0.045826
1.0,1,0.045933
1.0,1,0.046039
1.0,1,0.046145
1.0,1,0.046251
1.0,3,0.046487
1.0,1,0.046596
1.0,1,0.046703
1.0,1,0.046809
1.0,1,0.046916
1.0,1,0.047023
1.0,1,0.047128
1.0,1,0.047237
1.0,1,0.047343
1.0,1,0.04745
1.0,1,0.047556
1.0,1,0.047663
1.0,1,0.047769
1.0,1,0.047876
1.0,1,0.047982
1.0,1,0.048088
1.0,1,0.048194
1.0,1,0.0483
1.0,1,0.048409
1.0,1,0.048517
1.0,1,0.048621
1.0,1,0.048727
1.0,1,0.048833
1.0,1,0.048942
1.0,1,0.049048
1.0,1,0.049155
1.0,3,0.049392
1.0,1,0.049499
1.0,1,0.049606
1.0,1,0.049712
1.0,1,0.049819
1.0,1,0.049923
1.0,1,0.050029
1.0,1,0.050133
1.0,1,0.05024
1.0,1,0.050346
1.0,1,0.050452
1.0,1,0.050558
1.0,3,0.050794
1.0,3,0.051032
1.0,1,0.05114
1.0,1,0.051247
1.0,1,0.051351
1.0,1,0.051457
1.0,1,0.051563
1.0,1,0.051668
1.0,3,0.051904
1.0,1,0.052011
1.0,1,0.052118
1.0,1,0.052224
1.0,1,0.05233
1.0,1,0.052441
1.0,1,0.052549
1.0,1,0.052656
1.0,1,0.052762
1.0,1,0.052868
1.0,1,0.052974
1.0,1,0.053079
1.0,1,0.053192
1.0,1,0.053299
1.0,1,0.053406
1.0,1,0.053513
1.0,1,0.053618
1.0,1,0.053723
1.0,1,0.053828
1.0,1,0.053934
1.0,1,0.054039
1.0,1,0.054146
1.0,3,0.054371
1.0,1,0.054479
1.0,1,0.054588
1.0,1,0.054693
1.0,1,0.0548
1.0,1,0.054907
1.0,1,0.055013
1.0,1,0.05512
1.0,1,0.055225
1.0,1,0.055332
1.0,1,0.055439
1.0,1,0.055545
1.0,1,0.055651
1.0,1,0.055757
1.0,1,0.055863
1.0,1,0.055968
1.0,1,0.056074
1.0,1,0.056181
1.0,1,0.056287
1.0,1,0.056397
1.0,1,0.056506
1.0,1,0.056613
1.0,1,0.056719
1.0,1,0.056824
1.0,1,0.056931
1.0,1,0.057037
1.0,1,0.057143
1.0,1,0.057248
1.0,1,0.057353
1.0,1,0.057458
1.0,1,0.057564
1.0,1,0.057671
1.0,1,0.057776
1.0,1,0.057882
1.0,1,0.057987
1.0,1,0.058093
1.0,1,0.058199
1.0,3,0.058438
1.0,1,0.058547
1.0,1,0.058654
1.0,1,0.05876
1.0,1,0.058866
1.0,1,0.058972
1.0,1,0.059078
1.0,1,0.059185
1.0,1,0.05929
1.0,1,0.059397
1.0,1,0.059507
1.0,1,0.059614
1.0,1,0.05972
1.0,1,0.059825
1.0,1,0.059931
1.0,1,0.060036
1.0,1,0.060141
1.0,1,0.060247
1.0,1,0.060354
1.0,1,0.060464
1.0,1,0.060571
1.0,1,0.060677
1.0,1,0.060784
1.0,1,0.060891
1.0,1,0.060998
1.0,1,0.061105
1.0,1,0.061211
1.0,1,0.061317
1.0,1,0.061423
1.0,1,0.061529
1.0,1,0.061635
1.0,7,0.06213
1.0,1,0.062241
1.0,1,0.06235
1.0,1,0.062457
1.0,1,0.062563
1.0,1,0.06267
1.0,1,0.062775
1.0,1,0.062882
1.0,3,0.063104
1.0,1,0.063213
1.0,1,0.06332
1.0,1,0.063428
1.0,1,0.063535
1.0,1,0.063643
1.0,1,0.063749
1.0,1,0.063854
1.0,1,0.063961
1.0,1,0.064068
1.0,1,0.064173
1.0,1,0.06428
1.0,1,0.064388
1.0,1,0.064497
1.0,1,0.064603
1.0,1,0.06471
1.0,1,0.064805
1.0,1,0.064912
1.0,1,0.065019
1.0,1,0.065128
1.0,1,0.065234
1.0,1,0.065341
1.0,1,0.065448
1.0,1,0.065554
1.0,1,0.065658
1.0,1,0.065765
1.0,1,0.065872
1.0,1,0.065977
1.0,1,0.066084
1.0,1,0.066189
1.0,1,0.066296
1.0,1,0.066403
1.0,1,0.06651
1.0,1,0.066618
1.0,1,0.066724
1.0,3,0.066965
1.0,1,0.067073
1.0,1,0.06718
1.0,1,0.067286
1.0,3,0.06752
1.0,1,0.067629
1.0,1,0.067735
1.0,1,0.067842
1.0,1,0.067949
1.0,1,0.068053
1.0,3,0.068292
1.0,1,0.068404
1.0,1,0.068514
1.0,1,0.06862
1.0,1,0.068727
1.0,1,0.068834
1.0,1,0.06894
1.0,1,0.069034
1.0,1,0.069141
1.0,1,0.069247
1.0,1,0.069353
1.0,1,0.069459
1.0,1,0.069566
1.0,1,0.069672
1.0,1,0.069779
1.0,1,0.06987
1.0,1,0.069976
1.0,1,0.070083
1.0,1,0.070189
1.0,1,0.070296
1.0,1,0.070402
1.0,1,0.070496
1.0,1,0.070602
1.0,1,0.070709
1.0,1,0.070816
1.0,1,0.070923
1.0,1,0.071029
1.0,1,0.071136
1.0,1,0.071244
1.0,1,0.07135
1.0,1,0.071456
1.0,1,0.071562
1.0,1,0.071667
1.0,1,0.071773
1.0,1,0.07188
1.0,1,0.071986
1.0,1,0.072092
1.0,1,0.072198
1.0,1,0.072304
1.0,1,0.072414
1.0,1,0.072523
1.0,1,0.072629
1.0,1,0.072734
1.0,1,0.072838
1.0,1,0.072945
1.0,1,0.073051
1.0,1,0.073157
1.0,1,0.073262
1.0,1,0.073368
1.0,1,0.073463
1.0,1,0.07357
1.0,1,0.073677
1.0,3,0.073913
1.0,1,0.074021
1.0,1,0.074128
1.0,1,0.074234
1.0,1,0.07434
1.0,1,0.074447
1.0,1,0.074553
1.0,1,0.074657
1.0,3,0.074893
1.0,1,0.075001
1.0,1,0.075109
1.0,1,0.075215
1.0,1,0.075321
1.0,1,0.075428
1.0,3,0.075664
1.0,1,0.075772
1.0,1,0.07588
1.0,1,0.075986
1.0,1,0.076093
1.0,1,0.076198
1.0,4,0.076484
1.0,1,0.076595
1.0,1,0.076704
1.0,1,0.07681
1.0,1,0.076917
1.0,1,0.077022
1.0,1,0.077128
1.0,1,0.077235
1.0,1,0.077341
1.0,1,0.077447
1.0,1,0.077553
1.0,1,0.077658
1.0,1,0.077765
1.0,1,0.07787
1.0,1,0.077979
1.0,1,0.078085
1.0,1,0.078192
