episodes,steps,total reward
12,1000,0.0
19,2000,0.0
24,3000,0.0
27,4000,0.0
32,5000,0.0
33,6000,0.0
37,7000,0.0
38,8000,0.0
40,9000,0.0
43,10000,0.0
45,11000,0.0
47,12000,0.0
48,13000,0.0
51,14000,0.0
53,15000,0.0
55,16000,0.0
58,17000,0.0
60,18000,0.0
62,19000,0.0
64,20000,0.0
65,21000,0.0
66,22000,0.0
68,23000,0.0
75,24000,0.0
76,25000,0.0
78,26000,0.0
80,27000,0.0
83,28000,0.0
84,29000,0.0
85,30000,0.0
86,31000,0.0
92,32000,0.0
96,33000,0.0
98,34000,0.0
99,35000,0.0
100,36000,0.0
102,37000,0.0
104,38000,0.0
105,39000,0.0
108,40000,0.0
109,41000,0.0
111,42000,0.0
113,43000,0.0
115,44000,0.0
116,45000,0.0
118,46000,0.0
119,47000,0.0
123,48000,0.0
125,49000,0.0
126,50000,0.0
129,51000,0.0
131,52000,0.0
134,53000,1.0
137,54000,0.0
139,55000,1.0
141,56000,0.0
146,57000,0.0
149,58000,1.0
150,59000,1.0
151,60000,0.0
152,61000,0.0
156,62000,2.0
161,63000,4.0
163,64000,2.0
166,65000,1.0
167,66000,1.0
170,67000,2.0
178,68000,6.0
186,69000,4.0
192,70000,5.0
199,71000,4.0
205,72000,4.0
218,73000,5.0
228,74000,9.0
242,75000,11.0
258,76000,10.0
272,77000,8.0
286,78000,11.0
301,79000,11.0
313,80000,10.0
326,81000,12.0
339,82000,11.0
354,83000,11.0
368,84000,13.0
382,85000,10.0
396,86000,11.0
409,87000,9.0
424,88000,11.0
438,89000,9.0
453,90000,10.0
469,91000,12.0
483,92000,10.0
496,93000,11.0
510,94000,11.0
523,95000,11.0
538,96000,11.0
551,97000,9.0
564,98000,13.0
578,99000,11.0
594,100000,12.0
