episodes,steps,total reward
10,1000,0.0
16,2000,0.0
21,3000,2.0
25,4000,0.0
28,5000,0.0
34,6000,1.0
39,7000,0.0
40,8000,0.0
43,9000,0.0
44,10000,0.0
46,11000,0.0
47,12000,0.0
54,13000,0.0
56,14000,0.0
57,15000,0.0
60,16000,0.0
62,17000,0.0
66,18000,0.0
67,19000,0.0
73,20000,0.0
74,21000,0.0
77,22000,0.0
79,23000,0.0
80,24000,0.0
82,25000,1.0
84,26000,0.0
86,27000,1.0
89,28000,0.0
91,29000,0.0
92,30000,0.0
94,31000,0.0
100,32000,0.0
103,33000,1.0
104,34000,0.0
105,35000,0.0
109,36000,0.0
110,37000,0.0
112,38000,0.0
114,39000,0.0
119,40000,0.0
120,41000,0.0
121,42000,0.0
123,43000,1.0
124,44000,0.0
127,45000,0.0
129,46000,0.0
130,47000,0.0
136,48000,0.0
137,49000,0.0
139,50000,0.0
143,51000,0.0
146,52000,0.0
147,53000,0.0
148,54000,0.0
152,55000,1.0
153,56000,1.0
154,57000,0.0
156,58000,1.0
158,59000,2.0
162,60000,1.0
165,61000,2.0
169,62000,2.0
172,63000,2.0
178,64000,1.0
185,65000,4.0
189,66000,2.0
193,67000,2.0
197,68000,3.0
201,69000,4.0
205,70000,3.0
206,71000,1.0
213,72000,7.0
218,73000,4.0
222,74000,4.0
231,75000,5.0
241,76000,9.0
253,77000,8.0
265,78000,6.0
270,79000,4.0
274,80000,3.0
282,81000,6.0
294,82000,8.0
305,83000,11.0
314,84000,7.0
323,85000,6.0
337,86000,12.0
349,87000,9.0
361,88000,10.0
373,89000,12.0
385,90000,10.0
399,91000,14.0
410,92000,11.0
425,93000,10.0
437,94000,11.0
449,95000,11.0
470,96000,15.0
486,97000,16.0
506,98000,17.0
525,99000,19.0
545,100000,17.0
