# {"t_start": 1641567959.8517027, "env_id": "Office-v0"} 
r,l,t
0.0,195,0.06301
0.0,56,0.081092
0.0,59,0.100203
0.0,5,0.101919
0.0,51,0.117974
0.0,83,0.144243
0.0,33,0.155025
0.0,89,0.183563
0.0,135,0.226116
0.0,120,0.264323
0.0,116,0.301389
0.0,406,0.432424
0.0,277,0.52192
0.0,147,0.569255
0.0,229,0.643559
0.0,286,0.737021
0.0,134,0.780518
0.0,239,0.857569
0.0,354,0.972238
0.0,14,0.976854
0.0,255,1.06011
0.0,147,1.107653
0.0,258,1.191193
0.0,542,1.368244
0.0,386,1.492217
0.0,444,1.635686
0.0,42,1.649487
0.0,286,1.740029
0.0,93,1.770011
0.0,239,1.847641
0.0,48,1.863204
0.0,597,2.057109
0.0,171,2.112721
0.0,609,2.311577
0.0,295,2.406898
0.0,1000,2.73122
1.0,382,2.855136
0.0,86,2.882778
0.0,197,2.947452
0.0,1000,3.27137
1.0,211,3.338925
0.0,43,3.352776
0.0,732,3.590416
0.0,280,3.681566
0.0,1000,4.006345
0.0,3,4.007363
0.0,117,4.045222
0.0,688,4.267526
0.0,158,4.319329
1.0,464,4.46955
0.0,227,4.544244
0.0,74,4.56897
0.0,27,4.577842
0.0,66,4.599206
0.0,100,4.631621
0.0,545,4.807983
0.0,1000,5.135108
1.0,734,5.376189
0.0,492,5.538481
0.0,75,5.563471
0.0,993,5.88996
0.0,572,6.074577
0.0,593,6.269217
0.0,83,6.296421
0.0,599,6.492541
0.0,619,6.69523
0.0,888,6.987323
0.0,800,7.249215
0.0,75,7.273614
1.0,668,7.492218
0.0,450,7.640736
0.0,851,7.91704
0.0,32,7.927498
0.0,382,8.050465
0.0,1000,8.376333
0.0,33,8.38712
0.0,443,8.531011
0.0,173,8.58675
0.0,1000,8.912597
0.0,558,9.093434
0.0,289,9.187329
0.0,244,9.26626
0.0,416,9.402576
0.0,151,9.451346
0.0,221,9.524794
0.0,55,9.542769
0.0,81,9.569029
0.0,541,9.74494
0.0,327,9.85231
0.0,90,9.88138
0.0,11,9.884986
0.0,1000,10.209441
0.0,44,10.223988
0.0,218,10.294097
0.0,44,10.308564
0.0,40,10.321588
0.0,1000,10.647744
0.0,1000,10.974626
0.0,52,10.991562
0.0,661,11.20693
0.0,33,11.217761
0.0,330,11.324599
0.0,77,11.350047
0.0,1000,11.673164
1.0,228,11.747358
0.0,507,11.912197
0.0,22,11.919439
0.0,1000,12.244086
1.0,713,12.477171
0.0,524,12.646766
0.0,227,12.72146
0.0,259,12.8062
0.0,355,12.921442
1.0,667,13.14008
0.0,51,13.156554
0.0,272,13.244319
0.0,157,13.295349
0.0,57,13.313985
0.0,1000,13.639625
0.0,630,13.845347
0.0,67,13.867224
0.0,749,14.109929
0.0,369,14.229668
0.0,791,14.485688
0.0,73,14.509537
0.0,840,14.78324
0.0,1000,15.110245
0.0,1000,15.436699
0.0,167,15.490905
0.0,131,15.533299
0.0,223,15.604266
0.0,321,15.709278
0.0,195,15.772431
0.0,133,15.815614
0.0,457,15.963807
0.0,973,16.279927
0.0,514,16.447624
0.0,364,16.565267
0.0,227,16.640648
0.0,73,16.664334
0.0,994,16.989026
0.0,22,16.99632
0.0,5,16.997962
0.0,161,17.050138
0.0,30,17.059918
0.0,376,17.180804
0.0,643,17.390946
0.0,63,17.411639
0.0,227,17.485909
0.0,604,17.684033
0.0,281,17.774928
1.0,489,17.935666
0.0,623,18.140434
0.0,20,18.147096
0.0,705,18.376595
0.0,567,18.561423
0.0,365,18.681763
0.0,186,18.743608
0.0,1000,19.0714
0.0,11,19.075063
0.0,75,19.099379
1.0,774,19.352952
0.0,316,19.455596
0.0,197,19.519587
1.0,114,19.557198
0.0,227,19.630443
0.0,534,19.803285
1.0,226,19.877865
1.0,99,19.910662
0.0,52,19.927608
0.0,119,19.966219
0.0,346,20.078635
0.0,62,20.098924
0.0,41,20.112357
0.0,68,20.13444
0.0,224,20.208384
0.0,75,20.233258
1.0,428,20.372603
1.0,850,20.651285
0.0,1000,20.976234
1.0,215,21.046005
1.0,330,21.15327
0.0,189,21.215847
1.0,819,21.483597
0.0,40,21.496925
0.0,596,21.690579
1.0,225,21.763563
0.0,462,21.91495
1.0,101,21.947707
0.0,178,22.005288
1.0,208,22.072631
1.0,222,22.144967
0.0,24,22.153019
1.0,638,22.361409
1.0,604,22.558544
1.0,222,22.630492
0.0,151,22.679577
0.0,228,22.753498
1.0,215,22.823868
0.0,147,22.872199
1.0,109,22.907891
0.0,75,22.932404
1.0,711,23.165962
0.0,329,23.273022
1.0,54,23.290689
1.0,334,23.400458
1.0,337,23.510772
0.0,945,23.819097
0.0,56,23.837953
1.0,332,23.946317
0.0,166,24.000145
0.0,58,24.019089
1.0,41,24.032241
0.0,459,24.182978
0.0,550,24.361974
1.0,533,24.536269
1.0,74,24.56035
1.0,221,24.631762
0.0,5,24.633419
1.0,125,24.674272
1.0,191,24.736619
0.0,82,24.763503
1.0,315,24.866308
0.0,280,24.957538
1.0,32,24.968071
0.0,134,25.011753
0.0,79,25.037409
1.0,78,25.062766
1.0,62,25.082935
1.0,304,25.182637
1.0,304,25.280713
0.0,13,25.285014
1.0,27,25.294024
0.0,111,25.330303
0.0,106,25.364911
0.0,18,25.370824
1.0,25,25.378989
1.0,312,25.481503
1.0,356,25.597657
1.0,92,25.627469
1.0,76,25.65202
1.0,347,25.765344
0.0,26,25.773943
1.0,91,25.803869
1.0,18,25.809711
0.0,168,25.864418
1.0,546,26.041808
0.0,36,26.053548
1.0,20,26.060064
1.0,192,26.123542
0.0,66,26.145012
0.0,9,26.147969
1.0,18,26.153817
1.0,143,26.200299
0.0,68,26.222145
0.0,22,26.229382
1.0,20,26.235869
0.0,162,26.288713
1.0,325,26.398329
1.0,57,26.417498
0.0,7,26.419834
1.0,317,26.524556
0.0,12,26.528627
1.0,69,26.551886
1.0,24,26.559974
0.0,12,26.564387
1.0,253,26.649922
1.0,46,26.665433
1.0,20,26.672225
0.0,32,26.683035
1.0,449,26.833924
1.0,44,26.848858
1.0,23,26.856537
1.0,427,26.999117
1.0,172,27.056245
1.0,44,27.070914
1.0,21,27.078176
1.0,108,27.113638
1.0,290,27.208078
1.0,45,27.222693
1.0,20,27.229274
0.0,243,27.307938
1.0,227,27.382011
1.0,42,27.39593
1.0,21,27.402991
1.0,184,27.464308
1.0,176,27.521477
1.0,59,27.540767
1.0,18,27.546602
1.0,179,27.604792
0.0,151,27.654631
1.0,42,27.668375
1.0,26,27.676792
1.0,211,27.745654
0.0,279,27.835747
0.0,13,27.840032
1.0,18,27.845872
1.0,114,27.883003
