# {"t_start": 1641574168.5575902, "env_id": "Office-single-v0"} 
r,l,t
0.0,33,0.010538
0.0,106,0.040549
0.0,20,0.046135
0.0,233,0.109548
0.0,96,0.136217
0.0,56,0.151711
0.0,156,0.194486
0.0,36,0.205045
0.0,66,0.223474
0.0,171,0.270634
0.0,80,0.293503
0.0,34,0.303021
0.0,101,0.331478
0.0,262,0.404224
0.0,298,0.486653
0.0,380,0.592757
0.0,236,0.659258
0.0,219,0.720032
0.0,221,0.780506
0.0,207,0.83789
0.0,255,0.909692
0.0,540,1.058738
0.0,19,1.0641
0.0,523,1.211557
0.0,248,1.279857
0.0,90,1.304921
0.0,367,1.407439
0.0,655,1.589216
0.0,107,1.61881
0.0,535,1.769252
0.0,136,1.807064
0.0,1000,2.085759
0.0,151,2.127528
0.0,189,2.180142
0.0,239,2.247451
0.0,1000,2.525326
0.0,1000,2.803712
0.0,1000,3.081723
0.0,1000,3.360118
0.0,1000,3.638143
0.0,405,3.751448
0.0,3,3.752988
0.0,61,3.769703
0.0,1000,4.047469
0.0,758,4.25833
0.0,46,4.271269
0.0,22,4.277388
0.0,527,4.423463
0.0,104,4.452453
0.0,546,4.604515
0.0,53,4.619841
0.0,119,4.653833
0.0,87,4.677953
0.0,156,4.721673
0.0,1000,5.000499
0.0,376,5.106133
0.0,732,5.310453
0.0,253,5.380925
0.0,219,5.442247
0.0,392,5.550888
0.0,203,5.607821
0.0,106,5.637659
0.0,422,5.755713
0.0,407,5.869032
0.0,27,5.876662
0.0,74,5.898032
0.0,500,6.036448
0.0,590,6.201755
0.0,138,6.240865
0.0,865,6.483887
0.0,312,6.570949
0.0,59,6.587418
0.0,1000,6.869869
0.0,236,6.936296
0.0,1000,7.216332
0.0,1000,7.498828
0.0,1000,7.778688
0.0,1000,8.056667
0.0,1000,8.334787
0.0,1000,8.613194
0.0,1000,8.891395
0.0,19,8.896797
0.0,182,8.947833
0.0,40,8.958863
0.0,27,8.966376
0.0,296,9.048736
0.0,85,9.072174
0.0,309,9.157374
0.0,44,9.169476
0.0,170,9.217297
0.0,289,9.297566
0.0,1000,9.576133
0.0,122,9.609923
0.0,63,9.627427
0.0,812,9.854507
0.0,615,10.025026
0.0,280,10.103215
0.0,365,10.204708
0.0,138,10.243509
0.0,116,10.275581
0.0,432,10.396707
0.0,96,10.423994
0.0,523,10.568748
0.0,1000,10.847071
0.0,337,10.941706
0.0,155,10.984538
0.0,305,11.068946
0.0,47,11.081967
0.0,39,11.092795
0.0,926,11.349903
0.0,18,11.355085
0.0,1000,11.634006
0.0,980,11.906779
0.0,1000,12.184866
0.0,175,12.23412
0.0,55,12.249422
0.0,309,12.336191
0.0,409,12.450136
0.0,295,12.531789
0.0,672,12.719715
0.0,759,12.931483
0.0,1000,13.212927
0.0,73,13.233092
0.0,464,13.361731
0.0,429,13.482572
0.0,461,13.611031
1.0,516,13.75602
0.0,489,13.8917
0.0,729,14.094347
0.0,20,14.100025
0.0,183,14.150838
0.0,88,14.175256
0.0,23,14.181648
0.0,497,14.320783
0.0,661,14.504603
0.0,87,14.529324
0.0,36,14.539801
0.0,73,14.560188
0.0,1000,14.838871
0.0,912,15.092187
0.0,628,15.267571
0.0,82,15.290705
0.0,708,15.487966
0.0,1000,15.766193
0.0,1000,16.044694
0.0,130,16.080733
0.0,144,16.120496
1.0,109,16.150658
0.0,464,16.280709
0.0,352,16.378463
0.0,42,16.390566
0.0,751,16.600441
0.0,158,16.644436
0.0,238,16.710746
0.0,489,16.847085
1.0,102,16.875506
1.0,78,16.897434
0.0,46,16.910519
1.0,121,16.943999
0.0,53,16.958714
1.0,587,17.122557
0.0,804,17.346985
0.0,556,17.500763
1.0,207,17.558196
0.0,26,17.565415
0.0,35,17.575351
0.0,11,17.578393
1.0,96,17.605846
1.0,493,17.744072
1.0,89,17.768734
1.0,108,17.798927
0.0,83,17.822062
1.0,169,17.869501
1.0,806,18.0932
0.0,40,18.104278
0.0,7,18.106218
1.0,863,18.347905
0.0,631,18.524587
1.0,76,18.545775
1.0,88,18.570217
0.0,887,18.819876
1.0,80,18.8423
0.0,1000,19.120323
1.0,195,19.174319
0.0,9,19.176812
1.0,88,19.20174
0.0,299,19.286171
0.0,93,19.312206
1.0,609,19.48138
1.0,148,19.522784
1.0,93,19.549103
1.0,85,19.573128
0.0,46,19.586045
1.0,104,19.614789
1.0,77,19.636199
1.0,529,19.783425
1.0,84,19.806859
1.0,109,19.83766
1.0,102,19.866383
0.0,720,20.065676
1.0,78,20.087615
1.0,102,20.116247
0.0,623,20.29021
1.0,84,20.313471
0.0,44,20.325823
1.0,86,20.349696
1.0,114,20.381737
0.0,67,20.400815
1.0,71,20.421617
0.0,42,20.433249
1.0,74,20.453786
1.0,81,20.476223
0.0,50,20.490063
1.0,81,20.512556
1.0,78,20.534171
1.0,81,20.556667
1.0,96,20.583383
1.0,79,20.60527
1.0,81,20.627723
1.0,88,20.65248
1.0,89,20.678028
0.0,17,20.682718
1.0,84,20.706602
1.0,87,20.731226
1.0,77,20.752603
0.0,55,20.767917
1.0,87,20.791951
0.0,24,20.7986
1.0,89,20.823388
0.0,13,20.827134
0.0,64,20.844922
