episodes,steps,total reward
22,1000,0.0
31,2000,0.0
34,3000,0.0
40,4000,0.0
52,5000,0.0
57,6000,0.0
63,7000,0.0
67,8000,0.0
69,9000,0.0
75,10000,0.0
78,11000,0.0
88,12000,0.0
90,13000,0.0
94,14000,0.0
98,15000,0.0
102,16000,2.0
110,17000,1.0
116,18000,1.0
120,19000,0.0
124,20000,1.0
129,21000,1.0
140,22000,4.0
152,23000,6.0
183,24000,22.0
211,25000,23.0
244,26000,24.0
276,27000,23.0
310,28000,21.0
341,29000,18.0
374,30000,23.0
404,31000,24.0
436,32000,23.0
467,33000,23.0
498,34000,24.0
531,35000,20.0
564,36000,20.0
599,37000,23.0
630,38000,26.0
662,39000,23.0
697,40000,24.0
733,41000,22.0
767,42000,23.0
800,43000,23.0
830,44000,24.0
862,45000,25.0
894,46000,25.0
928,47000,23.0
961,48000,23.0
990,49000,23.0
1023,50000,23.0
1054,51000,23.0
1084,52000,24.0
1117,53000,21.0
1151,54000,22.0
1184,55000,20.0
1220,56000,20.0
1252,57000,25.0
1282,58000,24.0
1316,59000,24.0
1348,60000,24.0
1376,61000,25.0
1411,62000,21.0
1445,63000,25.0
1475,64000,26.0
1505,65000,25.0
1538,66000,24.0
1571,67000,23.0
1600,68000,25.0
1630,69000,21.0
1663,70000,22.0
1694,71000,24.0
1727,72000,24.0
1759,73000,22.0
1792,74000,24.0
1823,75000,23.0
1855,76000,22.0
1889,77000,23.0
1921,78000,26.0
1953,79000,23.0
1986,80000,20.0
2020,81000,23.0
2058,82000,21.0
2091,83000,25.0
2122,84000,22.0
2155,85000,23.0
2187,86000,22.0
2219,87000,25.0
2250,88000,20.0
2287,89000,19.0
2318,90000,25.0
2351,91000,24.0
2382,92000,25.0
2413,93000,25.0
2447,94000,24.0
2478,95000,25.0
2513,96000,25.0
2545,97000,21.0
2576,98000,26.0
2610,99000,20.0
2641,100000,23.0
