# {"t_start": 1642129733.995499, "env_id": "Office-v0"} 
r,l,t
0.0,27,0.013326
0.0,163,0.085485
0.0,85,0.123651
0.0,93,0.165028
0.0,77,0.19912
0.0,11,0.204103
0.0,83,0.241244
0.0,30,0.254668
0.0,40,0.272363
0.0,82,0.308785
0.0,99,0.353338
0.0,155,0.422869
0.0,88,0.461961
0.0,6,0.464643
0.0,152,0.532925
0.0,14,0.539287
1.0,231,0.643825
0.0,359,0.803823
0.0,81,0.841239
0.0,145,0.906585
0.0,443,1.104497
0.0,305,1.242037
0.0,31,1.256087
0.0,321,1.401479
0.0,380,1.573527
0.0,350,1.730276
0.0,182,1.811069
0.0,89,1.851362
0.0,16,1.858541
0.0,192,1.945133
0.0,518,2.176962
0.0,272,2.29823
0.0,5,2.300583
0.0,286,2.433532
0.0,330,2.58723
0.0,473,2.798722
1.0,422,2.989701
1.0,321,3.13768
0.0,290,3.270187
0.0,191,3.358331
0.0,31,3.372426
1.0,256,3.489439
0.0,648,3.781609
0.0,591,4.047665
0.0,1000,4.498861
0.0,185,4.583554
0.0,1000,5.033976
0.0,676,5.338416
1.0,637,5.625491
0.0,370,5.790479
0.0,46,5.811177
0.0,1000,6.260369
0.0,296,6.393518
0.0,889,6.791309
0.0,1000,7.241153
0.0,97,7.284489
1.0,138,7.347086
0.0,699,7.661263
0.0,89,7.701343
0.0,1000,8.150593
1.0,175,8.229342
0.0,657,8.524455
0.0,563,8.777692
0.0,124,8.833689
0.0,125,8.890275
0.0,71,8.922966
0.0,392,9.101062
0.0,165,9.175591
1.0,70,9.206992
1.0,454,9.413045
0.0,120,9.466857
0.0,192,9.553115
1.0,158,9.624238
0.0,353,9.783199
0.0,35,9.79902
0.0,455,10.005357
1.0,67,10.035408
1.0,622,10.315746
0.0,61,10.343828
0.0,273,10.467291
1.0,59,10.493834
0.0,80,10.529832
0.0,389,10.704422
0.0,58,10.730487
1.0,74,10.763661
0.0,122,10.818448
0.0,20,10.827716
0.0,592,11.095582
0.0,72,11.127793
1.0,345,11.284404
0.0,202,11.375892
0.0,358,11.53742
1.0,65,11.566505
0.0,371,11.732997
0.0,16,11.740294
0.0,283,11.868389
1.0,72,11.901099
1.0,773,12.248919
0.0,63,12.277385
0.0,1000,12.728415
1.0,137,12.790433
1.0,468,13.001465
0.0,307,13.139716
0.0,133,13.199838
1.0,88,13.239497
0.0,51,13.262439
0.0,3,13.263805
1.0,134,13.324395
1.0,105,13.372102
0.0,93,13.414639
1.0,597,13.684177
1.0,965,14.119428
1.0,25,14.13071
1.0,385,14.30358
1.0,316,14.44632
0.0,85,14.484608
0.0,138,14.546627
0.0,171,14.623254
0.0,84,14.66108
1.0,257,14.776754
1.0,90,14.817115
1.0,286,14.946549
0.0,92,14.987953
1.0,103,15.034511
1.0,64,15.063215
1.0,261,15.180775
0.0,13,15.186534
1.0,115,15.238341
1.0,48,15.259878
1.0,119,15.313288
0.0,589,15.579171
1.0,302,15.715309
1.0,115,15.76696
0.0,370,15.934172
1.0,134,15.994264
1.0,103,16.040648
1.0,21,16.050242
1.0,207,16.144235
1.0,101,16.189985
1.0,70,16.221682
1.0,41,16.240195
1.0,284,16.369469
0.0,410,16.555363
1.0,84,16.593323
1.0,78,16.628454
0.0,55,16.653361
0.0,144,16.718335
1.0,194,16.80609
1.0,131,16.865218
1.0,165,16.94022
0.0,5,16.942491
1.0,74,16.975823
1.0,20,16.984904
0.0,46,17.00573
0.0,117,17.059078
0.0,57,17.084908
1.0,20,17.093896
1.0,334,17.24417
0.0,58,17.269595
1.0,86,17.30839
1.0,21,17.317787
0.0,436,17.516218
1.0,276,17.642177
1.0,73,17.675259
1.0,25,17.686478
1.0,218,17.785186
0.0,100,17.830465
1.0,75,17.864776
1.0,18,17.872846
