episodes,steps,total reward
20,1000,0.0
29,2000,0.0
33,3000,0.0
35,4000,0.0
41,5000,0.0
56,6000,0.0
67,7000,0.0
75,8000,0.0
79,9000,0.0
84,10000,2.0
88,11000,0.0
96,12000,2.0
108,13000,3.0
119,14000,5.0
131,15000,10.0
154,16000,13.0
181,17000,17.0
211,18000,14.0
240,19000,14.0
268,20000,17.0
294,21000,19.0
320,22000,21.0
348,23000,17.0
379,24000,21.0
407,25000,21.0
425,26000,13.0
457,27000,13.0
480,28000,21.0
508,29000,20.0
537,30000,18.0
564,31000,20.0
595,32000,19.0
623,33000,18.0
653,34000,19.0
681,35000,17.0
710,36000,19.0
741,37000,22.0
771,38000,17.0
801,39000,18.0
833,40000,18.0
862,41000,18.0
893,42000,19.0
922,43000,19.0
951,44000,19.0
980,45000,20.0
1010,46000,16.0
1036,47000,22.0
1067,48000,16.0
1094,49000,19.0
1125,50000,20.0
1155,51000,19.0
1184,52000,18.0
1214,53000,20.0
1241,54000,21.0
1270,55000,21.0
1297,56000,20.0
1324,57000,19.0
1353,58000,21.0
1381,59000,18.0
1410,60000,18.0
1442,61000,18.0
1470,62000,18.0
1498,63000,20.0
1524,64000,21.0
1550,65000,19.0
1580,66000,18.0
1612,67000,16.0
1643,68000,18.0
1671,69000,18.0
1701,70000,15.0
1732,71000,15.0
1762,72000,18.0
1790,73000,22.0
1820,74000,19.0
1849,75000,19.0
1882,76000,17.0
1910,77000,18.0
1937,78000,19.0
1965,79000,20.0
1992,80000,20.0
2018,81000,21.0
2046,82000,20.0
2074,83000,20.0
2103,84000,20.0
2129,85000,19.0
2161,86000,16.0
2187,87000,21.0
2213,88000,22.0
2243,89000,18.0
2270,90000,19.0
2298,91000,20.0
2334,92000,16.0
2364,93000,18.0
2394,94000,19.0
2421,95000,20.0
2449,96000,21.0
2482,97000,16.0
2510,98000,19.0
2539,99000,20.0
2568,100000,17.0
